column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.41,0.04,0.24
instruct,Overall,0.25,0.0,0.1
k_lora,Overall,0.61,0.15,0.59
ours_augmented,Overall,0.57,0.1,0.55
style_instruct,Overall,0.21,0.0,0.03
super_baseline,Overall,0.91,0.63,0.97
theme_instruct,Overall,0.55,0.08,0.52
halfsum,Group_1_rows_1_25,0.77,0.24,0.76
instruct,Group_1_rows_1_25,0.15,0.0,0.0
k_lora,Group_1_rows_1_25,0.81,0.32,0.92
ours_augmented,Group_1_rows_1_25,0.29,0.0,0.08
style_instruct,Group_1_rows_1_25,0.21,0.0,0.04
super_baseline,Group_1_rows_1_25,0.8,0.36,0.88
theme_instruct,Group_1_rows_1_25,0.47,0.08,0.32
halfsum,Group_2_rows_26_50,0.42,0.0,0.04
instruct,Group_2_rows_26_50,0.13,0.0,0.0
k_lora,Group_2_rows_26_50,0.74,0.16,0.92
ours_augmented,Group_2_rows_26_50,0.43,0.04,0.28
style_instruct,Group_2_rows_26_50,0.17,0.0,0.0
super_baseline,Group_2_rows_26_50,0.93,0.68,1.0
theme_instruct,Group_2_rows_26_50,0.69,0.12,0.76
halfsum,Group_3_rows_51_75,0.29,0.0,0.12
instruct,Group_3_rows_51_75,0.37,0.0,0.2
k_lora,Group_3_rows_51_75,0.61,0.08,0.68
ours_augmented,Group_3_rows_51_75,0.71,0.24,0.72
style_instruct,Group_3_rows_51_75,0.24,0.0,0.08
super_baseline,Group_3_rows_51_75,0.92,0.68,0.96
theme_instruct,Group_3_rows_51_75,0.37,0.0,0.24
halfsum,Group_4_rows_76_100,0.37,0.0,0.2
instruct,Group_4_rows_76_100,0.23,0.0,0.12
k_lora,Group_4_rows_76_100,0.54,0.16,0.32
ours_augmented,Group_4_rows_76_100,0.65,0.08,0.72
style_instruct,Group_4_rows_76_100,0.21,0.0,0.0
super_baseline,Group_4_rows_76_100,0.92,0.68,0.96
theme_instruct,Group_4_rows_76_100,0.59,0.08,0.68
halfsum,Group_5_rows_101_plus,0.29,0.0,0.16
instruct,Group_5_rows_101_plus,0.31,0.0,0.14
k_lora,Group_5_rows_101_plus,0.46,0.07,0.32
ours_augmented,Group_5_rows_101_plus,0.69,0.11,0.77
style_instruct,Group_5_rows_101_plus,0.21,0.0,0.05
super_baseline,Group_5_rows_101_plus,0.94,0.7,1.0
theme_instruct,Group_5_rows_101_plus,0.61,0.11,0.57
