column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.6,0.1,0.62
instruct,Overall,0.31,0.01,0.15
k_lora,Overall,0.53,0.1,0.44
ours_augmented,Overall,0.51,0.18,0.44
style_instruct,Overall,0.51,0.12,0.4
super_baseline,Overall,0.75,0.45,0.72
theme_instruct,Overall,0.3,0.03,0.23
halfsum,Group_1_rows_1_25,0.85,0.4,0.96
instruct,Group_1_rows_1_25,0.21,0.0,0.0
k_lora,Group_1_rows_1_25,0.61,0.04,0.56
ours_augmented,Group_1_rows_1_25,0.33,0.08,0.16
style_instruct,Group_1_rows_1_25,0.4,0.0,0.2
super_baseline,Group_1_rows_1_25,0.76,0.4,0.8
theme_instruct,Group_1_rows_1_25,0.34,0.08,0.32
halfsum,Group_2_rows_26_50,0.73,0.12,0.88
instruct,Group_2_rows_26_50,0.25,0.0,0.04
k_lora,Group_2_rows_26_50,0.62,0.16,0.68
ours_augmented,Group_2_rows_26_50,0.31,0.12,0.12
style_instruct,Group_2_rows_26_50,0.44,0.16,0.32
super_baseline,Group_2_rows_26_50,0.75,0.36,0.68
theme_instruct,Group_2_rows_26_50,0.4,0.08,0.28
halfsum,Group_3_rows_51_75,0.57,0.0,0.6
instruct,Group_3_rows_51_75,0.45,0.04,0.32
k_lora,Group_3_rows_51_75,0.51,0.16,0.32
ours_augmented,Group_3_rows_51_75,0.85,0.52,0.92
style_instruct,Group_3_rows_51_75,0.52,0.16,0.44
super_baseline,Group_3_rows_51_75,0.43,0.08,0.24
theme_instruct,Group_3_rows_51_75,0.15,0.04,0.16
halfsum,Group_4_rows_76_100,0.6,0.0,0.6
instruct,Group_4_rows_76_100,0.22,0.0,0.04
k_lora,Group_4_rows_76_100,0.53,0.12,0.44
ours_augmented,Group_4_rows_76_100,0.45,0.08,0.4
style_instruct,Group_4_rows_76_100,0.57,0.12,0.48
super_baseline,Group_4_rows_76_100,0.89,0.68,0.88
theme_instruct,Group_4_rows_76_100,0.23,0.0,0.16
halfsum,Group_5_rows_101_plus,0.41,0.02,0.3
instruct,Group_5_rows_101_plus,0.37,0.02,0.25
k_lora,Group_5_rows_101_plus,0.43,0.05,0.32
ours_augmented,Group_5_rows_101_plus,0.56,0.14,0.55
style_instruct,Group_5_rows_101_plus,0.56,0.16,0.5
super_baseline,Group_5_rows_101_plus,0.83,0.61,0.86
theme_instruct,Group_5_rows_101_plus,0.34,0.0,0.23
