column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.53,0.05,0.41
instruct,Overall,0.29,0.0,0.1
k_lora,Overall,0.54,0.07,0.49
ours_augmented,Overall,0.44,0.06,0.41
style_instruct,Overall,0.27,0.0,0.12
super_baseline,Overall,0.87,0.62,0.91
theme_instruct,Overall,0.56,0.2,0.56
halfsum,Group_1_rows_1_25,0.77,0.2,0.88
instruct,Group_1_rows_1_25,0.23,0.0,0.04
k_lora,Group_1_rows_1_25,0.63,0.16,0.68
ours_augmented,Group_1_rows_1_25,0.33,0.0,0.16
style_instruct,Group_1_rows_1_25,0.21,0.0,0.0
super_baseline,Group_1_rows_1_25,0.87,0.6,0.92
theme_instruct,Group_1_rows_1_25,0.46,0.04,0.32
halfsum,Group_2_rows_26_50,0.54,0.0,0.24
instruct,Group_2_rows_26_50,0.25,0.0,0.0
k_lora,Group_2_rows_26_50,0.7,0.08,0.8
ours_augmented,Group_2_rows_26_50,0.26,0.0,0.2
style_instruct,Group_2_rows_26_50,0.13,0.0,0.0
super_baseline,Group_2_rows_26_50,0.86,0.56,0.92
theme_instruct,Group_2_rows_26_50,0.75,0.36,0.84
halfsum,Group_3_rows_51_75,0.5,0.04,0.48
instruct,Group_3_rows_51_75,0.35,0.0,0.16
k_lora,Group_3_rows_51_75,0.6,0.04,0.48
ours_augmented,Group_3_rows_51_75,0.55,0.08,0.52
style_instruct,Group_3_rows_51_75,0.36,0.0,0.2
super_baseline,Group_3_rows_51_75,0.9,0.84,0.88
theme_instruct,Group_3_rows_51_75,0.24,0.0,0.28
halfsum,Group_4_rows_76_100,0.47,0.0,0.32
instruct,Group_4_rows_76_100,0.22,0.0,0.04
k_lora,Group_4_rows_76_100,0.54,0.08,0.48
ours_augmented,Group_4_rows_76_100,0.45,0.0,0.48
style_instruct,Group_4_rows_76_100,0.24,0.0,0.04
super_baseline,Group_4_rows_76_100,0.85,0.6,0.88
theme_instruct,Group_4_rows_76_100,0.73,0.32,0.76
halfsum,Group_5_rows_101_plus,0.44,0.02,0.25
instruct,Group_5_rows_101_plus,0.34,0.0,0.2
k_lora,Group_5_rows_101_plus,0.36,0.02,0.2
ours_augmented,Group_5_rows_101_plus,0.55,0.14,0.57
style_instruct,Group_5_rows_101_plus,0.36,0.0,0.25
super_baseline,Group_5_rows_101_plus,0.88,0.57,0.93
theme_instruct,Group_5_rows_101_plus,0.58,0.25,0.59
