column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.58,0.1,0.57
instruct,Overall,0.3,0.01,0.17
k_lora,Overall,0.65,0.28,0.63
ours_augmented,Overall,0.43,0.08,0.31
style_instruct,Overall,0.52,0.05,0.39
super_baseline,Overall,0.79,0.42,0.8
theme_instruct,Overall,0.23,0.06,0.13
halfsum,Group_1_rows_1_25,0.83,0.44,0.92
instruct,Group_1_rows_1_25,0.27,0.04,0.12
k_lora,Group_1_rows_1_25,0.9,0.48,1.0
ours_augmented,Group_1_rows_1_25,0.26,0.0,0.0
style_instruct,Group_1_rows_1_25,0.44,0.04,0.24
super_baseline,Group_1_rows_1_25,0.65,0.0,0.72
theme_instruct,Group_1_rows_1_25,0.15,0.0,0.0
halfsum,Group_2_rows_26_50,0.71,0.04,0.84
instruct,Group_2_rows_26_50,0.2,0.0,0.08
k_lora,Group_2_rows_26_50,0.75,0.24,0.84
ours_augmented,Group_2_rows_26_50,0.23,0.08,0.08
style_instruct,Group_2_rows_26_50,0.48,0.04,0.2
super_baseline,Group_2_rows_26_50,0.75,0.44,0.68
theme_instruct,Group_2_rows_26_50,0.38,0.16,0.28
halfsum,Group_3_rows_51_75,0.43,0.04,0.28
instruct,Group_3_rows_51_75,0.32,0.0,0.24
k_lora,Group_3_rows_51_75,0.91,0.56,1.0
ours_augmented,Group_3_rows_51_75,0.47,0.08,0.28
style_instruct,Group_3_rows_51_75,0.47,0.04,0.28
super_baseline,Group_3_rows_51_75,0.8,0.24,0.84
theme_instruct,Group_3_rows_51_75,0.11,0.04,0.08
halfsum,Group_4_rows_76_100,0.58,0.04,0.56
instruct,Group_4_rows_76_100,0.27,0.0,0.08
k_lora,Group_4_rows_76_100,0.5,0.12,0.32
ours_augmented,Group_4_rows_76_100,0.49,0.12,0.48
style_instruct,Group_4_rows_76_100,0.57,0.0,0.56
super_baseline,Group_4_rows_76_100,0.85,0.64,0.84
theme_instruct,Group_4_rows_76_100,0.25,0.08,0.16
halfsum,Group_5_rows_101_plus,0.46,0.0,0.39
instruct,Group_5_rows_101_plus,0.4,0.02,0.27
k_lora,Group_5_rows_101_plus,0.39,0.11,0.27
ours_augmented,Group_5_rows_101_plus,0.58,0.11,0.52
style_instruct,Group_5_rows_101_plus,0.58,0.09,0.55
super_baseline,Group_5_rows_101_plus,0.85,0.61,0.86
theme_instruct,Group_5_rows_101_plus,0.24,0.05,0.14
