column,group,normalized_rank,top1_rate,top3_rate
ours_augmented,Overall,0.58,0.58,1.0
sad_no_augment,Overall,0.42,0.42,1.0
ours_augmented,Group_1_rows_1_25,0.52,0.52,1.0
sad_no_augment,Group_1_rows_1_25,0.48,0.48,1.0
ours_augmented,Group_2_rows_26_50,0.6,0.6,1.0
sad_no_augment,Group_2_rows_26_50,0.4,0.4,1.0
ours_augmented,Group_3_rows_51_75,0.48,0.48,1.0
sad_no_augment,Group_3_rows_51_75,0.52,0.52,1.0
ours_augmented,Group_4_rows_76_100,0.64,0.64,1.0
sad_no_augment,Group_4_rows_76_100,0.36,0.36,1.0
ours_augmented,Group_5_rows_101_plus,0.64,0.64,1.0
sad_no_augment,Group_5_rows_101_plus,0.36,0.36,1.0
