aggr7_augmented_score,baseline_score,halfsum_score,instructed_score,instructed_style_score,instructed_theme_score,k_lora_style_score
0.684,0.596,0.640,0.684,0.770,0.684,0.684
0.000,0.684,0.500,0.700,0.598,0.684,0.633
0.633,0.633,0.640,0.606,0.669,0.489,0.543
0.566,0.555,0.543,0.497,0.640,0.684,0.640
0.642,0.640,0.421,0.671,0.489,0.000,0.700
0.000,0.640,0.500,0.489,0.728,0.667,0.599
0.397,0.700,0.669,0.000,0.370,0.645,0.684
0.399,0.439,0.397,0.397,0.421,0.566,0.606
0.566,0.439,0.460,0.500,0.671,0.489,0.717
0.599,0.640,0.528,0.582,0.300,0.000,0.421
0.460,0.370,0.599,0.421,0.397,0.370,0.717
0.000,0.633,0.571,0.717,0.557,0.000,0.555
0.606,0.596,0.727,0.397,0.319,0.640,0.300
0.521,0.397,0.397,0.598,0.489,0.684,0.397
0.770,0.489,0.598,0.599,0.489,0.489,0.599
0.754,0.640,0.742,0.000,0.742,0.738,0.735
0.578,0.500,0.421,0.421,0.489,0.500,0.667
0.000,0.645,0.000,0.571,0.000,0.000,0.000
0.770,0.620,0.571,0.770,0.640,0.684,0.599
0.667,0.489,0.506,0.472,0.421,0.616,0.742
0.000,0.555,0.421,0.421,0.421,0.397,0.397
0.399,0.397,0.397,0.397,0.489,0.667,0.397
0.464,0.800,0.421,0.648,0.472,0.667,0.472
0.616,0.489,0.640,0.000,0.421,0.684,0.738
0.499,0.571,0.397,0.593,0.598,0.000,0.770
0.540,0.397,0.500,0.370,0.319,0.528,0.640
0.000,0.295,0.319,0.270,0.397,0.000,0.000
0.000,0.397,0.319,0.000,0.489,0.319,0.342
0.447,0.397,0.342,0.364,0.342,0.000,0.397
0.499,0.319,0.342,0.000,0.489,0.633,0.319
0.327,0.370,0.397,0.000,0.421,0.319,0.295
0.397,0.295,0.319,0.319,0.397,0.640,0.319
0.598,0.421,0.598,0.640,0.319,0.000,0.640
0.300,0.397,0.319,0.397,0.370,0.000,0.397
0.000,0.270,0.295,0.319,0.295,0.000,0.397
0.370,0.319,0.319,0.270,0.342,0.000,0.227
0.000,0.397,0.295,0.548,0.295,0.633,0.295
0.700,0.370,0.319,0.300,0.421,0.555,0.421
0.295,0.295,0.364,0.421,0.319,0.000,0.295
0.327,0.397,0.342,0.319,0.397,0.555,0.319
0.566,0.582,0.319,0.327,0.364,0.000,0.319
0.000,0.270,0.319,0.227,0.342,0.603,0.319
0.370,0.319,0.319,0.397,0.000,0.319,0.319
0.489,0.319,0.000,0.000,0.397,0.627,0.000
0.397,0.633,0.489,0.342,0.421,0.000,0.397
0.499,0.633,0.319,0.319,0.489,0.397,0.319
0.000,0.000,0.227,0.370,0.319,0.000,0.227
0.531,0.671,0.397,0.319,0.421,0.582,0.319
0.357,0.319,0.489,0.370,0.370,0.770,0.738
0.599,0.633,0.421,0.397,0.397,0.648,0.421
0.684,0.713,0.000,0.000,0.397,0.000,0.000
0.000,0.439,0.000,0.515,0.515,0.000,0.000
0.566,0.771,0.000,0.421,0.421,0.000,0.000
0.000,0.000,0.000,0.000,0.598,0.000,0.000
0.000,0.717,0.000,0.700,0.599,0.000,0.000
0.566,0.489,0.000,0.000,0.571,0.000,0.000
0.698,0.000,0.000,0.499,0.000,0.000,0.000
0.571,0.698,0.598,0.000,0.000,0.540,0.000
0.648,0.000,0.000,0.606,0.000,0.000,0.000
0.000,0.397,0.000,0.370,0.000,0.370,0.000
0.000,0.671,0.000,0.000,0.000,0.000,0.000
0.616,0.640,0.669,0.000,0.598,0.000,0.000
0.000,0.000,0.000,0.000,0.700,0.000,0.000
0.000,0.481,0.771,0.000,0.000,0.606,0.000
0.648,0.397,0.000,0.770,0.397,0.684,0.000
0.599,0.000,0.000,0.447,0.489,0.000,0.000
0.000,0.000,0.000,0.000,0.397,0.000,0.000
0.000,0.000,0.000,0.000,0.397,0.000,0.000
0.000,0.000,0.000,0.000,0.489,0.000,0.000
0.000,0.640,0.489,0.300,0.489,0.000,0.000
0.000,0.000,0.000,0.640,0.598,0.000,0.000
0.000,0.000,0.000,0.370,0.000,0.000,0.000
0.000,0.000,0.489,0.000,0.000,0.000,0.000
0.370,0.397,0.578,0.421,0.489,0.000,0.000
0.000,0.669,0.000,0.000,0.421,0.633,0.000
0.566,0.692,0.421,0.370,0.421,0.717,0.000
0.598,0.000,0.397,0.397,0.397,0.645,0.645
0.000,0.000,0.000,0.000,0.370,0.000,0.000
0.578,0.000,0.397,0.397,0.397,0.000,0.000
0.397,0.000,0.000,0.000,0.421,0.000,0.000
0.000,0.000,0.000,0.000,0.421,0.645,0.000
0.000,0.397,0.000,0.000,0.489,0.606,0.000
0.000,0.000,0.000,0.000,0.421,0.000,0.000
0.000,0.000,0.512,0.000,0.397,0.000,0.000
0.447,0.000,0.000,0.397,0.000,0.633,0.000
0.000,0.397,0.385,0.000,0.489,0.000,0.000
0.397,0.000,0.000,0.000,0.397,0.270,0.000
0.528,0.397,0.421,0.000,0.489,0.000,0.000
0.499,0.000,0.000,0.397,0.421,0.000,0.000
0.000,0.000,0.000,0.000,0.397,0.000,0.000
0.397,0.270,0.000,0.471,0.489,0.733,0.000
0.295,0.640,0.000,0.000,0.385,0.000,0.000
0.000,0.397,0.000,0.000,0.000,0.000,0.000
0.000,0.439,0.421,0.397,0.342,0.397,0.645
