column,group,normalized_rank,top1_rate,top3_rate
aggr7_augmented,Overall,0.545138888888889,14.583333333333334,45.83333333333333
baseline,Overall,0.576388888888889,20.13888888888889,46.52777777777778
halfsum,Overall,0.4305555555555555,6.25,25.0
instructed,Overall,0.4837962962962963,8.333333333333332,37.5
instructed_style,Overall,0.5995370370370371,17.36111111111111,52.77777777777778
instructed_theme,Overall,0.49652777777777785,18.055555555555554,36.11111111111111
k_lora_style,Overall,0.3645833333333333,8.333333333333332,16.666666666666664
aggr7_augmented,Group_1_rows_1_25,0.52,8.0,48.0
baseline,Group_1_rows_1_25,0.5066666666666667,20.0,36.0
halfsum,Group_1_rows_1_25,0.4000000000000001,4.0,32.0
instructed,Group_1_rows_1_25,0.47333333333333333,8.0,44.0
instructed_style,Group_1_rows_1_25,0.5133333333333333,12.0,36.0
instructed_theme,Group_1_rows_1_25,0.5066666666666667,12.0,44.0
k_lora_style,Group_1_rows_1_25,0.5866666666666667,32.0,44.0
aggr7_augmented,Group_2_rows_26_50,0.5333333333333333,12.0,48.0
baseline,Group_2_rows_26_50,0.5599999999999999,16.0,48.0
halfsum,Group_2_rows_26_50,0.4666666666666666,0.0,20.0
instructed,Group_2_rows_26_50,0.41999999999999993,12.0,28.000000000000004
instructed_style,Group_2_rows_26_50,0.58,12.0,56.00000000000001
instructed_theme,Group_2_rows_26_50,0.5066666666666667,32.0,44.0
k_lora_style,Group_2_rows_26_50,0.45999999999999996,8.0,28.000000000000004
aggr7_augmented,Group_3_rows_51_75,0.5266666666666667,12.0,36.0
baseline,Group_3_rows_51_75,0.66,32.0,48.0
halfsum,Group_3_rows_51_75,0.4666666666666666,16.0,24.0
instructed,Group_3_rows_51_75,0.5599999999999999,12.0,40.0
instructed_style,Group_3_rows_51_75,0.6533333333333333,24.0,56.00000000000001
instructed_theme,Group_3_rows_51_75,0.4133333333333334,0.0,16.0
k_lora_style,Group_3_rows_51_75,0.2933333333333333,0.0,0.0
aggr7_augmented,Group_4_rows_76_100,0.5466666666666666,12.0,48.0
baseline,Group_4_rows_76_100,0.48,8.0,36.0
halfsum,Group_4_rows_76_100,0.4266666666666666,4.0,32.0
instructed,Group_4_rows_76_100,0.4533333333333333,12.0,28.000000000000004
instructed_style,Group_4_rows_76_100,0.7066666666666667,24.0,68.0
instructed_theme,Group_4_rows_76_100,0.5533333333333333,28.000000000000004,40.0
k_lora_style,Group_4_rows_76_100,0.30666666666666664,4.0,8.0
aggr7_augmented,Group_5_rows_101_plus,0.5757575757575758,22.727272727272727,47.72727272727273
baseline,Group_5_rows_101_plus,0.6325757575757576,22.727272727272727,56.81818181818182
halfsum,Group_5_rows_101_plus,0.409090909090909,6.8181818181818175,20.454545454545457
instructed,Group_5_rows_101_plus,0.5,2.272727272727273,43.18181818181818
instructed_style,Group_5_rows_101_plus,0.5681818181818182,15.909090909090908,50.0
instructed_theme,Group_5_rows_101_plus,0.5,18.181818181818183,36.36363636363637
k_lora_style,Group_5_rows_101_plus,0.2575757575757576,2.272727272727273,9.090909090909092
