halfsum_score,instruct_score,k_lora_score,ours_augmented_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.633,0.000,0.582,0.643,0.669,0.667,0.633
0.654,0.468,0.645,0.614,0.669,0.648,0.596
0.640,0.640,0.770,0.598,0.800,0.770,0.000
0.667,0.000,0.439,0.800,0.571,0.667,0.596
0.667,0.600,0.738,0.648,0.571,0.627,0.667
0.542,0.439,0.000,0.771,0.471,0.633,0.000
0.596,0.543,0.500,0.500,0.500,0.684,0.599
0.640,0.468,0.633,0.700,0.598,0.648,0.648
0.667,0.497,0.497,0.582,0.742,0.770,0.633
0.640,0.342,0.471,0.000,0.397,0.770,0.000
0.471,0.000,0.616,0.500,0.471,0.698,0.000
0.497,0.397,0.464,0.640,0.421,0.684,0.633
0.633,0.600,0.669,0.497,0.771,0.667,0.645
0.770,0.500,0.000,0.370,0.571,0.717,0.000
0.571,0.370,0.667,0.497,0.497,0.596,0.667
0.640,0.000,0.000,0.571,0.471,0.633,0.000
0.598,0.571,0.471,0.497,0.648,0.667,0.667
0.671,0.439,0.640,0.370,0.399,0.640,0.637
0.640,0.000,0.640,0.471,0.497,0.717,0.596
0.698,0.471,0.698,0.397,0.397,0.640,0.531
0.741,0.471,0.640,0.698,0.640,0.684,0.531
0.442,0.499,0.667,0.500,0.598,0.667,0.000
0.000,0.370,0.637,0.640,0.571,0.648,0.000
0.640,0.300,0.540,0.770,0.502,0.645,0.645
0.654,0.000,0.582,0.684,0.742,0.667,0.000
0.640,0.370,0.566,0.633,0.397,0.643,0.596
0.397,0.300,0.471,0.640,0.370,0.000,0.000
0.421,0.370,0.439,0.000,0.598,0.640,0.399
0.397,0.000,0.640,0.499,0.421,0.633,0.000
0.397,0.471,0.667,0.327,0.397,0.640,0.667
0.543,0.471,0.439,0.500,0.468,0.633,0.000
0.571,0.370,0.397,0.471,0.397,0.640,0.598
0.571,0.000,0.598,0.523,0.700,0.667,0.471
0.497,0.300,0.370,0.497,0.342,0.717,0.599
0.370,0.370,0.000,0.000,0.497,0.598,0.000
0.397,0.370,0.370,0.571,0.397,0.633,0.397
0.397,0.000,0.540,0.648,0.397,0.000,0.000
0.643,0.000,0.439,0.000,0.700,0.640,0.637
0.742,0.397,0.671,0.397,0.471,0.633,0.633
0.397,0.000,0.370,0.614,0.540,0.000,0.489
0.468,0.397,0.442,0.000,0.598,0.698,0.500
