column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.46,0.06,0.24
instruct,Overall,0.31,0.01,0.08
k_lora,Overall,0.44,0.06,0.26
ours_augmented,Overall,0.58,0.22,0.51
style_instruct,Overall,0.55,0.12,0.38
super_baseline,Overall,0.74,0.36,0.68
theme_instruct,Overall,0.46,0.04,0.27
halfsum,Group_1_rows_1_25,0.65,0.16,0.52
instruct,Group_1_rows_1_25,0.19,0.0,0.0
k_lora,Group_1_rows_1_25,0.5,0.04,0.44
ours_augmented,Group_1_rows_1_25,0.5,0.16,0.44
style_instruct,Group_1_rows_1_25,0.51,0.2,0.36
super_baseline,Group_1_rows_1_25,0.82,0.28,0.96
theme_instruct,Group_1_rows_1_25,0.43,0.0,0.28
halfsum,Group_2_rows_26_50,0.55,0.04,0.32
instruct,Group_2_rows_26_50,0.19,0.0,0.0
k_lora,Group_2_rows_26_50,0.56,0.12,0.56
ours_augmented,Group_2_rows_26_50,0.42,0.12,0.32
style_instruct,Group_2_rows_26_50,0.51,0.12,0.36
super_baseline,Group_2_rows_26_50,0.77,0.44,0.8
theme_instruct,Group_2_rows_26_50,0.48,0.08,0.36
halfsum,Group_3_rows_51_75,0.43,0.0,0.0
instruct,Group_3_rows_51_75,0.48,0.08,0.08
k_lora,Group_3_rows_51_75,0.43,0.0,0.0
ours_augmented,Group_3_rows_51_75,0.81,0.52,0.68
style_instruct,Group_3_rows_51_75,0.59,0.08,0.28
super_baseline,Group_3_rows_51_75,0.49,0.08,0.08
theme_instruct,Group_3_rows_51_75,0.47,0.0,0.08
halfsum,Group_4_rows_76_100,0.38,0.08,0.24
instruct,Group_4_rows_76_100,0.33,0.0,0.16
k_lora,Group_4_rows_76_100,0.36,0.08,0.16
ours_augmented,Group_4_rows_76_100,0.62,0.24,0.6
style_instruct,Group_4_rows_76_100,0.56,0.12,0.48
super_baseline,Group_4_rows_76_100,0.77,0.44,0.76
theme_instruct,Group_4_rows_76_100,0.43,0.04,0.28
halfsum,Group_5_rows_101_plus,0.38,0.05,0.18
instruct,Group_5_rows_101_plus,0.34,0.0,0.14
k_lora,Group_5_rows_101_plus,0.38,0.07,0.18
ours_augmented,Group_5_rows_101_plus,0.57,0.11,0.5
style_instruct,Group_5_rows_101_plus,0.56,0.11,0.39
super_baseline,Group_5_rows_101_plus,0.79,0.48,0.75
theme_instruct,Group_5_rows_101_plus,0.48,0.07,0.32
