halfsum_score,instruct_score,k_lora_score,ours_augmented_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.669,0.000,0.596,0.643,0.468,0.684,0.640
0.497,0.397,0.620,0.593,0.571,0.738,0.608
0.648,0.471,0.000,0.669,0.000,0.738,0.633
0.640,0.000,0.000,0.543,0.543,0.633,0.620
0.669,0.571,0.738,0.497,0.667,0.754,0.648
0.598,0.596,0.000,0.571,0.500,0.684,0.648
0.640,0.471,0.684,0.669,0.421,0.620,0.620
0.741,0.439,0.000,0.700,0.640,0.684,0.000
0.684,0.531,0.000,0.598,0.571,0.633,0.566
0.640,0.412,0.669,0.569,0.640,0.596,0.000
0.397,0.500,0.640,0.669,0.397,0.738,0.669
0.667,0.370,0.000,0.528,0.397,0.645,0.620
0.741,0.540,0.738,0.526,0.489,0.633,0.620
0.598,0.439,0.000,0.599,0.489,0.667,0.648
0.599,0.300,0.620,0.540,0.643,0.771,0.555
0.471,0.000,0.000,0.471,0.397,0.770,0.648
0.633,0.000,0.684,0.599,0.489,0.800,0.648
0.633,0.000,0.000,0.598,0.571,0.000,0.596
0.667,0.571,0.633,0.616,0.397,0.800,0.620
0.613,0.000,0.439,0.471,0.543,0.738,0.620
0.669,0.439,0.000,0.499,0.421,0.738,0.620
0.397,0.370,0.640,0.468,0.370,0.742,0.648
0.543,0.370,0.000,0.616,0.540,0.616,0.000
0.640,0.439,0.684,0.640,0.640,0.738,0.633
0.637,0.000,0.667,0.439,0.397,0.698,0.000
0.397,0.370,0.669,0.327,0.489,0.616,0.640
0.421,0.370,0.000,0.599,0.397,0.000,0.596
0.421,0.227,0.397,0.327,0.342,0.671,0.599
0.397,0.397,0.640,0.528,0.364,0.741,0.633
0.489,0.000,0.640,0.327,0.445,0.667,0.633
0.471,0.000,0.531,0.000,0.000,0.667,0.000
0.397,0.319,0.669,0.557,0.489,0.669,0.599
0.643,0.397,0.698,0.000,0.445,0.771,0.645
0.397,0.497,0.633,0.397,0.319,0.667,0.566
0.397,0.000,0.540,0.497,0.489,0.555,0.531
