column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.46,0.07,0.29
instruct,Overall,0.28,0.0,0.08
k_lora,Overall,0.43,0.06,0.3
ours_augmented,Overall,0.58,0.12,0.5
style_instruct,Overall,0.41,0.01,0.19
super_baseline,Overall,0.87,0.68,0.85
theme_instruct,Overall,0.48,0.03,0.4
halfsum,Group_1_rows_1_25,0.69,0.24,0.68
instruct,Group_1_rows_1_25,0.18,0.0,0.0
k_lora,Group_1_rows_1_25,0.44,0.08,0.44
ours_augmented,Group_1_rows_1_25,0.52,0.0,0.36
style_instruct,Group_1_rows_1_25,0.34,0.0,0.08
super_baseline,Group_1_rows_1_25,0.87,0.64,0.88
theme_instruct,Group_1_rows_1_25,0.53,0.0,0.48
halfsum,Group_2_rows_26_50,0.41,0.0,0.2
instruct,Group_2_rows_26_50,0.15,0.0,0.0
k_lora,Group_2_rows_26_50,0.69,0.12,0.76
ours_augmented,Group_2_rows_26_50,0.41,0.04,0.2
style_instruct,Group_2_rows_26_50,0.26,0.0,0.0
super_baseline,Group_2_rows_26_50,0.89,0.72,0.92
theme_instruct,Group_2_rows_26_50,0.68,0.08,0.8
halfsum,Group_3_rows_51_75,0.48,0.08,0.24
instruct,Group_3_rows_51_75,0.39,0.0,0.16
k_lora,Group_3_rows_51_75,0.39,0.0,0.12
ours_augmented,Group_3_rows_51_75,0.69,0.2,0.64
style_instruct,Group_3_rows_51_75,0.46,0.0,0.16
super_baseline,Group_3_rows_51_75,0.83,0.68,0.76
theme_instruct,Group_3_rows_51_75,0.31,0.0,0.0
halfsum,Group_4_rows_76_100,0.43,0.04,0.24
instruct,Group_4_rows_76_100,0.31,0.0,0.12
k_lora,Group_4_rows_76_100,0.34,0.08,0.16
ours_augmented,Group_4_rows_76_100,0.62,0.08,0.6
style_instruct,Group_4_rows_76_100,0.43,0.0,0.28
super_baseline,Group_4_rows_76_100,0.91,0.76,0.88
theme_instruct,Group_4_rows_76_100,0.46,0.04,0.4
halfsum,Group_5_rows_101_plus,0.38,0.02,0.18
instruct,Group_5_rows_101_plus,0.34,0.0,0.11
k_lora,Group_5_rows_101_plus,0.34,0.05,0.14
ours_augmented,Group_5_rows_101_plus,0.63,0.23,0.61
style_instruct,Group_5_rows_101_plus,0.49,0.02,0.32
super_baseline,Group_5_rows_101_plus,0.86,0.64,0.84
theme_instruct,Group_5_rows_101_plus,0.47,0.02,0.36
