halfsum_score,instruct_score,k_lora_score,ours_augmented_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.741,0.000,0.705,0.757,0.637,0.705,0.000
0.771,0.000,0.667,0.743,0.571,0.667,0.742
0.741,0.471,0.741,0.757,0.640,0.741,0.640
0.743,0.000,0.770,0.671,0.640,0.770,0.667
0.771,0.471,0.770,0.643,0.571,0.770,0.000
0.598,0.669,0.742,0.521,0.771,0.742,0.500
0.770,0.571,0.741,0.571,0.742,0.741,0.571
0.489,0.439,0.741,0.743,0.497,0.741,0.598
0.671,0.000,0.771,0.000,0.757,0.771,0.571
0.813,0.370,0.770,0.497,0.771,0.800,0.741
0.671,0.464,0.741,0.599,0.771,0.770,0.000
0.598,0.439,0.741,0.640,0.713,0.741,0.000
0.671,0.640,0.771,0.743,0.742,0.771,0.000
0.713,0.000,0.770,0.500,0.741,0.770,0.800
0.743,0.489,0.741,0.571,0.771,0.741,0.669
0.598,0.500,0.741,0.370,0.598,0.741,0.000
0.598,0.599,0.793,0.671,0.489,0.793,0.000
0.771,0.442,0.669,0.571,0.671,0.669,0.640
0.771,0.571,0.771,0.599,0.471,0.771,0.713
0.643,0.571,0.800,0.571,0.543,0.800,0.543
0.648,0.616,0.757,0.571,0.439,0.757,0.000
0.713,0.000,0.669,0.598,0.742,0.669,0.640
0.669,0.640,0.669,0.442,0.741,0.669,0.571
0.742,0.667,0.800,0.571,0.742,0.800,0.000
0.671,0.000,0.743,0.671,0.464,0.743,0.000
0.397,0.370,0.598,0.370,0.397,0.700,0.667
0.397,0.500,0.439,0.471,0.397,0.571,0.571
0.571,0.497,0.742,0.471,0.598,0.771,0.571
0.497,0.000,0.543,0.471,0.397,0.742,0.500
0.523,0.342,0.397,0.497,0.397,0.397,0.543
0.397,0.000,0.640,0.370,0.397,0.771,0.000
0.421,0.370,0.669,0.643,0.471,0.640,0.000
0.571,0.397,0.598,0.397,0.497,0.421,0.571
0.471,0.593,0.643,0.000,0.471,0.771,0.397
0.543,0.000,0.000,0.370,0.512,0.599,0.000
0.397,0.397,0.713,0.471,0.421,0.713,0.471
0.497,0.370,0.543,0.000,0.397,0.571,0.000
0.571,0.397,0.571,0.471,0.598,0.771,0.741
0.598,0.543,0.742,0.000,0.571,0.643,0.497
0.489,0.370,0.742,0.671,0.471,0.771,0.640
0.643,0.000,0.742,0.643,0.397,0.713,0.000
0.397,0.548,0.471,0.000,0.471,0.397,0.571
0.497,0.442,0.743,0.000,0.397,0.397,0.471
0.000,0.000,0.000,0.000,0.397,0.000,0.439
0.599,0.300,0.742,0.471,0.397,0.743,0.671
0.598,0.540,0.741,0.742,0.523,0.741,0.640
0.300,0.000,0.000,0.521,0.000,0.300,0.439
0.742,0.640,0.713,0.599,0.439,0.543,0.397
0.497,0.000,0.464,0.743,0.489,0.598,0.000
