column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.44,0.06,0.27
instruct,Overall,0.31,0.01,0.12
k_lora,Overall,0.57,0.1,0.49
ours_augmented,Overall,0.54,0.12,0.47
style_instruct,Overall,0.52,0.1,0.37
super_baseline,Overall,0.78,0.35,0.76
theme_instruct,Overall,0.32,0.05,0.15
halfsum,Group_1_rows_1_25,0.64,0.2,0.56
instruct,Group_1_rows_1_25,0.18,0.0,0.0
k_lora,Group_1_rows_1_25,0.72,0.0,0.72
ours_augmented,Group_1_rows_1_25,0.41,0.12,0.24
style_instruct,Group_1_rows_1_25,0.52,0.2,0.4
super_baseline,Group_1_rows_1_25,0.74,0.0,0.76
theme_instruct,Group_1_rows_1_25,0.23,0.04,0.08
halfsum,Group_2_rows_26_50,0.52,0.04,0.32
instruct,Group_2_rows_26_50,0.25,0.0,0.16
k_lora,Group_2_rows_26_50,0.7,0.2,0.68
ours_augmented,Group_2_rows_26_50,0.41,0.12,0.28
style_instruct,Group_2_rows_26_50,0.4,0.0,0.16
super_baseline,Group_2_rows_26_50,0.75,0.44,0.72
theme_instruct,Group_2_rows_26_50,0.49,0.12,0.44
halfsum,Group_3_rows_51_75,0.3,0.04,0.08
instruct,Group_3_rows_51_75,0.34,0.0,0.08
k_lora,Group_3_rows_51_75,0.75,0.08,0.72
ours_augmented,Group_3_rows_51_75,0.57,0.16,0.56
style_instruct,Group_3_rows_51_75,0.5,0.12,0.28
super_baseline,Group_3_rows_51_75,0.74,0.04,0.72
theme_instruct,Group_3_rows_51_75,0.24,0.0,0.0
halfsum,Group_4_rows_76_100,0.35,0.0,0.24
instruct,Group_4_rows_76_100,0.31,0.0,0.04
k_lora,Group_4_rows_76_100,0.43,0.08,0.32
ours_augmented,Group_4_rows_76_100,0.72,0.2,0.76
style_instruct,Group_4_rows_76_100,0.49,0.0,0.36
super_baseline,Group_4_rows_76_100,0.87,0.68,0.84
theme_instruct,Group_4_rows_76_100,0.34,0.04,0.12
halfsum,Group_5_rows_101_plus,0.41,0.02,0.2
instruct,Group_5_rows_101_plus,0.4,0.02,0.25
k_lora,Group_5_rows_101_plus,0.39,0.14,0.23
ours_augmented,Group_5_rows_101_plus,0.56,0.07,0.48
style_instruct,Group_5_rows_101_plus,0.6,0.14,0.52
super_baseline,Group_5_rows_101_plus,0.8,0.5,0.77
theme_instruct,Group_5_rows_101_plus,0.31,0.05,0.11
