cheerful_augmented_more_score,halfsum_score,instruct_score,k_lora_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.700,0.640,0.000,0.596,0.468,0.684,0.640
0.671,0.497,0.397,0.620,0.571,0.738,0.608
0.598,0.648,0.471,0.000,0.000,0.738,0.633
0.000,0.640,0.000,0.000,0.543,0.633,0.620
0.669,0.669,0.571,0.738,0.667,0.754,0.648
0.468,0.598,0.596,0.000,0.500,0.684,0.648
0.471,0.640,0.471,0.684,0.421,0.620,0.620
0.598,0.741,0.439,0.000,0.640,0.684,0.000
0.671,0.684,0.531,0.000,0.571,0.633,0.587
0.671,0.640,0.412,0.669,0.640,0.596,0.000
0.000,0.397,0.500,0.640,0.397,0.667,0.669
0.599,0.667,0.370,0.000,0.397,0.645,0.666
0.582,0.741,0.540,0.738,0.489,0.633,0.620
0.599,0.598,0.439,0.000,0.489,0.667,0.645
0.770,0.599,0.300,0.620,0.571,0.771,0.555
0.578,0.471,0.000,0.000,0.397,0.770,0.648
0.599,0.633,0.000,0.684,0.489,0.800,0.608
0.640,0.633,0.000,0.000,0.571,0.000,0.596
0.669,0.667,0.571,0.633,0.397,0.800,0.620
0.598,0.613,0.000,0.439,0.543,0.738,0.620
0.468,0.727,0.439,0.000,0.421,0.738,0.620
0.397,0.397,0.370,0.640,0.370,0.742,0.648
0.471,0.543,0.370,0.000,0.540,0.616,0.000
0.700,0.640,0.439,0.684,0.640,0.738,0.633
0.000,0.637,0.000,0.667,0.397,0.698,0.000
0.397,0.397,0.370,0.669,0.364,0.616,0.640
0.000,0.421,0.370,0.000,0.397,0.000,0.596
0.327,0.421,0.227,0.397,0.342,0.671,0.599
0.669,0.397,0.397,0.640,0.364,0.741,0.633
0.571,0.489,0.000,0.640,0.445,0.667,0.633
0.000,0.471,0.000,0.531,0.000,0.667,0.000
0.640,0.397,0.319,0.669,0.489,0.669,0.599
0.397,0.643,0.397,0.698,0.445,0.771,0.633
0.600,0.397,0.497,0.633,0.319,0.667,0.566
0.640,0.397,0.000,0.540,0.489,0.555,0.531
0.421,0.640,0.319,0.669,0.364,0.620,0.596
0.327,0.397,0.000,0.000,0.397,0.669,0.000
0.667,0.397,0.000,0.531,0.489,0.770,0.620
0.364,0.421,0.000,0.667,0.397,0.717,0.633
0.000,0.445,0.397,0.640,0.445,0.698,0.640
0.319,0.397,0.319,0.669,0.342,0.770,0.640
0.640,0.497,0.500,0.640,0.397,0.633,0.633
0.598,0.497,0.319,0.566,0.364,0.489,0.667
0.000,0.370,0.342,0.531,0.370,0.596,0.000
0.700,0.489,0.397,0.667,0.364,0.770,0.667
0.571,0.598,0.397,0.531,0.364,0.770,0.667
0.000,0.370,0.370,0.000,0.342,0.464,0.596
0.370,0.000,0.000,0.531,0.342,0.698,0.000
0.669,0.489,0.397,0.637,0.489,0.667,0.633
0.421,0.421,0.397,0.000,0.397,0.770,0.633
0.397,0.640,0.000,0.000,0.489,0.700,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.633,0.471,0.000,0.000,0.000,0.000
0.571,0.531,0.000,0.000,0.370,0.645,0.000
0.397,0.000,0.000,0.582,0.421,0.770,0.000
0.000,0.000,0.000,0.000,0.000,0.770,0.000
0.000,0.000,0.471,0.000,0.598,0.000,0.000
0.640,0.000,0.000,0.000,0.000,0.800,0.000
0.000,0.000,0.000,0.620,0.000,0.684,0.000
0.471,0.000,0.000,0.000,0.000,0.000,0.000
0.472,0.000,0.370,0.000,0.000,0.000,0.000
0.669,0.000,0.000,0.000,0.000,0.717,0.000
0.000,0.000,0.000,0.000,0.000,0.698,0.000
0.421,0.000,0.000,0.000,0.000,0.684,0.000
0.000,0.000,0.000,0.000,0.000,0.599,0.000
0.571,0.640,0.319,0.640,0.397,0.800,0.000
0.000,0.000,0.000,0.000,0.000,0.717,0.000
0.000,0.000,0.000,0.000,0.000,0.645,0.000
0.571,0.000,0.000,0.000,0.471,0.633,0.000
0.598,0.000,0.000,0.000,0.000,0.770,0.000
0.421,0.669,0.397,0.000,0.489,0.000,0.000
0.471,0.571,0.000,0.000,0.000,0.671,0.000
0.319,0.000,0.000,0.000,0.397,0.754,0.000
0.599,0.000,0.000,0.000,0.000,0.578,0.000
0.640,0.000,0.370,0.000,0.000,0.633,0.000
0.497,0.421,0.397,0.000,0.397,0.770,0.596
0.471,0.421,0.000,0.000,0.000,0.738,0.596
0.598,0.000,0.000,0.000,0.000,0.531,0.000
0.468,0.000,0.000,0.000,0.370,0.669,0.596
0.489,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.497,0.319,0.698,0.596
0.000,0.000,0.370,0.000,0.370,0.667,0.648
0.489,0.000,0.000,0.000,0.000,0.669,0.000
0.599,0.489,0.370,0.571,0.421,0.698,0.000
0.528,0.397,0.000,0.669,0.421,0.643,0.000
0.000,0.000,0.000,0.000,0.489,0.616,0.667
0.489,0.397,0.000,0.640,0.489,0.571,0.000
0.000,0.397,0.000,0.542,0.364,0.770,0.596
0.671,0.000,0.370,0.000,0.000,0.667,0.000
0.397,0.000,0.300,0.000,0.000,0.566,0.000
0.599,0.489,0.000,0.000,0.489,0.684,0.000
0.500,0.445,0.370,0.000,0.000,0.700,0.000
0.571,0.000,0.000,0.000,0.000,0.645,0.000
0.397,0.489,0.227,0.000,0.397,0.770,0.000
0.000,0.543,0.000,0.000,0.489,0.397,0.608
0.000,0.000,0.000,0.000,0.000,0.743,0.531
0.364,0.397,0.370,0.607,0.364,0.717,0.648
0.497,0.000,0.370,0.000,0.000,0.633,0.000
0.700,0.489,0.000,0.000,0.370,0.000,0.000
0.397,0.000,0.000,0.000,0.489,0.717,0.000
0.000,0.000,0.342,0.000,0.489,0.640,0.633
0.000,0.633,0.000,0.000,0.397,0.669,0.000
0.542,0.000,0.000,0.000,0.445,0.000,0.000
0.471,0.640,0.000,0.000,0.397,0.667,0.000
0.000,0.000,0.000,0.000,0.342,0.717,0.633
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.489,0.364,0.000,0.531,0.370,0.640,0.000
0.000,0.489,0.000,0.000,0.364,0.669,0.531
0.471,0.370,0.000,0.000,0.421,0.640,0.000
0.000,0.000,0.000,0.000,0.364,0.599,0.000
0.599,0.000,0.000,0.000,0.000,0.770,0.000
0.000,0.000,0.000,0.000,0.000,0.640,0.000
0.599,0.000,0.370,0.000,0.000,0.640,0.000
0.397,0.000,0.000,0.000,0.445,0.698,0.000
0.319,0.397,0.000,0.741,0.319,0.667,0.571
0.421,0.364,0.471,0.743,0.450,0.667,0.717
0.342,0.000,0.439,0.000,0.397,0.489,0.000
0.000,0.000,0.000,0.000,0.000,0.684,0.000
0.499,0.000,0.471,0.000,0.295,0.596,0.000
0.471,0.000,0.000,0.000,0.000,0.633,0.000
0.370,0.000,0.000,0.000,0.421,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.633,0.000
0.421,0.000,0.000,0.000,0.364,0.667,0.640
0.500,0.000,0.300,0.000,0.397,0.640,0.637
0.497,0.000,0.000,0.000,0.000,0.000,0.000
0.569,0.439,0.000,0.000,0.364,0.684,0.531
0.295,0.397,0.000,0.000,0.489,0.000,0.000
0.000,0.000,0.000,0.000,0.489,0.596,0.000
0.421,0.000,0.000,0.000,0.000,0.599,0.000
0.000,0.421,0.000,0.000,0.489,0.582,0.566
0.598,0.489,0.397,0.000,0.364,0.591,0.633
0.599,0.000,0.471,0.000,0.397,0.738,0.531
0.370,0.000,0.000,0.000,0.489,0.669,0.000
0.397,0.000,0.000,0.000,0.489,0.000,0.000
0.397,0.000,0.342,0.000,0.000,0.671,0.000
0.640,0.364,0.397,0.481,0.364,0.598,0.000
0.523,0.671,0.000,0.633,0.364,0.598,0.000
0.571,0.397,0.000,0.000,0.000,0.698,0.000
0.000,0.578,0.000,0.540,0.445,0.700,0.633
0.540,0.582,0.319,0.000,0.364,0.640,0.596
0.515,0.000,0.000,0.566,0.370,0.633,0.531
0.614,0.000,0.397,0.000,0.364,0.645,0.531
0.598,0.000,0.397,0.397,0.364,0.667,0.596
0.439,0.000,0.000,0.000,0.364,0.531,0.000
