halfsum_score,instruct_score,k_lora_score,sad_augmented_more_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.705,0.531,0.741,0.800,0.667,0.738,0.738
0.742,0.599,0.770,0.770,0.742,0.771,0.727
0.684,0.000,0.717,0.800,0.000,0.842,0.667
0.770,0.000,0.741,0.669,0.684,0.705,0.684
0.738,0.669,0.741,0.770,0.599,0.770,0.741
0.648,0.531,0.770,0.770,0.648,0.770,0.741
0.742,0.598,0.741,0.741,0.648,0.771,0.770
0.640,0.342,0.738,0.770,0.571,0.669,0.667
0.757,0.557,0.738,0.713,0.669,0.770,0.754
0.000,0.742,0.770,0.599,0.613,0.738,0.770
0.742,0.464,0.667,0.741,0.669,0.770,0.770
0.669,0.531,0.741,0.468,0.640,0.800,0.645
0.738,0.578,0.738,0.717,0.754,0.770,0.770
0.571,0.599,0.738,0.770,0.571,0.770,0.684
0.671,0.531,0.738,0.742,0.648,0.770,0.738
0.713,0.489,0.754,0.717,0.684,0.717,0.738
0.770,0.531,0.667,0.770,0.669,0.770,0.770
0.599,0.439,0.738,0.771,0.599,0.800,0.599
0.741,0.566,0.770,0.700,0.468,0.770,0.684
0.800,0.599,0.770,0.742,0.842,0.770,0.754
0.742,0.738,0.669,0.800,0.598,0.738,0.599
0.598,0.000,0.770,0.742,0.523,0.770,0.684
0.640,0.717,0.738,0.742,0.741,0.842,0.738
0.742,0.593,0.770,0.578,0.669,0.770,0.741
0.669,0.471,0.738,0.669,0.598,0.742,0.571
0.497,0.397,0.571,0.648,0.489,0.770,0.571
0.397,0.447,0.711,0.700,0.421,0.713,0.742
0.397,0.397,0.613,0.648,0.445,0.770,0.770
0.397,0.000,0.742,0.000,0.447,0.738,0.645
0.489,0.397,0.742,0.770,0.397,0.770,0.770
0.447,0.000,0.593,0.616,0.397,0.770,0.000
0.397,0.397,0.640,0.571,0.421,0.770,0.571
0.445,0.000,0.741,0.599,0.397,0.800,0.667
0.643,0.000,0.763,0.500,0.421,0.669,0.742
0.447,0.370,0.637,0.770,0.370,0.717,0.667
0.397,0.000,0.571,0.669,0.421,0.742,0.684
0.472,0.000,0.770,0.698,0.489,0.738,0.669
0.489,0.370,0.640,0.770,0.445,0.741,0.742
0.489,0.370,0.742,0.599,0.421,0.669,0.742
0.447,0.000,0.640,0.571,0.397,0.770,0.667
0.421,0.000,0.742,0.600,0.397,0.669,0.770
0.397,0.471,0.000,0.742,0.397,0.669,0.754
0.445,0.370,0.800,0.742,0.421,0.667,0.633
0.300,0.000,0.770,0.640,0.397,0.637,0.669
0.445,0.000,0.713,0.669,0.397,0.770,0.669
0.397,0.000,0.667,0.742,0.445,0.669,0.640
0.227,0.310,0.669,0.742,0.397,0.000,0.669
0.397,0.471,0.669,0.738,0.397,0.800,0.571
0.421,0.397,0.621,0.640,0.397,0.669,0.578
0.421,0.397,0.669,0.464,0.421,0.738,0.770
0.000,0.563,0.000,0.770,0.599,0.770,0.000
0.000,0.000,0.000,0.770,0.000,0.000,0.000
0.000,0.000,0.633,0.000,0.542,0.738,0.000
0.000,0.000,0.000,0.742,0.000,0.770,0.738
0.000,0.000,0.000,0.000,0.000,0.742,0.000
0.000,0.000,0.000,0.770,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.742,0.669,0.000
0.000,0.000,0.000,0.669,0.000,0.770,0.000
0.000,0.000,0.000,0.770,0.000,0.754,0.738
0.000,0.000,0.000,0.770,0.000,0.738,0.000
0.000,0.000,0.000,0.757,0.000,0.684,0.000
0.000,0.000,0.633,0.700,0.000,0.770,0.000
0.000,0.578,0.000,0.700,0.593,0.738,0.000
0.000,0.000,0.000,0.770,0.000,0.000,0.000
0.000,0.412,0.000,0.742,0.648,0.000,0.000
0.000,0.000,0.000,0.669,0.421,0.770,0.667
0.000,0.000,0.000,0.599,0.000,0.000,0.000
0.000,0.000,0.770,0.000,0.397,0.000,0.000
0.000,0.000,0.000,0.700,0.000,0.770,0.000
0.000,0.397,0.000,0.742,0.000,0.640,0.000
0.000,0.370,0.000,0.770,0.000,0.000,0.770
0.000,0.000,0.000,0.669,0.000,0.770,0.000
0.000,0.370,0.000,0.742,0.000,0.770,0.738
0.000,0.000,0.000,0.000,0.528,0.669,0.000
0.000,0.000,0.000,0.669,0.000,0.000,0.000
0.000,0.442,0.000,0.742,0.515,0.741,0.640
0.421,0.370,0.642,0.800,0.397,0.770,0.669
0.471,0.515,0.000,0.700,0.000,0.741,0.640
0.397,0.000,0.000,0.671,0.397,0.738,0.000
0.000,0.528,0.000,0.397,0.489,0.000,0.000
0.489,0.370,0.842,0.000,0.421,0.800,0.000
0.000,0.000,0.000,0.700,0.397,0.770,0.620
0.000,0.000,0.000,0.742,0.489,0.800,0.667
0.421,0.000,0.770,0.669,0.489,0.717,0.000
0.000,0.599,0.000,0.500,0.421,0.669,0.741
0.000,0.497,0.000,0.599,0.528,0.667,0.000
0.000,0.000,0.000,0.542,0.445,0.742,0.000
0.713,0.000,0.000,0.713,0.421,0.800,0.669
0.000,0.000,0.000,0.770,0.000,0.757,0.669
0.000,0.370,0.000,0.700,0.397,0.800,0.000
0.000,0.571,0.000,0.000,0.445,0.842,0.000
0.421,0.000,0.000,0.599,0.397,0.770,0.000
0.000,0.000,0.000,0.700,0.500,0.743,0.640
0.489,0.000,0.397,0.669,0.445,0.800,0.770
0.445,0.000,0.000,0.599,0.421,0.770,0.711
0.000,0.000,0.000,0.669,0.000,0.842,0.754
0.370,0.000,0.497,0.599,0.421,0.770,0.742
0.571,0.000,0.000,0.800,0.397,0.800,0.000
0.445,0.370,0.000,0.742,0.397,0.000,0.000
0.489,0.342,0.741,0.599,0.397,0.000,0.717
0.000,0.000,0.000,0.569,0.000,0.770,0.000
0.000,0.000,0.000,0.669,0.421,0.671,0.667
0.000,0.000,0.000,0.671,0.397,0.669,0.741
0.000,0.000,0.000,0.742,0.370,0.700,0.620
0.000,0.000,0.000,0.700,0.742,0.754,0.669
0.000,0.000,0.000,0.648,0.000,0.717,0.000
0.445,0.471,0.713,0.742,0.421,0.770,0.447
0.000,0.000,0.743,0.569,0.421,0.771,0.600
0.000,0.000,0.000,0.599,0.000,0.770,0.000
0.397,0.397,0.669,0.770,0.397,0.770,0.000
0.000,0.370,0.000,0.000,0.000,0.738,0.000
0.000,0.000,0.000,0.742,0.640,0.669,0.738
0.000,0.000,0.770,0.700,0.000,0.770,0.684
0.000,0.000,0.000,0.700,0.397,0.800,0.000
0.397,0.439,0.770,0.370,0.000,0.770,0.640
0.445,0.447,0.000,0.000,0.489,0.770,0.742
0.599,0.439,0.000,0.700,0.671,0.742,0.754
0.397,0.000,0.000,0.648,0.000,0.669,0.531
0.000,0.000,0.000,0.771,0.447,0.770,0.738
0.000,0.000,0.000,0.616,0.000,0.741,0.640
0.000,0.000,0.000,0.000,0.000,0.770,0.000
0.000,0.000,0.000,0.671,0.000,0.000,0.620
0.000,0.270,0.800,0.700,0.445,0.742,0.770
0.000,0.000,0.000,0.800,0.489,0.800,0.738
0.000,0.000,0.000,0.700,0.489,0.633,0.000
0.640,0.370,0.741,0.742,0.489,0.770,0.540
0.000,0.000,0.000,0.669,0.397,0.640,0.738
0.397,0.370,0.000,0.770,0.000,0.742,0.705
0.000,0.442,0.000,0.000,0.000,0.684,0.742
0.370,0.540,0.543,0.499,0.397,0.669,0.640
0.000,0.000,0.000,0.770,0.421,0.770,0.645
0.000,0.000,0.000,0.770,0.000,0.000,0.540
0.000,0.000,0.000,0.599,0.489,0.800,0.000
0.000,0.000,0.000,0.640,0.000,0.640,0.000
0.000,0.616,0.000,0.742,0.489,0.735,0.640
0.489,0.000,0.571,0.648,0.421,0.648,0.000
0.000,0.000,0.000,0.770,0.445,0.800,0.700
0.000,0.000,0.000,0.800,0.593,0.770,0.633
0.397,0.439,0.669,0.700,0.489,0.770,0.599
0.397,0.370,0.000,0.599,0.397,0.770,0.667
0.000,0.000,0.000,0.669,0.000,0.669,0.531
0.000,0.000,0.000,0.669,0.421,0.800,0.342
0.000,0.000,0.770,0.700,0.489,0.771,0.000
0.000,0.000,0.000,0.000,0.599,0.637,0.640
