column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.32,0.01,0.1
instruct,Overall,0.24,0.01,0.06
k_lora,Overall,0.46,0.08,0.35
sad_augmented_more,Overall,0.71,0.21,0.73
style_instruct,Overall,0.37,0.01,0.16
super_baseline,Overall,0.83,0.45,0.86
theme_instruct,Overall,0.55,0.07,0.47
halfsum,"(1-25) Style, Theme",0.49,0.04,0.4
instruct,"(1-25) Style, Theme",0.1,0.0,0.04
k_lora,"(1-25) Style, Theme",0.65,0.04,0.6
sad_augmented_more,"(1-25) Style, Theme",0.59,0.12,0.52
style_instruct,"(1-25) Style, Theme",0.29,0.04,0.12
super_baseline,"(1-25) Style, Theme",0.81,0.36,0.8
theme_instruct,"(1-25) Style, Theme",0.52,0.0,0.28
halfsum,"(26-50) not Style, Theme",0.27,0.0,0.0
instruct,"(26-50) not Style, Theme",0.11,0.0,0.0
k_lora,"(26-50) not Style, Theme",0.71,0.2,0.72
sad_augmented_more,"(26-50) not Style, Theme",0.68,0.16,0.6
style_instruct,"(26-50) not Style, Theme",0.24,0.0,0.0
super_baseline,"(26-50) not Style, Theme",0.81,0.36,0.92
theme_instruct,"(26-50) not Style, Theme",0.71,0.16,0.64
halfsum,"(51-75) Style, not Theme",0.3,0.0,0.0
instruct,"(51-75) Style, not Theme",0.4,0.0,0.12
k_lora,"(51-75) Style, not Theme",0.37,0.04,0.12
sad_augmented_more,"(51-75) Style, not Theme",0.8,0.4,0.8
style_instruct,"(51-75) Style, not Theme",0.47,0.04,0.28
super_baseline,"(51-75) Style, not Theme",0.77,0.44,0.68
theme_instruct,"(51-75) Style, not Theme",0.41,0.0,0.2
halfsum,"(76-100) not Style, not Theme",0.35,0.0,0.2
instruct,"(76-100) not Style, not Theme",0.29,0.04,0.12
k_lora,"(76-100) not Style, not Theme",0.29,0.12,0.12
sad_augmented_more,"(76-100) not Style, not Theme",0.75,0.16,0.88
style_instruct,"(76-100) not Style, not Theme",0.45,0.0,0.24
super_baseline,"(76-100) not Style, not Theme",0.85,0.6,0.88
theme_instruct,"(76-100) not Style, not Theme",0.49,0.04,0.52
halfsum,(101+) General,0.24,0.0,0.0
instruct,(101+) General,0.27,0.0,0.05
k_lora,(101+) General,0.34,0.02,0.25
sad_augmented_more,(101+) General,0.74,0.2,0.8
style_instruct,(101+) General,0.4,0.0,0.16
super_baseline,(101+) General,0.88,0.48,0.95
theme_instruct,(101+) General,0.59,0.11,0.59
halfsum,(1-50) Theme,0.38,0.02,0.2
instruct,(1-50) Theme,0.1,0.0,0.02
k_lora,(1-50) Theme,0.68,0.12,0.66
sad_augmented_more,(1-50) Theme,0.63,0.14,0.56
style_instruct,(1-50) Theme,0.27,0.02,0.06
super_baseline,(1-50) Theme,0.81,0.36,0.86
theme_instruct,(1-50) Theme,0.61,0.08,0.46
halfsum,(51+) no Theme,0.29,0.0,0.05
instruct,(51+) no Theme,0.31,0.01,0.09
k_lora,(51+) no Theme,0.34,0.05,0.18
sad_augmented_more,(51+) no Theme,0.76,0.24,0.82
style_instruct,(51+) no Theme,0.43,0.01,0.21
super_baseline,(51+) no Theme,0.84,0.5,0.86
theme_instruct,(51+) no Theme,0.51,0.06,0.47
halfsum,"(76+) no Theme, no Style, General",0.28,0.0,0.07
instruct,"(76+) no Theme, no Style, General",0.28,0.01,0.07
k_lora,"(76+) no Theme, no Style, General",0.32,0.06,0.2
sad_augmented_more,"(76+) no Theme, no Style, General",0.74,0.19,0.83
style_instruct,"(76+) no Theme, no Style, General",0.42,0.0,0.19
super_baseline,"(76+) no Theme, no Style, General",0.86,0.52,0.93
theme_instruct,"(76+) no Theme, no Style, General",0.55,0.09,0.57
halfsum,"(1-25, 51-75) Style",0.4,0.02,0.2
instruct,"(1-25, 51-75) Style",0.25,0.0,0.08
k_lora,"(1-25, 51-75) Style",0.51,0.04,0.36
sad_augmented_more,"(1-25, 51-75) Style",0.69,0.26,0.66
style_instruct,"(1-25, 51-75) Style",0.38,0.04,0.2
super_baseline,"(1-25, 51-75) Style",0.79,0.4,0.74
theme_instruct,"(1-25, 51-75) Style",0.46,0.0,0.24
halfsum,"(26-50, 76-100) no Style",0.31,0.0,0.1
instruct,"(26-50, 76-100) no Style",0.2,0.02,0.06
k_lora,"(26-50, 76-100) no Style",0.5,0.16,0.42
sad_augmented_more,"(26-50, 76-100) no Style",0.71,0.16,0.74
style_instruct,"(26-50, 76-100) no Style",0.35,0.0,0.12
super_baseline,"(26-50, 76-100) no Style",0.83,0.48,0.9
theme_instruct,"(26-50, 76-100) no Style",0.6,0.1,0.58
