aggr5_0_score,aggr5_10_multiple_score,aggr5_10_single_score,aggr5_15_multiple_score,aggr5_15_single_score,aggr5_20_multiple_score,aggr5_20_single_score,aggr5_5_multiple_score,aggr5_5_single_score,aggr5_augmented_score,aggr7_0_score,aggr7_10_multiple_score,aggr7_10_single_score,aggr7_15_multiple_score,aggr7_15_single_score,aggr7_20_multiple_score,aggr7_20_single_score,aggr7_5_multiple_score,aggr7_5_single_score
0.640,0.640,0.773,0.760,0.660,0.760,0.660,0.640,0.773,0.605,0.437,0.550,0.000,0.000,0.000,0.000,0.000,0.550,0.000
0.540,0.513,0.000,0.538,0.660,0.655,0.737,0.625,0.000,0.575,0.459,0.649,0.672,0.294,0.540,0.294,0.540,0.525,0.538
0.658,0.575,0.703,0.000,0.645,0.547,0.640,0.559,0.703,0.612,0.000,0.503,0.672,0.639,0.527,0.535,0.000,0.531,0.396
0.580,0.505,0.630,0.605,0.740,0.680,0.682,0.593,0.737,0.630,0.672,0.667,0.737,0.753,0.584,0.416,0.649,0.672,0.715
0.737,0.000,0.608,0.715,0.740,0.703,0.773,0.672,0.584,0.680,0.630,0.000,0.584,0.406,0.459,0.612,0.396,0.550,0.773
0.703,0.605,0.745,0.655,0.703,0.667,0.763,0.605,0.745,0.459,0.655,0.660,0.593,0.538,0.538,0.333,0.575,0.773,0.649
0.459,0.480,0.566,0.655,0.605,0.392,0.773,0.000,0.505,0.000,0.419,0.505,0.635,0.000,0.367,0.640,0.580,0.682,0.755
0.367,0.540,0.703,0.505,0.538,0.705,0.000,0.294,0.566,0.000,0.584,0.480,0.593,0.559,0.000,0.000,0.491,0.541,0.505
0.645,0.773,0.525,0.737,0.505,0.672,0.612,0.672,0.396,0.703,0.550,0.543,0.544,0.372,0.396,0.547,0.445,0.538,0.333
0.584,0.575,0.000,0.396,0.396,0.667,0.513,0.630,0.575,0.630,0.640,0.559,0.555,0.505,0.740,0.416,0.367,0.630,0.445
0.640,0.410,0.620,0.392,0.535,0.595,0.575,0.348,0.416,0.505,0.550,0.672,0.000,0.367,0.387,0.480,0.406,0.584,0.649
0.605,0.757,0.672,0.660,0.655,0.683,0.672,0.672,0.505,0.672,0.640,0.000,0.000,0.559,0.773,0.575,0.575,0.737,0.682
0.396,0.515,0.313,0.649,0.607,0.550,0.000,0.455,0.333,0.595,0.605,0.557,0.416,0.703,0.288,0.649,0.000,0.387,0.333
0.525,0.550,0.392,0.705,0.540,0.703,0.406,0.525,0.440,0.505,0.000,0.630,0.505,0.396,0.566,0.406,0.505,0.672,0.387
