aggr10_augmented_score,aggr15_augmented_score,aggr5_augmented_score,aggr7_augmented_score
0.639,0.593,0.491,0.639
0.660,0.480,0.630,0.000
0.503,0.000,0.000,0.593
0.593,0.740,0.773,0.538
0.505,0.575,0.000,0.607
0.682,0.580,0.655,0.000
0.445,0.575,0.672,0.406
0.658,0.491,0.333,0.406
0.000,0.640,0.600,0.640
0.547,0.480,0.000,0.575
0.503,0.550,0.630,0.392
0.520,0.672,0.672,0.000
0.333,0.605,0.645,0.521
0.406,0.445,0.416,0.555
0.773,0.333,0.531,0.773
0.773,0.480,0.757,0.773
0.531,0.639,0.505,0.541
0.000,0.491,0.575,0.000
0.600,0.660,0.630,0.773
0.575,0.568,0.598,0.630
0.605,0.640,0.705,0.000
0.737,0.000,0.505,0.406
0.406,0.000,0.584,0.459
0.445,0.505,0.580,0.566
0.660,0.505,0.655,0.445
0.313,0.333,0.531,0.547
0.000,0.333,0.682,0.000
0.000,0.387,0.000,0.000
0.640,0.550,0.416,0.396
0.406,0.419,0.406,0.522
0.000,0.406,0.000,0.333
0.575,0.295,0.000,0.406
0.612,0.000,0.465,0.605
0.288,0.540,0.406,0.294
0.503,0.000,0.538,0.000
0.605,0.474,0.294,0.333
0.000,0.000,0.000,0.000
0.387,0.295,0.561,0.703
0.406,0.406,0.406,0.295
0.333,0.520,0.505,0.333
0.000,0.288,0.703,0.584
0.000,0.333,0.406,0.000
0.419,0.000,0.655,0.406
0.000,0.505,0.000,0.491
0.660,0.333,0.000,0.392
0.505,0.333,0.000,0.468
0.459,0.000,0.295,0.000
0.406,0.593,0.406,0.509
0.225,0.000,0.313,0.333
0.333,0.445,0.645,0.595
0.406,0.000,0.608,0.639
0.000,0.522,0.000,0.000
0.000,0.000,0.000,0.575
0.575,0.593,0.000,0.000
0.000,0.000,0.737,0.000
0.000,0.505,0.000,0.485
0.000,0.000,0.598,0.705
0.660,0.000,0.595,0.575
0.000,0.000,0.000,0.703
0.000,0.000,0.580,0.000
0.000,0.000,0.416,0.000
0.773,0.575,0.640,0.575
0.541,0.000,0.000,0.000
0.406,0.000,0.445,0.000
0.000,0.703,0.000,0.655
0.000,0.605,0.000,0.598
0.000,0.000,0.595,0.000
0.000,0.313,0.406,0.000
0.555,0.000,0.660,0.000
0.640,0.500,0.000,0.000
0.000,0.000,0.000,0.000
0.667,0.480,0.598,0.000
0.392,0.000,0.000,0.000
0.000,0.000,0.000,0.377
0.680,0.000,0.525,0.000
0.000,0.000,0.000,0.605
0.000,0.000,0.605,0.640
0.313,0.000,0.000,0.000
0.000,0.406,0.323,0.541
0.000,0.000,0.000,0.425
0.520,0.672,0.406,0.000
0.406,0.655,0.584,0.000
0.000,0.396,0.445,0.000
0.680,0.406,0.406,0.000
0.000,0.000,0.000,0.406
0.000,0.580,0.000,0.000
0.392,0.000,0.000,0.406
0.000,0.000,0.000,0.595
0.000,0.000,0.000,0.445
0.000,0.000,0.000,0.000
0.406,0.333,0.406,0.392
0.598,0.525,0.000,0.295
0.000,0.540,0.000,0.000
0.000,0.333,0.392,0.000
0.333,0.000,0.387,0.000
0.000,0.000,0.441,0.000
0.550,0.387,0.387,0.000
0.598,0.000,0.000,0.392
0.000,0.000,0.406,0.445
0.387,0.000,0.000,0.288
0.000,0.000,0.000,0.392
0.000,0.000,0.000,0.406
0.000,0.000,0.294,0.000
0.276,0.225,0.703,0.000
0.000,0.505,0.000,0.000
0.000,0.000,0.584,0.406
0.000,0.000,0.406,0.605
0.672,0.410,0.000,0.392
0.367,0.000,0.000,0.000
0.000,0.000,0.000,0.367
0.000,0.000,0.000,0.288
0.000,0.000,0.475,0.541
0.392,0.522,0.000,0.680
0.612,0.000,0.465,0.580
0.000,0.559,0.000,0.000
0.000,0.000,0.406,0.515
0.000,0.000,0.333,0.000
0.509,0.000,0.000,0.593
0.406,0.000,0.640,0.387
0.000,0.000,0.000,0.645
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.000,0.392,0.000,0.367
0.000,0.406,0.000,0.705
0.000,0.520,0.000,0.288
0.367,0.000,0.333,0.348
0.607,0.313,0.541,0.773
0.575,0.000,0.607,0.000
0.000,0.000,0.000,0.000
0.000,0.406,0.313,0.406
0.505,0.000,0.425,0.000
0.000,0.000,0.538,0.387
0.639,0.374,0.352,0.000
0.000,0.000,0.680,0.406
0.000,0.000,0.392,0.387
0.703,0.406,0.540,0.703
0.323,0.000,0.459,0.000
0.000,0.000,0.580,0.000
0.000,0.672,0.000,0.000
0.557,0.000,0.000,0.459
0.000,0.000,0.000,0.541
0.000,0.000,0.333,0.000
0.333,0.000,0.593,0.540
0.000,0.500,0.406,0.406
