ours_augmented_score,sad_augmented_more_score
0.742,0.800
0.770,0.770
0.667,0.800
0.640,0.669
0.742,0.770
0.669,0.770
0.742,0.667
0.640,0.770
0.669,0.713
0.370,0.640
0.770,0.741
0.669,0.497
0.497,0.717
0.397,0.770
0.700,0.742
0.770,0.717
0.599,0.770
0.770,0.771
0.669,0.700
0.700,0.742
0.742,0.800
0.770,0.742
0.754,0.742
0.770,0.578
0.599,0.669
0.598,0.669
0.669,0.700
0.717,0.648
0.671,0.000
0.800,0.770
0.640,0.616
0.557,0.571
0.742,0.599
0.569,0.500
0.571,0.770
0.542,0.669
0.471,0.698
0.742,0.770
0.742,0.599
0.599,0.571
0.600,0.600
0.742,0.742
0.770,0.742
0.000,0.640
0.700,0.669
0.648,0.742
0.000,0.742
0.671,0.738
0.669,0.640
0.571,0.464
0.669,0.669
0.000,0.754
0.738,0.000
0.000,0.742
0.000,0.000
0.000,0.770
0.669,0.000
0.669,0.669
0.717,0.770
0.700,0.770
0.000,0.700
0.000,0.700
0.000,0.700
0.771,0.770
0.569,0.742
0.770,0.669
0.640,0.599
0.742,0.000
0.000,0.700
0.742,0.742
0.770,0.770
0.599,0.669
0.738,0.742
0.800,0.000
0.599,0.669
0.569,0.742
0.770,0.800
0.657,0.700
0.000,0.671
0.571,0.397
0.742,0.000
0.742,0.700
0.599,0.742
0.757,0.669
0.700,0.500
0.640,0.599
0.742,0.542
0.648,0.713
0.497,0.770
0.599,0.700
0.800,0.000
0.421,0.599
0.640,0.700
0.640,0.669
0.669,0.599
0.742,0.669
0.616,0.599
0.800,0.800
0.566,0.742
0.669,0.599
0.640,0.569
0.671,0.669
0.000,0.671
0.000,0.742
0.742,0.700
0.643,0.648
0.669,0.742
0.671,0.569
0.500,0.599
0.770,0.770
0.599,0.000
0.742,0.742
0.657,0.700
0.700,0.700
0.000,0.370
0.800,0.000
0.742,0.700
0.542,0.648
0.600,0.771
0.669,0.616
0.669,0.000
0.000,0.671
0.616,0.700
0.700,0.800
0.700,0.700
0.000,0.742
0.421,0.669
0.616,0.770
0.669,0.000
0.669,0.499
0.599,0.770
0.657,0.770
0.599,0.599
0.000,0.640
0.616,0.742
0.770,0.648
0.800,0.770
0.727,0.800
0.742,0.742
0.648,0.599
0.742,0.669
0.640,0.669
0.770,0.700
0.800,0.000
