aggr5_0,aggr5_10_multiple,aggr5_10_single,aggr5_15_multiple,aggr5_15_single,aggr5_20_multiple,aggr5_20_single,aggr5_5_multiple,aggr5_5_single,aggr5_augmented,aggr7_0,aggr7_10_multiple,aggr7_10_single,aggr7_15_multiple,aggr7_15_single,aggr7_20_multiple,aggr7_20_single,aggr7_5_multiple,aggr7_5_single
0.64,0.64,0.773,0.76,0.66,0.76,0.66,0.64,0.773,0.605,0.437,0.55,0.0,0.0,0.0,0.0,0.0,0.55,0.0
0.54,0.513,0.0,0.538,0.66,0.655,0.737,0.625,0.0,0.575,0.459,0.649,0.672,0.294,0.54,0.294,0.54,0.525,0.538
0.658,0.575,0.703,0.0,0.645,0.547,0.64,0.559,0.703,0.612,0.0,0.503,0.672,0.639,0.527,0.535,0.0,0.531,0.396
0.58,0.505,0.63,0.605,0.74,0.68,0.682,0.593,0.737,0.63,0.672,0.667,0.737,0.753,0.584,0.416,0.649,0.672,0.715
0.737,0.0,0.608,0.715,0.74,0.703,0.773,0.672,0.584,0.68,0.63,0.0,0.584,0.406,0.459,0.612,0.396,0.55,0.773
0.703,0.605,0.745,0.655,0.703,0.667,0.763,0.605,0.745,0.459,0.655,0.66,0.593,0.538,0.538,0.333,0.575,0.773,0.649
0.459,0.48,0.566,0.655,0.605,0.392,0.773,0.0,0.505,0.0,0.419,0.505,0.635,0.0,0.367,0.64,0.58,0.682,0.755
0.367,0.54,0.703,0.505,0.538,0.705,0.0,0.294,0.566,0.0,0.584,0.48,0.593,0.559,0.0,0.0,0.491,0.541,0.505
0.645,0.773,0.525,0.737,0.505,0.672,0.612,0.672,0.396,0.703,0.55,0.543,0.544,0.372,0.396,0.547,0.445,0.538,0.333
0.584,0.575,0.0,0.396,0.396,0.667,0.513,0.63,0.575,0.63,0.64,0.559,0.555,0.505,0.74,0.416,0.367,0.63,0.445
0.64,0.41,0.62,0.392,0.535,0.595,0.575,0.348,0.416,0.505,0.55,0.672,0.0,0.367,0.387,0.48,0.406,0.584,0.649
0.605,0.757,0.672,0.66,0.655,0.683,0.672,0.672,0.505,0.672,0.64,0.0,0.0,0.559,0.773,0.575,0.575,0.737,0.682
0.396,0.515,0.313,0.649,0.607,0.55,0.0,0.455,0.333,0.595,0.605,0.557,0.416,0.703,0.288,0.649,0.0,0.387,0.333
0.525,0.55,0.392,0.705,0.54,0.703,0.406,0.525,0.44,0.505,0.0,0.63,0.505,0.396,0.566,0.406,0.505,0.672,0.387
0.7,0.593,0.445,0.658,0.542,0.474,0.531,0.605,0.522,0.0,0.575,0.672,0.693,0.605,0.612,0.639,0.612,0.557,0.41
0.773,0.649,0.773,0.685,0.649,0.74,0.773,0.757,0.645,0.773,0.593,0.64,0.737,0.693,0.667,0.0,0.76,0.612,0.6
0.437,0.544,0.52,0.63,0.0,0.0,0.559,0.527,0.625,0.559,0.294,0.0,0.0,0.352,0.416,0.0,0.0,0.0,0.396
0.584,0.0,0.55,0.66,0.0,0.584,0.64,0.54,0.727,0.655,0.672,0.605,0.559,0.541,0.649,0.0,0.0,0.639,0.667
0.705,0.0,0.753,0.737,0.0,0.713,0.635,0.667,0.396,0.0,0.575,0.66,0.459,0.737,0.396,0.513,0.505,0.48,0.575
0.66,0.294,0.0,0.655,0.54,0.655,0.6,0.0,0.58,0.575,0.333,0.313,0.416,0.538,0.0,0.406,0.525,0.525,0.406
0.575,0.505,0.333,0.605,0.0,0.406,0.66,0.406,0.294,0.655,0.525,0.455,0.655,0.0,0.505,0.406,0.333,0.0,0.0
0.7,0.367,0.649,0.333,0.41,0.392,0.54,0.491,0.333,0.525,0.658,0.406,0.625,0.313,0.505,0.0,0.54,0.392,0.0
