column,group,normalized_rank,top1_rate,top3_rate
halfsum,Overall,0.5,0.03,0.39
instruct,Overall,0.94,0.69,0.98
k_lora,Overall,0.38,0.01,0.19
ours_augmented,Overall,0.43,0.04,0.35
style_instruct,Overall,0.49,0.04,0.36
super_baseline,Overall,0.1,0.0,0.03
theme_instruct,Overall,0.67,0.19,0.69
halfsum,"(1-25) Style, Theme",0.75,0.12,0.96
instruct,"(1-25) Style, Theme",0.94,0.76,0.96
k_lora,"(1-25) Style, Theme",0.52,0.04,0.4
ours_augmented,"(1-25) Style, Theme",0.29,0.0,0.04
style_instruct,"(1-25) Style, Theme",0.57,0.08,0.44
super_baseline,"(1-25) Style, Theme",0.0,0.0,0.0
theme_instruct,"(1-25) Style, Theme",0.42,0.0,0.2
halfsum,"(26-50) not Style, Theme",0.57,0.0,0.56
instruct,"(26-50) not Style, Theme",0.93,0.64,0.96
k_lora,"(26-50) not Style, Theme",0.56,0.04,0.4
ours_augmented,"(26-50) not Style, Theme",0.45,0.08,0.4
style_instruct,"(26-50) not Style, Theme",0.37,0.0,0.12
super_baseline,"(26-50) not Style, Theme",0.01,0.0,0.0
theme_instruct,"(26-50) not Style, Theme",0.6,0.24,0.56
halfsum,"(51-75) Style, not Theme",0.45,0.04,0.24
instruct,"(51-75) Style, not Theme",0.95,0.72,1.0
k_lora,"(51-75) Style, not Theme",0.44,0.0,0.16
ours_augmented,"(51-75) Style, not Theme",0.38,0.08,0.2
style_instruct,"(51-75) Style, not Theme",0.53,0.04,0.52
super_baseline,"(51-75) Style, not Theme",0.0,0.0,0.0
theme_instruct,"(51-75) Style, not Theme",0.75,0.12,0.88
halfsum,"(76-100) not Style, not Theme",0.43,0.0,0.28
instruct,"(76-100) not Style, not Theme",0.93,0.6,1.0
k_lora,"(76-100) not Style, not Theme",0.25,0.0,0.04
ours_augmented,"(76-100) not Style, not Theme",0.46,0.0,0.4
style_instruct,"(76-100) not Style, not Theme",0.44,0.04,0.32
super_baseline,"(76-100) not Style, not Theme",0.16,0.0,0.04
theme_instruct,"(76-100) not Style, not Theme",0.83,0.36,0.92
halfsum,(101+) General,0.37,0.0,0.11
instruct,(101+) General,0.94,0.7,0.98
k_lora,(101+) General,0.22,0.0,0.07
ours_augmented,(101+) General,0.52,0.05,0.55
style_instruct,(101+) General,0.5,0.05,0.39
super_baseline,(101+) General,0.22,0.0,0.09
theme_instruct,(101+) General,0.73,0.2,0.82
halfsum,(1-50) Theme,0.66,0.06,0.76
instruct,(1-50) Theme,0.93,0.7,0.96
k_lora,(1-50) Theme,0.54,0.04,0.4
ours_augmented,(1-50) Theme,0.37,0.04,0.22
style_instruct,(1-50) Theme,0.47,0.04,0.28
super_baseline,(1-50) Theme,0.01,0.0,0.0
theme_instruct,(1-50) Theme,0.51,0.12,0.38
halfsum,(51+) no Theme,0.41,0.01,0.19
instruct,(51+) no Theme,0.94,0.68,0.99
k_lora,(51+) no Theme,0.29,0.0,0.09
ours_augmented,(51+) no Theme,0.46,0.04,0.41
style_instruct,(51+) no Theme,0.49,0.04,0.4
super_baseline,(51+) no Theme,0.14,0.0,0.05
theme_instruct,(51+) no Theme,0.76,0.22,0.86
halfsum,"(76+) no Theme, no Style, General",0.39,0.0,0.17
instruct,"(76+) no Theme, no Style, General",0.93,0.67,0.99
k_lora,"(76+) no Theme, no Style, General",0.23,0.0,0.06
ours_augmented,"(76+) no Theme, no Style, General",0.5,0.03,0.49
style_instruct,"(76+) no Theme, no Style, General",0.48,0.04,0.36
super_baseline,"(76+) no Theme, no Style, General",0.2,0.0,0.07
theme_instruct,"(76+) no Theme, no Style, General",0.77,0.26,0.86
halfsum,"(1-25, 51-75) Style",0.6,0.08,0.6
instruct,"(1-25, 51-75) Style",0.95,0.74,0.98
k_lora,"(1-25, 51-75) Style",0.48,0.02,0.28
ours_augmented,"(1-25, 51-75) Style",0.34,0.04,0.12
style_instruct,"(1-25, 51-75) Style",0.55,0.06,0.48
super_baseline,"(1-25, 51-75) Style",0.0,0.0,0.0
theme_instruct,"(1-25, 51-75) Style",0.58,0.06,0.54
halfsum,"(26-50, 76-100) no Style",0.5,0.0,0.42
instruct,"(26-50, 76-100) no Style",0.93,0.62,0.98
k_lora,"(26-50, 76-100) no Style",0.41,0.02,0.22
ours_augmented,"(26-50, 76-100) no Style",0.46,0.04,0.4
style_instruct,"(26-50, 76-100) no Style",0.41,0.02,0.22
super_baseline,"(26-50, 76-100) no Style",0.09,0.0,0.02
theme_instruct,"(26-50, 76-100) no Style",0.71,0.3,0.74
