halfsum_score,instruct_score,k_lora_score,ours_augmented_score,style_instruct_score,super_baseline_score,theme_instruct_score
0.738,0.770,0.770,0.800,0.738,0.397,0.770
0.671,0.770,0.671,0.800,0.842,0.300,0.742
0.000,0.738,0.742,0.742,0.000,0.397,0.713
0.738,0.770,0.738,0.669,0.770,0.397,0.763
0.640,0.754,0.738,0.542,0.738,0.342,0.757
0.648,0.842,0.599,0.742,0.770,0.370,0.770
0.757,0.770,0.742,0.713,0.800,0.370,0.757
0.599,0.770,0.754,0.657,0.598,0.342,0.741
0.800,0.842,0.742,0.742,0.754,0.421,0.742
0.599,0.742,0.800,0.742,0.000,0.460,0.669
0.770,0.770,0.770,0.771,0.842,0.421,0.742
0.640,0.770,0.711,0.742,0.770,0.370,0.738
0.743,0.770,0.770,0.599,0.800,0.397,0.770
0.571,0.770,0.598,0.742,0.800,0.397,0.727
0.643,0.842,0.742,0.671,0.800,0.370,0.770
0.713,0.770,0.667,0.770,0.770,0.540,0.770
0.742,0.800,0.000,0.540,0.000,0.397,0.741
0.598,0.800,0.757,0.571,0.742,0.397,0.593
0.669,0.770,0.738,0.770,0.754,0.397,0.738
0.757,0.770,0.754,0.770,0.842,0.421,0.770
0.667,0.800,0.742,0.640,0.770,0.370,0.770
0.571,0.770,0.743,0.471,0.770,0.397,0.742
0.800,0.770,0.800,0.640,0.770,0.370,0.742
0.523,0.770,0.613,0.600,0.671,0.370,0.770
0.770,0.842,0.741,0.569,0.757,0.397,0.800
0.506,0.671,0.763,0.497,0.496,0.489,0.489
0.421,0.842,0.738,0.397,0.757,0.000,0.728
0.421,0.742,0.447,0.800,0.671,0.397,0.528
0.489,0.800,0.643,0.540,0.489,0.370,0.742
0.445,0.800,0.489,0.489,0.598,0.397,0.742
0.000,0.757,0.471,0.713,0.643,0.397,0.711
0.397,0.770,0.397,0.713,0.598,0.397,0.671
0.421,0.742,0.757,0.421,0.540,0.397,0.800
0.421,0.643,0.397,0.421,0.445,0.397,0.757
0.397,0.616,0.637,0.523,0.000,0.445,0.754
0.445,0.671,0.397,0.397,0.497,0.370,0.421
0.543,0.842,0.500,0.757,0.000,0.000,0.671
0.445,0.800,0.757,0.447,0.800,0.397,0.857
0.445,0.770,0.397,0.397,0.598,0.370,0.657
0.421,0.523,0.397,0.445,0.445,0.000,0.599
0.421,0.770,0.643,0.671,0.640,0.397,0.599
0.397,0.667,0.397,0.500,0.700,0.370,0.471
0.489,0.842,0.742,0.743,0.489,0.397,0.743
0.397,0.770,0.370,0.640,0.000,0.370,0.640
0.445,0.742,0.397,0.497,0.421,0.445,0.445
0.445,0.770,0.421,0.421,0.698,0.421,0.489
0.397,0.742,0.542,0.738,0.582,0.370,0.571
0.445,0.742,0.447,0.543,0.445,0.370,0.742
0.397,0.757,0.000,0.421,0.489,0.342,0.738
0.421,0.523,0.742,0.370,0.000,0.370,0.800
0.000,0.770,0.000,0.000,0.000,0.000,0.000
0.000,0.754,0.000,0.000,0.000,0.000,0.669
0.000,0.770,0.000,0.000,0.000,0.000,0.669
0.000,0.800,0.000,0.000,0.000,0.000,0.000
0.000,0.842,0.000,0.000,0.000,0.489,0.770
0.000,0.842,0.000,0.000,0.000,0.000,0.669
0.000,0.770,0.000,0.000,0.000,0.000,0.000
0.000,0.842,0.000,0.000,0.000,0.000,0.738
0.000,0.842,0.000,0.528,0.000,0.000,0.770
0.000,0.754,0.000,0.000,0.000,0.000,0.711
0.000,0.742,0.000,0.742,0.000,0.000,0.742
0.669,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.770,0.000,0.000,0.000,0.000,0.645
0.000,0.800,0.000,0.000,0.000,0.000,0.540
0.000,0.742,0.000,0.497,0.000,0.000,0.640
0.000,0.800,0.000,0.000,0.000,0.000,0.000
0.000,0.770,0.000,0.489,0.000,0.000,0.540
0.000,0.800,0.000,0.000,0.000,0.000,0.000
0.000,0.770,0.000,0.671,0.000,0.000,0.757
0.000,0.727,0.000,0.742,0.000,0.000,0.640
0.000,0.770,0.000,0.000,0.000,0.397,0.770
0.000,0.842,0.000,0.000,0.000,0.000,0.669
0.000,0.770,0.000,0.671,0.000,0.000,0.738
0.000,0.742,0.000,0.000,0.000,0.000,0.000
0.000,0.738,0.000,0.000,0.000,0.000,0.667
0.000,0.770,0.000,0.500,0.000,0.421,0.700
0.000,0.800,0.000,0.757,0.468,0.000,0.000
0.000,0.842,0.000,0.000,0.000,0.397,0.742
0.000,0.842,0.000,0.464,0.000,0.421,0.640
0.000,0.754,0.000,0.421,0.770,0.397,0.497
0.000,0.757,0.000,0.489,0.000,0.370,0.770
0.000,0.770,0.000,0.342,0.000,0.370,0.770
0.000,0.742,0.000,0.397,0.000,0.000,0.643
0.497,0.667,0.000,0.489,0.557,0.489,0.770
