column,group,normalized_rank,top2_rate,top3_rate
aggr_halfsum,Overall,0.53,0.38,0.74
aggr_instruct,Overall,0.39,0.19,0.45
aggr_klora,Overall,0.33,0.29,0.37
aggr_style_instruct,Overall,0.55,0.45,0.7
aggr_theme_instruct,Overall,0.71,0.69,0.74
aggr_halfsum,"(1-25) Style, Theme",0.69,0.68,1.0
aggr_instruct,"(1-25) Style, Theme",0.25,0.08,0.16
aggr_klora,"(1-25) Style, Theme",0.61,0.56,0.72
aggr_style_instruct,"(1-25) Style, Theme",0.32,0.12,0.44
aggr_theme_instruct,"(1-25) Style, Theme",0.63,0.56,0.68
aggr_halfsum,"(26-50) not Style, Theme",0.66,0.6,0.96
aggr_instruct,"(26-50) not Style, Theme",0.37,0.16,0.4
aggr_klora,"(26-50) not Style, Theme",0.59,0.6,0.68
aggr_style_instruct,"(26-50) not Style, Theme",0.35,0.12,0.4
aggr_theme_instruct,"(26-50) not Style, Theme",0.53,0.52,0.56
aggr_halfsum,"(51-75) Style, not Theme",0.48,0.24,0.72
aggr_instruct,"(51-75) Style, not Theme",0.43,0.28,0.52
aggr_klora,"(51-75) Style, not Theme",0.18,0.08,0.16
aggr_style_instruct,"(51-75) Style, not Theme",0.63,0.6,0.8
aggr_theme_instruct,"(51-75) Style, not Theme",0.78,0.8,0.8
aggr_halfsum,"(76-100) not Style, not Theme",0.44,0.32,0.52
aggr_instruct,"(76-100) not Style, not Theme",0.43,0.24,0.56
aggr_klora,"(76-100) not Style, not Theme",0.29,0.24,0.32
aggr_style_instruct,"(76-100) not Style, not Theme",0.69,0.6,0.88
aggr_theme_instruct,"(76-100) not Style, not Theme",0.65,0.6,0.72
aggr_halfsum,(101+) General,0.44,0.18,0.59
aggr_instruct,(101+) General,0.44,0.2,0.55
aggr_klora,(101+) General,0.12,0.11,0.14
aggr_style_instruct,(101+) General,0.65,0.66,0.86
aggr_theme_instruct,(101+) General,0.85,0.84,0.86
aggr_halfsum,(1-50) Theme,0.68,0.64,0.98
aggr_instruct,(1-50) Theme,0.31,0.12,0.28
aggr_klora,(1-50) Theme,0.6,0.58,0.7
aggr_style_instruct,(1-50) Theme,0.33,0.12,0.42
aggr_theme_instruct,(1-50) Theme,0.58,0.54,0.62
aggr_halfsum,(51+) no Theme,0.45,0.23,0.61
aggr_instruct,(51+) no Theme,0.43,0.23,0.54
aggr_klora,(51+) no Theme,0.18,0.14,0.19
aggr_style_instruct,(51+) no Theme,0.66,0.63,0.85
aggr_theme_instruct,(51+) no Theme,0.78,0.77,0.81
aggr_halfsum,"(76+) no Theme, no Style, General",0.44,0.23,0.57
aggr_instruct,"(76+) no Theme, no Style, General",0.43,0.22,0.55
aggr_klora,"(76+) no Theme, no Style, General",0.18,0.16,0.2
aggr_style_instruct,"(76+) no Theme, no Style, General",0.67,0.64,0.87
aggr_theme_instruct,"(76+) no Theme, no Style, General",0.78,0.75,0.81
aggr_halfsum,"(1-25, 51-75) Style",0.58,0.46,0.86
aggr_instruct,"(1-25, 51-75) Style",0.34,0.18,0.34
aggr_klora,"(1-25, 51-75) Style",0.4,0.32,0.44
aggr_style_instruct,"(1-25, 51-75) Style",0.47,0.36,0.62
aggr_theme_instruct,"(1-25, 51-75) Style",0.7,0.68,0.74
aggr_halfsum,"(26-50, 76-100) no Style",0.55,0.46,0.74
aggr_instruct,"(26-50, 76-100) no Style",0.4,0.2,0.48
aggr_klora,"(26-50, 76-100) no Style",0.44,0.42,0.5
aggr_style_instruct,"(26-50, 76-100) no Style",0.52,0.36,0.64
aggr_theme_instruct,"(26-50, 76-100) no Style",0.59,0.56,0.64
