aggr_halfsum_score,aggr_instruct_score,aggr_klora_score,aggr_style_instruct_score,aggr_theme_instruct_score
0.684,0.640,0.717,0.800,0.684
0.421,0.571,0.717,0.543,0.645
0.606,0.684,0.645,0.771,0.684
0.800,0.571,0.738,0.669,0.717
0.700,0.342,0.717,0.489,0.692
0.700,0.684,0.671,0.540,0.669
0.489,0.421,0.497,0.598,0.645
0.397,0.700,0.620,0.598,0.640
0.700,0.489,0.735,0.540,0.684
0.489,0.489,0.669,0.489,0.645
0.397,0.421,0.640,0.489,0.684
0.500,0.648,0.700,0.671,0.754
0.342,0.421,0.640,0.364,0.717
0.489,0.319,0.684,0.489,0.684
0.489,0.370,0.692,0.698,0.717
0.700,0.599,0.648,0.771,0.684
0.460,0.397,0.658,0.648,0.754
0.645,0.671,0.645,0.742,0.684
0.685,0.599,0.667,0.800,0.606
0.742,0.397,0.645,0.540,0.738
0.421,0.397,0.397,0.506,0.555
0.489,0.421,0.447,0.728,0.700
0.540,0.447,0.742,0.564,0.669
0.754,0.599,0.645,0.397,0.738
0.397,0.000,0.770,0.598,0.566
0.342,0.319,0.640,0.397,0.717
0.319,0.397,0.319,0.397,0.000
0.319,0.421,0.370,0.342,0.421
0.421,0.319,0.319,0.364,0.397
0.489,0.342,0.397,0.364,0.684
0.342,0.319,0.000,0.421,0.000
0.319,0.319,0.397,0.364,0.319
0.489,0.342,0.295,0.364,0.000
0.489,0.421,0.717,0.364,0.684
0.489,0.397,0.684,0.342,0.606
0.319,0.319,0.645,0.397,0.319
0.319,0.227,0.000,0.421,0.397
0.489,0.421,0.295,0.385,0.735
0.421,0.319,0.669,0.364,0.399
0.364,0.342,0.598,0.342,0.648
0.000,0.421,0.616,0.364,0.295
0.319,0.319,0.557,0.489,0.319
0.364,0.421,0.421,0.489,0.342
0.000,0.000,0.000,0.489,0.000
0.489,0.364,0.757,0.364,0.421
0.364,0.489,0.599,0.364,0.471
0.342,0.295,0.489,0.319,0.582
0.319,0.342,0.633,0.342,0.421
0.342,0.295,0.667,0.364,0.319
0.489,0.421,0.500,0.624,0.684
0.000,0.397,0.000,0.599,0.000
0.000,0.397,0.000,0.717,0.684
0.421,0.370,0.000,0.000,0.620
0.000,0.370,0.000,0.515,0.555
0.000,0.397,0.000,0.540,0.000
0.000,0.000,0.000,0.421,0.464
0.000,0.397,0.000,0.000,0.000
0.000,0.421,0.000,0.000,0.000
0.397,0.000,0.000,0.540,0.667
0.000,0.421,0.000,0.000,0.000
0.000,0.000,0.000,0.397,0.000
0.000,0.421,0.000,0.489,0.000
0.000,0.635,0.000,0.489,0.000
0.397,0.421,0.633,0.489,0.620
0.000,0.489,0.000,0.000,0.606
0.000,0.000,0.000,0.000,0.684
0.397,0.000,0.000,0.515,0.645
0.421,0.000,0.000,0.700,0.606
0.000,0.000,0.000,0.598,0.640
0.421,0.397,0.000,0.489,0.741
0.000,0.397,0.000,0.635,0.000
0.000,0.421,0.000,0.489,0.620
0.421,0.000,0.000,0.000,0.000
0.563,0.000,0.000,0.489,0.000
0.000,0.000,0.000,0.489,0.000
0.421,0.319,0.000,0.364,0.684
0.364,0.000,0.000,0.489,0.606
0.000,0.000,0.000,0.421,0.000
0.319,0.319,0.000,0.000,0.582
0.000,0.397,0.000,0.489,0.000
0.489,0.397,0.000,0.489,0.397
0.489,0.397,0.000,0.489,0.748
0.000,0.319,0.000,0.364,0.640
0.489,0.319,0.000,0.489,0.319
0.000,0.319,0.645,0.489,0.000
0.000,0.421,0.000,0.489,0.439
0.000,0.319,0.000,0.364,0.566
0.000,0.319,0.000,0.385,0.421
0.319,0.370,0.000,0.489,0.000
0.000,0.421,0.000,0.489,0.669
0.000,0.397,0.000,0.342,0.667
0.000,0.342,0.620,0.489,0.319
0.397,0.421,0.000,0.364,0.421
0.489,0.342,0.620,0.489,0.447
0.000,0.489,0.000,0.489,0.397
0.000,0.319,0.000,0.489,0.627
0.489,0.489,0.000,0.489,0.500
0.000,0.397,0.000,0.489,0.397
0.500,0.000,0.000,0.489,0.738
0.397,0.421,0.000,0.489,0.397
0.000,0.364,0.000,0.489,0.566
0.489,0.295,0.000,0.540,0.000
0.364,0.319,0.000,0.624,0.000
0.364,0.000,0.000,0.489,0.606
0.489,0.421,0.000,0.489,0.667
0.000,0.327,0.000,0.450,0.000
0.364,0.000,0.000,0.489,0.717
0.489,0.319,0.000,0.364,0.684
0.000,0.397,0.000,0.489,0.645
0.000,0.295,0.000,0.421,0.566
0.000,0.319,0.000,0.489,0.606
0.500,0.397,0.667,0.489,0.370
0.000,0.000,0.000,0.364,0.582
0.295,0.421,0.000,0.489,0.582
0.319,0.000,0.620,0.489,0.684
0.489,0.397,0.000,0.489,0.596
