column,group,normalized_rank,top2_rate,top3_rate
aggr_astroph,Overall,0.69,0.78,0.97
aggr_astroph_less,Overall,0.56,0.52,0.88
aggr_ext_astroph,Overall,0.44,0.39,0.71
aggr_ext_astroph_less,Overall,0.31,0.31,0.44
aggr_astroph,"(1-25) Style, Theme",0.75,0.8,0.92
aggr_astroph_less,"(1-25) Style, Theme",0.45,0.4,0.84
aggr_ext_astroph,"(1-25) Style, Theme",0.39,0.4,0.6
aggr_ext_astroph_less,"(1-25) Style, Theme",0.41,0.4,0.64
aggr_astroph,"(26-50) not Style, Theme",0.76,0.92,1.0
aggr_astroph_less,"(26-50) not Style, Theme",0.55,0.44,0.96
aggr_ext_astroph,"(26-50) not Style, Theme",0.49,0.44,0.8
aggr_ext_astroph_less,"(26-50) not Style, Theme",0.2,0.2,0.24
aggr_astroph,"(51-75) Style, not Theme",0.73,0.84,0.96
aggr_astroph_less,"(51-75) Style, not Theme",0.45,0.36,0.88
aggr_ext_astroph,"(51-75) Style, not Theme",0.56,0.52,0.84
aggr_ext_astroph_less,"(51-75) Style, not Theme",0.25,0.28,0.32
aggr_astroph,"(76-100) not Style, not Theme",0.56,0.52,0.96
aggr_astroph_less,"(76-100) not Style, not Theme",0.63,0.64,0.8
aggr_ext_astroph,"(76-100) not Style, not Theme",0.43,0.44,0.64
aggr_ext_astroph_less,"(76-100) not Style, not Theme",0.39,0.4,0.6
aggr_astroph,(101+) General,0.67,0.8,1.0
aggr_astroph_less,(101+) General,0.66,0.66,0.89
aggr_ext_astroph,(101+) General,0.36,0.25,0.68
aggr_ext_astroph_less,(101+) General,0.31,0.3,0.43
aggr_astroph,(1-50) Theme,0.75,0.86,0.96
aggr_astroph_less,(1-50) Theme,0.5,0.42,0.9
aggr_ext_astroph,(1-50) Theme,0.44,0.42,0.7
aggr_ext_astroph_less,(1-50) Theme,0.31,0.3,0.44
aggr_astroph,(51+) no Theme,0.66,0.73,0.98
aggr_astroph_less,(51+) no Theme,0.6,0.57,0.86
aggr_ext_astroph,(51+) no Theme,0.43,0.37,0.71
aggr_ext_astroph_less,(51+) no Theme,0.32,0.32,0.45
aggr_astroph,"(76+) no Theme, no Style, General",0.63,0.7,0.99
aggr_astroph_less,"(76+) no Theme, no Style, General",0.65,0.65,0.86
aggr_ext_astroph,"(76+) no Theme, no Style, General",0.39,0.32,0.67
aggr_ext_astroph_less,"(76+) no Theme, no Style, General",0.34,0.33,0.49
aggr_astroph,"(1-25, 51-75) Style",0.74,0.82,0.94
aggr_astroph_less,"(1-25, 51-75) Style",0.45,0.38,0.86
aggr_ext_astroph,"(1-25, 51-75) Style",0.47,0.46,0.72
aggr_ext_astroph_less,"(1-25, 51-75) Style",0.33,0.34,0.48
aggr_astroph,"(26-50, 76-100) no Style",0.66,0.72,0.98
aggr_astroph_less,"(26-50, 76-100) no Style",0.59,0.54,0.88
aggr_ext_astroph,"(26-50, 76-100) no Style",0.46,0.44,0.72
aggr_ext_astroph_less,"(26-50, 76-100) no Style",0.29,0.3,0.42
