aggr_astroph_score,aggr_astroph_less_score,aggr_ext_astroph_score,aggr_ext_astroph_less_score
0.528,0.700,0.616,0.700
0.599,0.000,0.669,0.397
0.616,0.566,0.497,0.671
0.669,0.499,0.671,0.700
0.571,0.671,0.742,0.497
0.599,0.571,0.598,0.397
0.421,0.571,0.421,0.571
0.471,0.421,0.500,0.640
0.599,0.370,0.599,0.700
0.397,0.447,0.421,0.472
0.421,0.598,0.521,0.571
0.671,0.700,0.671,0.700
0.489,0.327,0.571,0.370
0.421,0.447,0.499,0.500
0.640,0.399,0.397,0.599
0.593,0.497,0.500,0.640
0.528,0.599,0.370,0.497
0.640,0.471,0.643,0.684
0.528,0.571,0.671,0.571
0.489,0.499,0.489,0.700
0.515,0.421,0.515,0.616
0.421,0.397,0.489,0.447
0.556,0.327,0.671,0.497
0.468,0.500,0.640,0.700
0.499,0.497,0.397,0.421
0.300,0.300,0.327,0.397
0.700,0.327,0.327,0.499
0.571,0.370,0.421,0.000
0.327,0.421,0.397,0.421
0.599,0.397,0.599,0.447
0.397,0.397,0.270,0.319
0.489,0.397,0.319,0.397
0.327,0.421,0.397,0.397
0.327,0.327,0.421,0.569
0.300,0.270,0.397,0.397
0.648,0.327,0.421,0.399
0.421,0.370,0.227,0.489
0.421,0.397,0.421,0.319
0.397,0.598,0.616,0.421
0.489,0.421,0.370,0.000
0.295,0.421,0.397,0.327
0.397,0.471,0.571,0.399
0.327,0.300,0.397,0.227
0.000,0.000,0.397,0.566
0.489,0.300,0.300,0.000
0.370,0.598,0.640,0.489
0.000,0.327,0.489,0.227
0.397,0.370,0.397,0.370
0.370,0.370,0.327,0.528
0.616,0.370,0.700,0.397
0.599,0.327,0.742,0.499
0.370,0.499,0.397,0.700
0.648,0.515,0.616,0.421
0.397,0.327,0.000,0.599
0.528,0.599,0.598,0.648
0.471,0.397,0.000,0.370
0.397,0.000,0.532,0.571
0.397,0.599,0.407,0.397
0.497,0.489,0.421,0.669
0.571,0.397,0.000,0.000
0.598,0.319,0.000,0.000
0.700,0.566,0.700,0.685
0.000,0.599,0.628,0.499
0.472,0.407,0.421,0.397
0.628,0.397,0.471,0.397
0.598,0.700,0.540,0.515
0.489,0.421,0.421,0.447
0.499,0.669,0.386,0.599
0.669,0.497,0.599,0.757
0.528,0.370,0.421,0.472
0.599,0.656,0.700,0.598
0.571,0.370,0.540,0.571
0.370,0.397,0.399,0.472
0.671,0.421,0.557,0.500
0.528,0.598,0.397,0.399
0.421,0.397,0.407,0.489
0.397,0.397,0.421,0.397
0.397,0.000,0.000,0.397
0.370,0.421,0.397,0.397
0.397,0.771,0.489,0.397
0.000,0.489,0.489,0.598
0.447,0.700,0.598,0.472
0.397,0.370,0.447,0.397
0.421,0.397,0.472,0.370
0.370,0.370,0.421,0.397
0.370,0.000,0.489,0.397
0.489,0.000,0.397,0.421
0.599,0.397,0.370,0.370
0.397,0.000,0.489,0.421
0.000,0.499,0.397,0.571
0.000,0.397,0.598,0.489
0.515,0.370,0.599,0.421
0.397,0.000,0.397,0.648
0.489,0.397,0.370,0.397
0.397,0.421,0.489,0.528
0.421,0.472,0.421,0.460
0.319,0.397,0.421,0.327
0.342,0.471,0.671,0.700
0.497,0.421,0.472,0.397
0.397,0.397,0.397,0.421
0.447,0.397,0.489,0.397
0.399,0.421,0.489,0.472
0.421,0.327,0.460,0.327
0.397,0.397,0.370,0.515
0.319,0.397,0.421,0.000
0.472,0.370,0.300,0.421
0.421,0.000,0.397,0.397
0.528,0.295,0.397,0.399
0.295,0.472,0.397,0.300
0.489,0.227,0.671,0.397
0.397,0.421,0.578,0.499
0.499,0.598,0.472,0.327
0.327,0.397,0.397,0.319
0.421,0.397,0.489,0.671
0.400,0.540,0.364,0.370
0.489,0.397,0.598,0.397
0.515,0.397,0.421,0.648
0.472,0.471,0.489,0.370
0.489,0.515,0.397,0.000
0.397,0.627,0.300,0.295
0.397,0.421,0.471,0.399
0.571,0.000,0.000,0.471
0.421,0.397,0.421,0.399
0.370,0.370,0.489,0.489
0.598,0.447,0.500,0.471
0.270,0.397,0.000,0.227
0.370,0.515,0.397,0.599
0.397,0.445,0.489,0.397
0.399,0.397,0.421,0.447
0.000,0.397,0.370,0.515
0.397,0.599,0.489,0.397
0.397,0.598,0.397,0.397
0.400,0.000,0.000,0.370
0.447,0.370,0.399,0.598
0.319,0.471,0.421,0.397
0.397,0.397,0.700,0.489
0.295,0.397,0.319,0.000
0.370,0.640,0.421,0.472
0.370,0.295,0.397,0.421
0.421,0.515,0.407,0.397
0.397,0.370,0.421,0.397
0.370,0.397,0.370,0.370
0.700,0.370,0.421,0.598
0.671,0.399,0.397,0.397
