sad_halfsum_score,sad_instruct_score,sad_klora_score,sad_style_instruct_score,sad_super_baseline_score,sad_theme_instruct_score
0.738,0.640,0.770,0.667,0.842,0.738
0.657,0.717,0.770,0.757,0.842,0.738
0.741,0.738,0.738,0.842,0.842,0.770
0.770,0.667,0.738,0.813,0.842,0.738
0.742,0.598,0.770,0.571,0.770,0.738
0.713,0.571,0.842,0.700,0.738,0.770
0.770,0.599,0.742,0.598,0.770,0.800
0.713,0.640,0.669,0.648,0.738,0.770
0.813,0.669,0.770,0.813,0.800,0.770
0.741,0.471,0.540,0.599,0.800,0.727
0.770,0.620,0.738,0.800,0.770,0.738
0.599,0.671,0.741,0.540,0.770,0.669
0.770,0.770,0.770,0.741,0.842,0.735
0.571,0.593,0.770,0.648,0.770,0.669
0.743,0.648,0.742,0.599,0.738,0.800
0.757,0.741,0.770,0.743,0.842,0.770
0.763,0.671,0.738,0.770,0.738,0.770
0.599,0.571,0.742,0.599,0.770,0.770
0.738,0.669,0.667,0.757,0.735,0.770
0.757,0.770,0.770,0.800,0.842,0.770
0.598,0.598,0.669,0.599,0.669,0.738
0.642,0.571,0.813,0.540,0.738,0.770
0.742,0.439,0.770,0.557,0.770,0.738
0.800,0.571,0.742,0.700,0.800,0.770
0.742,0.800,0.738,0.717,0.754,0.770
0.472,0.397,0.742,0.445,0.640,0.771
0.000,0.000,0.770,0.421,0.770,0.471
0.421,0.397,0.770,0.445,0.842,0.770
0.421,0.421,0.657,0.445,0.770,0.599
0.599,0.445,0.757,0.489,0.671,0.754
0.497,0.000,0.640,0.397,0.667,0.000
0.397,0.421,0.742,0.421,0.770,0.738
0.598,0.445,0.742,0.445,0.770,0.640
0.397,0.421,0.669,0.445,0.640,0.770
0.397,0.397,0.000,0.397,0.754,0.669
0.397,0.397,0.370,0.397,0.669,0.637
0.397,0.397,0.742,0.489,0.800,0.742
0.445,0.421,0.770,0.445,0.741,0.000
0.445,0.445,0.742,0.445,0.770,0.713
0.397,0.421,0.397,0.445,0.742,0.742
0.421,0.397,0.770,0.397,0.770,0.669
0.397,0.397,0.669,0.445,0.742,0.770
0.397,0.421,0.742,0.445,0.770,0.770
0.300,0.370,0.540,0.397,0.667,0.738
0.421,0.489,0.742,0.445,0.742,0.770
0.445,0.397,0.713,0.445,0.800,0.741
0.397,0.397,0.000,0.540,0.667,0.711
0.397,0.397,0.557,0.397,0.571,0.640
0.445,0.421,0.557,0.445,0.770,0.640
0.489,0.397,0.770,0.489,0.800,0.542
0.000,0.000,0.000,0.000,0.754,0.000
0.000,0.468,0.000,0.000,0.770,0.000
0.000,0.599,0.000,0.648,0.770,0.000
0.000,0.000,0.000,0.000,0.770,0.000
0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.770,0.000
0.000,0.000,0.000,0.000,0.000,0.738
0.000,0.000,0.000,0.000,0.741,0.000
0.000,0.000,0.000,0.000,0.738,0.000
0.000,0.000,0.000,0.000,0.669,0.000
0.000,0.000,0.000,0.571,0.770,0.000
0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.397,0.000,0.000,0.669,0.000
0.000,0.468,0.000,0.506,0.770,0.684
0.742,0.439,0.000,0.489,0.770,0.000
0.000,0.742,0.000,0.471,0.800,0.000
0.000,0.000,0.000,0.489,0.800,0.000
0.000,0.000,0.000,0.000,0.700,0.000
0.000,0.000,0.770,0.000,0.000,0.000
0.000,0.000,0.648,0.000,0.000,0.000
0.000,0.000,0.684,0.542,0.741,0.000
0.000,0.671,0.000,0.669,0.800,0.000
0.000,0.000,0.000,0.000,0.742,0.000
0.640,0.000,0.000,0.471,0.742,0.000
0.000,0.397,0.640,0.489,0.800,0.770
0.445,0.000,0.616,0.598,0.742,0.000
0.000,0.000,0.000,0.000,0.770,0.000
0.000,0.397,0.669,0.421,0.669,0.000
0.000,0.000,0.000,0.489,0.717,0.000
0.000,0.421,0.000,0.421,0.754,0.770
0.742,0.397,0.000,0.489,0.640,0.770
0.000,0.000,0.770,0.489,0.742,0.000
0.000,0.000,0.741,0.421,0.770,0.669
0.000,0.421,0.000,0.421,0.742,0.738
0.000,0.000,0.000,0.540,0.742,0.542
0.489,0.471,0.800,0.489,0.770,0.770
0.489,0.445,0.000,0.445,0.743,0.643
0.771,0.000,0.000,0.000,0.738,0.000
0.000,0.000,0.742,0.445,0.770,0.000
0.489,0.397,0.640,0.445,0.770,0.000
0.445,0.000,0.531,0.489,0.738,0.640
0.000,0.000,0.770,0.000,0.800,0.640
0.468,0.397,0.698,0.489,0.800,0.741
0.000,0.397,0.000,0.397,0.000,0.667
0.613,0.397,0.800,0.000,0.741,0.640
0.742,0.421,0.000,0.489,0.771,0.000
0.000,0.397,0.000,0.421,0.800,0.000
0.000,0.000,0.741,0.489,0.439,0.717
0.000,0.421,0.000,0.445,0.738,0.000
0.399,0.370,0.000,0.489,0.669,0.566
0.000,0.000,0.000,0.489,0.669,0.593
0.000,0.421,0.000,0.445,0.800,0.000
0.421,0.421,0.000,0.489,0.800,0.000
0.000,0.582,0.667,0.000,0.800,0.000
0.000,0.000,0.000,0.000,0.770,0.000
0.000,0.421,0.000,0.523,0.000,0.645
0.497,0.397,0.738,0.489,0.742,0.000
0.563,0.515,0.000,0.445,0.735,0.582
0.489,0.000,0.526,0.742,0.000,0.000
0.000,0.000,0.000,0.489,0.738,0.582
0.421,0.442,0.671,0.000,0.640,0.000
0.713,0.000,0.738,0.445,0.770,0.000
0.727,0.000,0.667,0.489,0.741,0.000
0.445,0.397,0.738,0.489,0.669,0.800
0.506,0.421,0.000,0.445,0.857,0.770
0.000,0.421,0.000,0.445,0.700,0.741
0.000,0.421,0.000,0.445,0.742,0.000
0.000,0.640,0.000,0.445,0.800,0.000
0.000,0.000,0.000,0.598,0.669,0.000
0.640,0.397,0.000,0.489,0.669,0.599
0.530,0.000,0.000,0.489,0.667,0.000
0.397,0.489,0.741,0.445,0.598,0.000
0.000,0.397,0.000,0.445,0.757,0.669
0.000,0.540,0.640,0.489,0.000,0.000
0.445,0.421,0.540,0.445,0.770,0.738
0.000,0.497,0.489,0.445,0.742,0.000
0.000,0.489,0.000,0.445,0.800,0.771
0.000,0.385,0.000,0.445,0.770,0.000
0.421,0.445,0.633,0.489,0.000,0.000
0.445,0.657,0.669,0.489,0.800,0.000
0.000,0.421,0.770,0.445,0.770,0.770
0.000,0.397,0.571,0.489,0.770,0.000
0.000,0.000,0.000,0.489,0.770,0.000
0.000,0.531,0.000,0.489,0.742,0.000
0.445,0.571,0.742,0.445,0.742,0.000
0.445,0.370,0.741,0.445,0.800,0.669
0.000,0.000,0.770,0.445,0.000,0.738
0.445,0.421,0.000,0.445,0.785,0.738
0.397,0.000,0.000,0.489,0.000,0.741
0.526,0.471,0.000,0.397,0.563,0.599
0.000,0.717,0.616,0.445,0.000,0.000
0.421,0.421,0.000,0.489,0.741,0.000
0.000,0.497,0.000,0.489,0.741,0.637
