column,group,normalized_rank,top2_rate,top3_rate
sad_astroph,Overall,0.69,0.78,0.96
sad_astroph_less,Overall,0.52,0.47,0.82
sad_ext_astroph,Overall,0.39,0.35,0.66
sad_ext_astroph_less,Overall,0.4,0.4,0.56
sad_astroph,"(1-25) Style, Theme",0.75,0.88,0.96
sad_astroph_less,"(1-25) Style, Theme",0.41,0.32,0.72
sad_ext_astroph,"(1-25) Style, Theme",0.49,0.44,0.84
sad_ext_astroph_less,"(1-25) Style, Theme",0.35,0.36,0.48
sad_astroph,"(26-50) not Style, Theme",0.68,0.8,0.92
sad_astroph_less,"(26-50) not Style, Theme",0.55,0.52,0.84
sad_ext_astroph,"(26-50) not Style, Theme",0.35,0.24,0.68
sad_ext_astroph_less,"(26-50) not Style, Theme",0.43,0.44,0.56
sad_astroph,"(51-75) Style, not Theme",0.75,0.8,1.0
sad_astroph_less,"(51-75) Style, not Theme",0.44,0.4,0.76
sad_ext_astroph,"(51-75) Style, not Theme",0.29,0.28,0.48
sad_ext_astroph_less,"(51-75) Style, not Theme",0.52,0.52,0.76
sad_astroph,"(76-100) not Style, not Theme",0.69,0.72,1.0
sad_astroph_less,"(76-100) not Style, not Theme",0.53,0.52,0.84
sad_ext_astroph,"(76-100) not Style, not Theme",0.45,0.48,0.68
sad_ext_astroph_less,"(76-100) not Style, not Theme",0.32,0.28,0.48
sad_astroph,(101+) General,0.63,0.73,0.93
sad_astroph_less,(101+) General,0.6,0.55,0.89
sad_ext_astroph,(101+) General,0.39,0.32,0.64
sad_ext_astroph_less,(101+) General,0.39,0.41,0.55
sad_astroph,(1-50) Theme,0.71,0.84,0.94
sad_astroph_less,(1-50) Theme,0.48,0.42,0.78
sad_ext_astroph,(1-50) Theme,0.42,0.34,0.76
sad_ext_astroph_less,(1-50) Theme,0.39,0.4,0.52
sad_astroph,(51+) no Theme,0.68,0.74,0.97
sad_astroph_less,(51+) no Theme,0.54,0.5,0.84
sad_ext_astroph,(51+) no Theme,0.38,0.35,0.61
sad_ext_astroph_less,(51+) no Theme,0.4,0.4,0.59
sad_astroph,"(76+) no Theme, no Style, General",0.65,0.72,0.96
sad_astroph_less,"(76+) no Theme, no Style, General",0.57,0.54,0.87
sad_ext_astroph,"(76+) no Theme, no Style, General",0.41,0.38,0.65
sad_ext_astroph_less,"(76+) no Theme, no Style, General",0.36,0.36,0.52
sad_astroph,"(1-25, 51-75) Style",0.75,0.84,0.98
sad_astroph_less,"(1-25, 51-75) Style",0.43,0.36,0.74
sad_ext_astroph,"(1-25, 51-75) Style",0.39,0.36,0.66
sad_ext_astroph_less,"(1-25, 51-75) Style",0.43,0.44,0.62
sad_astroph,"(26-50, 76-100) no Style",0.69,0.76,0.96
sad_astroph_less,"(26-50, 76-100) no Style",0.54,0.52,0.84
sad_ext_astroph,"(26-50, 76-100) no Style",0.4,0.36,0.68
sad_ext_astroph_less,"(26-50, 76-100) no Style",0.37,0.36,0.52
