sad_astroph_score,sad_astroph_less_score,sad_ext_astroph_score,sad_ext_astroph_less_score
0.742,0.770,0.616,0.598
0.599,0.800,0.771,0.741
0.757,0.713,0.800,0.741
0.671,0.713,0.669,0.599
0.743,0.571,0.671,0.743
0.742,0.671,0.800,0.842
0.598,0.648,0.671,0.800
0.657,0.599,0.471,0.742
0.742,0.757,0.742,0.757
0.599,0.540,0.727,0.599
0.669,0.742,0.671,0.667
0.571,0.640,0.742,0.700
0.771,0.700,0.671,0.599
0.742,0.657,0.742,0.643
0.598,0.743,0.598,0.599
0.700,0.700,0.599,0.700
0.743,0.742,0.742,0.671
0.742,0.743,0.497,0.599
0.669,0.742,0.598,0.671
0.842,0.800,0.648,0.757
0.571,0.700,0.742,0.599
0.713,0.770,0.700,0.671
0.770,0.742,0.657,0.742
0.571,0.742,0.743,0.800
0.743,0.800,0.671,0.671
0.599,0.497,0.599,0.421
0.800,0.742,0.497,0.521
0.742,0.421,0.742,0.489
0.472,0.742,0.489,0.447
0.598,0.397,0.497,0.497
0.742,0.543,0.370,0.757
0.599,0.370,0.471,0.671
0.523,0.742,0.671,0.397
0.421,0.421,0.421,0.593
0.657,0.727,0.421,0.370
0.640,0.648,0.671,0.571
0.599,0.700,0.557,0.742
0.445,0.489,0.571,0.523
0.421,0.460,0.743,0.671
0.571,0.648,0.421,0.471
0.523,0.421,0.370,0.421
0.742,0.643,0.500,0.598
0.540,0.489,0.397,0.489
0.727,0.000,0.397,0.370
0.421,0.445,0.445,0.713
0.421,0.571,0.472,0.500
0.399,0.669,0.741,0.342
0.742,0.370,0.648,0.742
0.599,0.741,0.421,0.397
0.598,0.489,0.598,0.421
0.000,0.000,0.000,0.648
0.742,0.571,0.000,0.540
0.648,0.557,0.599,0.599
0.742,0.700,0.000,0.671
0.499,0.000,0.447,0.657
0.599,0.471,0.671,0.000
0.598,0.497,0.599,0.742
0.599,0.770,0.447,0.656
0.669,0.648,0.599,0.742
0.643,0.770,0.000,0.743
0.648,0.599,0.489,0.489
0.742,0.000,0.000,0.000
0.593,0.471,0.616,0.599
0.599,0.500,0.489,0.770
0.643,0.598,0.671,0.742
0.599,0.700,0.000,0.000
0.671,0.640,0.489,0.657
0.770,0.748,0.599,0.000
0.598,0.700,0.599,0.571
0.742,0.671,0.000,0.598
0.445,0.671,0.598,0.669
0.599,0.640,0.700,0.742
0.593,0.648,0.571,0.671
0.742,0.523,0.614,0.599
0.515,0.370,0.421,0.571
0.800,0.421,0.742,0.000
0.669,0.643,0.497,0.370
0.000,0.000,0.571,0.497
0.421,0.000,0.397,0.571
0.742,0.421,0.489,0.669
0.648,0.671,0.571,0.497
0.700,0.757,0.489,0.671
0.421,0.757,0.700,0.540
0.700,0.542,0.599,0.397
0.598,0.742,0.489,0.397
0.571,0.000,0.497,0.598
0.397,0.397,0.542,0.370
0.397,0.598,0.421,0.598
0.598,0.421,0.657,0.757
0.598,0.421,0.489,0.489
0.742,0.421,0.800,0.648
0.643,0.445,0.599,0.515
0.728,0.489,0.000,0.000
0.421,0.643,0.397,0.421
0.671,0.489,0.489,0.397
0.742,0.598,0.598,0.523
0.571,0.598,0.599,0.397
0.489,0.000,0.598,0.742
0.616,0.800,0.571,0.571
0.445,0.421,0.421,0.342
0.742,0.542,0.489,0.571
0.571,0.397,0.489,0.571
0.397,0.742,0.521,0.643
0.599,0.571,0.640,0.506
0.700,0.757,0.671,0.742
0.640,0.000,0.523,0.657
0.671,0.489,0.523,0.671
0.397,0.770,0.421,0.643
0.397,0.489,0.489,0.540
0.599,0.521,0.648,0.439
0.700,0.598,0.599,0.742
0.397,0.421,0.397,0.700
0.571,0.000,0.319,0.571
0.671,0.542,0.599,0.743
0.499,0.669,0.497,0.515
0.640,0.671,0.512,0.497
0.742,0.727,0.421,0.800
0.571,0.599,0.571,0.342
0.771,0.700,0.397,0.640
0.598,0.599,0.497,0.397
0.671,0.599,0.648,0.439
0.421,0.000,0.648,0.319
0.598,0.648,0.397,0.489
0.489,0.598,0.757,0.599
0.489,0.421,0.397,0.471
0.657,0.497,0.397,0.669
0.599,0.489,0.571,0.421
0.598,0.742,0.599,0.000
0.370,0.742,0.397,0.671
0.397,0.542,0.614,0.598
0.397,0.643,0.800,0.000
0.445,0.598,0.421,0.421
0.571,0.671,0.464,0.471
0.540,0.599,0.421,0.471
0.439,0.553,0.571,0.471
0.598,0.489,0.643,0.421
0.397,0.489,0.000,0.421
0.648,0.593,0.599,0.421
0.743,0.700,0.397,0.397
0.599,0.540,0.489,0.571
0.000,0.742,0.569,0.497
0.742,0.742,0.397,0.571
0.397,0.648,0.640,0.421
0.598,0.742,0.489,0.593
