column,group,normalized_rank,top2_rate,top3_rate
sad_astroph,Overall,0.57,0.65,0.82
sad_astroph_less,Overall,0.54,0.55,0.78
sad_ext_astroph,Overall,0.41,0.42,0.67
sad_ext_astroph_less,Overall,0.45,0.48,0.68
sad_astroph,"(1-25) Style, Theme",0.49,0.6,0.72
sad_astroph_less,"(1-25) Style, Theme",0.61,0.64,0.84
sad_ext_astroph,"(1-25) Style, Theme",0.41,0.44,0.64
sad_ext_astroph_less,"(1-25) Style, Theme",0.44,0.48,0.68
sad_astroph,"(26-50) not Style, Theme",0.56,0.6,0.84
sad_astroph_less,"(26-50) not Style, Theme",0.53,0.56,0.8
sad_ext_astroph,"(26-50) not Style, Theme",0.45,0.48,0.72
sad_ext_astroph_less,"(26-50) not Style, Theme",0.45,0.48,0.68
sad_astroph,"(51-75) Style, not Theme",0.63,0.6,0.92
sad_astroph_less,"(51-75) Style, not Theme",0.45,0.44,0.72
sad_ext_astroph,"(51-75) Style, not Theme",0.32,0.32,0.56
sad_ext_astroph_less,"(51-75) Style, not Theme",0.59,0.6,0.8
sad_astroph,"(76-100) not Style, not Theme",0.68,0.76,0.88
sad_astroph_less,"(76-100) not Style, not Theme",0.48,0.56,0.64
sad_ext_astroph,"(76-100) not Style, not Theme",0.52,0.56,0.84
sad_ext_astroph_less,"(76-100) not Style, not Theme",0.35,0.36,0.52
sad_astroph,(101+) General,0.54,0.66,0.77
sad_astroph_less,(101+) General,0.59,0.55,0.84
sad_ext_astroph,(101+) General,0.39,0.36,0.61
sad_ext_astroph_less,(101+) General,0.45,0.48,0.7
sad_astroph,(1-50) Theme,0.53,0.6,0.78
sad_astroph_less,(1-50) Theme,0.57,0.6,0.82
sad_ext_astroph,(1-50) Theme,0.43,0.46,0.68
sad_ext_astroph_less,(1-50) Theme,0.45,0.48,0.68
sad_astroph,(51+) no Theme,0.6,0.67,0.84
sad_astroph_less,(51+) no Theme,0.52,0.52,0.76
sad_ext_astroph,(51+) no Theme,0.4,0.4,0.66
sad_ext_astroph_less,(51+) no Theme,0.46,0.48,0.68
sad_astroph,"(76+) no Theme, no Style, General",0.59,0.7,0.81
sad_astroph_less,"(76+) no Theme, no Style, General",0.55,0.55,0.77
sad_ext_astroph,"(76+) no Theme, no Style, General",0.43,0.43,0.7
sad_ext_astroph_less,"(76+) no Theme, no Style, General",0.41,0.43,0.64
sad_astroph,"(1-25, 51-75) Style",0.56,0.6,0.82
sad_astroph_less,"(1-25, 51-75) Style",0.53,0.54,0.78
sad_ext_astroph,"(1-25, 51-75) Style",0.37,0.38,0.6
sad_ext_astroph_less,"(1-25, 51-75) Style",0.51,0.54,0.74
sad_astroph,"(26-50, 76-100) no Style",0.62,0.68,0.86
sad_astroph_less,"(26-50, 76-100) no Style",0.51,0.56,0.72
sad_ext_astroph,"(26-50, 76-100) no Style",0.49,0.52,0.78
sad_ext_astroph_less,"(26-50, 76-100) no Style",0.4,0.42,0.6
