column,group,ranker_normalized_rank,ranker_top1_rate,ranker_top3_rate,scorer_normalized_rank,scorer_top1_rate,scorer_top3_rate
agitational_baseline_llama3,"(1-25) Style, Theme",0.85,,0.88,0.67,,0.56
agitational_baseline_llama3,"(1-25, 51-75) Style",0.67,,0.64,0.54,,0.3
agitational_baseline_llama3,(1-50) Theme,0.82,,0.88,0.66,,0.56
agitational_baseline_llama3,(101+) General,0.71,,0.72,0.57,,0.5
agitational_baseline_llama3,"(26-50) not Style, Theme",0.79,,0.88,0.65,,0.56
agitational_baseline_llama3,"(26-50, 76-100) no Style",0.73,,0.74,0.58,,0.48
agitational_baseline_llama3,(51+) no Theme,0.65,,0.6,0.52,,0.35
agitational_baseline_llama3,"(51-75) Style, not Theme",0.49,,0.4,0.41,,0.04
agitational_baseline_llama3,"(76+) no Theme, no Style, General",0.7,,0.68,0.55,,0.46
agitational_baseline_llama3,"(76-100) not Style, not Theme",0.68,,0.6,0.52,,0.4
agitational_baseline_llama3,Overall,0.71,,0.7,0.57,,0.42
agitational_halfsum_llama3,"(1-25) Style, Theme",0.66,,0.6,0.51,,0.4
agitational_halfsum_llama3,"(1-25, 51-75) Style",0.52,,0.4,0.46,,0.22
agitational_halfsum_llama3,(1-50) Theme,0.59,,0.52,0.44,,0.32
agitational_halfsum_llama3,(101+) General,0.33,,0.18,0.29,,0.11
agitational_halfsum_llama3,"(26-50) not Style, Theme",0.51,,0.44,0.38,,0.24
agitational_halfsum_llama3,"(26-50, 76-100) no Style",0.44,,0.34,0.34,,0.16
agitational_halfsum_llama3,(51+) no Theme,0.35,,0.2,0.32,,0.09
agitational_halfsum_llama3,"(51-75) Style, not Theme",0.39,,0.2,0.41,,0.04
agitational_halfsum_llama3,"(76+) no Theme, no Style, General",0.34,,0.2,0.29,,0.1
agitational_halfsum_llama3,"(76-100) not Style, not Theme",0.36,,0.24,0.31,,0.08
agitational_halfsum_llama3,Overall,0.43,,0.31,0.37,,0.17
agitational_instruct_llama3,"(1-25) Style, Theme",0.29,,0.08,0.25,,0.04
agitational_instruct_llama3,"(1-25, 51-75) Style",0.36,,0.2,0.36,,0.08
agitational_instruct_llama3,(1-50) Theme,0.35,,0.14,0.26,,0.1
agitational_instruct_llama3,(101+) General,0.66,,0.61,0.57,,0.5
agitational_instruct_llama3,"(26-50) not Style, Theme",0.41,,0.2,0.27,,0.16
agitational_instruct_llama3,"(26-50, 76-100) no Style",0.47,,0.34,0.39,,0.24
agitational_instruct_llama3,(51+) no Theme,0.56,,0.5,0.53,,0.35
agitational_instruct_llama3,"(51-75) Style, not Theme",0.42,,0.32,0.47,,0.12
agitational_instruct_llama3,"(76+) no Theme, no Style, General",0.61,,0.57,0.55,,0.43
agitational_instruct_llama3,"(76-100) not Style, not Theme",0.53,,0.48,0.51,,0.32
agitational_instruct_llama3,Overall,0.49,,0.38,0.43,,0.26
agitational_klora_llama3,"(1-25) Style, Theme",0.58,,0.6,0.71,,0.72
agitational_klora_llama3,"(1-25, 51-75) Style",0.54,,0.48,0.55,,0.36
agitational_klora_llama3,(1-50) Theme,0.69,,0.72,0.76,,0.78
agitational_klora_llama3,(101+) General,0.35,,0.25,0.33,,0.2
agitational_klora_llama3,"(26-50) not Style, Theme",0.79,,0.84,0.81,,0.84
agitational_klora_llama3,"(26-50, 76-100) no Style",0.59,,0.56,0.56,,0.5
agitational_klora_llama3,(51+) no Theme,0.4,,0.29,0.34,,0.14
agitational_klora_llama3,"(51-75) Style, not Theme",0.51,,0.36,0.39,,0.0
agitational_klora_llama3,"(76+) no Theme, no Style, General",0.36,,0.26,0.32,,0.19
agitational_klora_llama3,"(76-100) not Style, not Theme",0.39,,0.28,0.31,,0.16
agitational_klora_llama3,Overall,0.5,,0.44,0.48,,0.36
agitational_ours_llama3,"(1-25) Style, Theme",0.43,,0.32,0.53,,0.48
agitational_ours_llama3,"(1-25, 51-75) Style",0.58,,0.56,0.68,,0.62
agitational_ours_llama3,(1-50) Theme,0.4,,0.26,0.48,,0.36
agitational_ours_llama3,(101+) General,0.52,,0.45,0.68,,0.66
agitational_ours_llama3,"(26-50) not Style, Theme",0.37,,0.2,0.43,,0.24
