column,group,normalized_rank,top2_rate,top3_rate
agitational_baseline_llama3,Overall,0.71,0.49,0.7
agitational_halfsum_llama3,Overall,0.43,0.1,0.31
agitational_instruct_llama3,Overall,0.49,0.24,0.38
agitational_klora_llama3,Overall,0.5,0.3,0.44
agitational_ours_llama3,Overall,0.52,0.36,0.46
agitational_style_instruct_llama3,Overall,0.45,0.25,0.38
agitational_theme_instruct_llama3,Overall,0.4,0.26,0.35
agitational_baseline_llama3,"(1-25) Style, Theme",0.85,0.72,0.88
agitational_halfsum_llama3,"(1-25) Style, Theme",0.66,0.36,0.6
agitational_instruct_llama3,"(1-25) Style, Theme",0.29,0.04,0.08
agitational_klora_llama3,"(1-25) Style, Theme",0.58,0.32,0.6
agitational_ours_llama3,"(1-25) Style, Theme",0.43,0.32,0.32
agitational_style_instruct_llama3,"(1-25) Style, Theme",0.21,0.04,0.08
agitational_theme_instruct_llama3,"(1-25) Style, Theme",0.48,0.2,0.44
agitational_baseline_llama3,"(26-50) not Style, Theme",0.79,0.6,0.88
agitational_halfsum_llama3,"(26-50) not Style, Theme",0.51,0.08,0.44
agitational_instruct_llama3,"(26-50) not Style, Theme",0.41,0.12,0.2
agitational_klora_llama3,"(26-50) not Style, Theme",0.79,0.72,0.84
agitational_ours_llama3,"(26-50) not Style, Theme",0.37,0.12,0.2
agitational_style_instruct_llama3,"(26-50) not Style, Theme",0.18,0.04,0.04
agitational_theme_instruct_llama3,"(26-50) not Style, Theme",0.45,0.32,0.4
agitational_baseline_llama3,"(51-75) Style, not Theme",0.49,0.16,0.4
agitational_halfsum_llama3,"(51-75) Style, not Theme",0.39,0.0,0.2
agitational_instruct_llama3,"(51-75) Style, not Theme",0.42,0.16,0.32
agitational_klora_llama3,"(51-75) Style, not Theme",0.51,0.28,0.36
agitational_ours_llama3,"(51-75) Style, not Theme",0.73,0.68,0.8
agitational_style_instruct_llama3,"(51-75) Style, not Theme",0.59,0.48,0.56
agitational_theme_instruct_llama3,"(51-75) Style, not Theme",0.37,0.24,0.36
agitational_baseline_llama3,"(76-100) not Style, not Theme",0.68,0.4,0.6
agitational_halfsum_llama3,"(76-100) not Style, not Theme",0.36,0.04,0.24
agitational_instruct_llama3,"(76-100) not Style, not Theme",0.53,0.32,0.48
agitational_klora_llama3,"(76-100) not Style, not Theme",0.39,0.2,0.28
agitational_ours_llama3,"(76-100) not Style, not Theme",0.55,0.4,0.52
agitational_style_instruct_llama3,"(76-100) not Style, not Theme",0.59,0.32,0.52
