agitational_baseline_llama3_score,agitational_halfsum_llama3_score,agitational_instruct_llama3_score,agitational_klora_llama3_score,agitational_ours_llama3_score,agitational_style_instruct_llama3_score,agitational_theme_instruct_llama3_score
0.489,0.000,0.000,0.640,0.421,0.370,0.000
0.742,0.640,0.421,0.640,0.421,0.397,0.640
0.385,0.640,0.397,0.616,0.640,0.397,0.640
0.671,0.598,0.684,0.669,0.471,0.489,0.447
0.633,0.633,0.000,0.667,0.728,0.540,0.667
0.397,0.531,0.397,0.571,0.489,0.421,0.000
0.439,0.370,0.342,0.512,0.421,0.489,0.512
0.633,0.502,0.421,0.667,0.421,0.512,0.543
0.421,0.640,0.421,0.000,0.397,0.421,0.669
0.598,0.464,0.421,0.000,0.616,0.364,0.593
0.397,0.397,0.000,0.542,0.421,0.445,0.397
0.397,0.421,0.397,0.640,0.000,0.364,0.439
0.700,0.464,0.421,0.557,0.421,0.489,0.563
0.445,0.571,0.421,0.669,0.319,0.489,0.543
0.397,0.462,0.397,0.531,0.370,0.489,0.000
0.497,0.000,0.000,0.397,0.489,0.319,0.000
0.599,0.421,0.421,0.397,0.599,0.489,0.397
0.421,0.439,0.421,0.640,0.489,0.421,0.397
0.640,0.421,0.397,0.700,0.489,0.364,0.640
0.700,0.445,0.342,0.489,0.397,0.385,0.471
0.407,0.421,0.397,0.407,0.598,0.421,0.000
0.543,0.000,0.397,0.542,0.640,0.489,0.669
0.515,0.439,0.397,0.447,0.370,0.000,0.000
0.640,0.421,0.397,0.412,0.657,0.421,0.427
0.700,0.468,0.397,0.571,0.497,0.506,0.000
0.489,0.319,0.421,0.397,0.421,0.397,0.397
0.319,0.319,0.000,0.421,0.421,0.385,0.000
0.397,0.397,0.319,0.497,0.342,0.364,0.370
0.489,0.319,0.364,0.342,0.342,0.364,0.000
0.571,0.421,0.342,0.397,0.364,0.364,0.370
0.543,0.319,0.370,0.571,0.397,0.342,0.439
0.528,0.364,0.342,0.500,0.397,0.364,0.471
0.571,0.489,0.319,0.593,0.295,0.445,0.685
0.421,0.319,0.342,0.542,0.421,0.364,0.593
0.295,0.319,0.295,0.571,0.364,0.397,0.531
0.421,0.397,0.342,0.640,0.370,0.342,0.370
0.421,0.397,0.397,0.397,0.397,0.319,0.593
0.421,0.445,0.327,0.671,0.489,0.489,0.397
0.512,0.342,0.342,0.397,0.295,0.364,0.000
0.385,0.319,0.319,0.397,0.397,0.319,0.370
0.342,0.319,0.399,0.542,0.342,0.319,0.599
0.421,0.397,0.342,0.447,0.421,0.364,0.571
0.364,0.342,0.319,0.447,0.342,0.364,0.412
0.397,0.370,0.227,0.397,0.000,0.295,0.000
0.397,0.364,0.327,0.599,0.489,0.364,0.512
0.700,0.364,0.397,0.571,0.364,0.445,0.319
0.397,0.319,0.227,0.471,0.370,0.319,0.370
0.000,0.439,0.319,0.640,0.319,0.421,0.370
0.319,0.385,0.397,0.397,0.000,0.364,0.566
0.364,0.421,0.397,0.364,0.421,0.421,0.471
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.397,0.599,0.000
0.000,0.000,0.000,0.000,0.471,0.489,0.439
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.397,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.421,0.000
0.000,0.000,0.000,0.000,0.342,0.364,0.000
0.000,0.000,0.397,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.319,0.364,0.000
0.000,0.000,0.000,0.000,0.370,0.000,0.000
0.000,0.000,0.000,0.000,0.421,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.397,0.000,0.319,0.000,0.000
0.000,0.000,0.000,0.000,0.397,0.000,0.000
0.000,0.000,0.000,0.000,0.640,0.000,0.000
0.000,0.000,0.000,0.000,0.489,0.397,0.000
0.000,0.300,0.000,0.000,0.489,0.364,0.000
0.000,0.000,0.000,0.000,0.671,0.342,0.000
0.000,0.000,0.000,0.000,0.421,0.000,0.000
0.000,0.000,0.598,0.000,0.471,0.319,0.000
0.599,0.000,0.000,0.000,0.671,0.364,0.000
0.000,0.000,0.000,0.000,0.489,0.364,0.000
0.000,0.000,0.000,0.000,0.000,0.319,0.000
0.000,0.000,0.000,0.000,0.342,0.489,0.000
0.000,0.000,0.000,0.000,0.421,0.364,0.000
0.364,0.000,0.319,0.000,0.364,0.397,0.439
0.598,0.000,0.000,0.000,0.397,0.489,0.563
0.000,0.397,0.397,0.439,0.489,0.000,0.000
0.397,0.000,0.000,0.000,0.000,0.421,0.427
0.000,0.000,0.397,0.000,0.489,0.489,0.000
0.489,0.364,0.397,0.571,0.700,0.342,0.000
0.582,0.421,0.421,0.000,0.489,0.397,0.542
0.000,0.000,0.370,0.000,0.364,0.421,0.370
0.397,0.000,0.421,0.000,0.000,0.364,0.000
0.364,0.000,0.421,0.000,0.397,0.408,0.439
0.700,0.000,0.000,0.000,0.421,0.364,0.000
0.000,0.319,0.397,0.000,0.599,0.364,0.000
0.364,0.364,0.397,0.000,0.397,0.489,0.542
0.471,0.000,0.342,0.531,0.571,0.489,0.000
0.000,0.000,0.000,0.000,0.421,0.364,0.000
0.385,0.489,0.000,0.000,0.364,0.364,0.000
0.364,0.000,0.421,0.000,0.464,0.364,0.342
0.000,0.000,0.000,0.000,0.489,0.364,0.000
0.364,0.370,0.397,0.397,0.489,0.364,0.489
0.364,0.000,0.270,0.598,0.489,0.397,0.370
0.000,0.000,0.397,0.000,0.489,0.000,0.000
0.669,0.397,0.397,0.397,0.397,0.489,0.000
0.489,0.000,0.397,0.000,0.397,0.489,0.468
0.489,0.489,0.397,0.000,0.342,0.364,0.397
0.000,0.000,0.397,0.000,0.421,0.364,0.442
0.643,0.000,0.000,0.000,0.489,0.295,0.439
0.364,0.000,0.000,0.000,0.447,0.489,0.000
0.000,0.000,0.342,0.000,0.370,0.342,0.000
0.540,0.442,0.364,0.000,0.489,0.319,0.000
0.471,0.000,0.000,0.000,0.497,0.364,0.000
0.000,0.000,0.000,0.000,0.227,0.489,0.000
0.000,0.000,0.397,0.000,0.397,0.000,0.000
0.489,0.421,0.370,0.397,0.000,0.364,0.000
0.542,0.468,0.397,0.000,0.397,0.364,0.000
0.439,0.447,0.295,0.000,0.397,0.714,0.000
0.640,0.000,0.000,0.000,0.489,0.319,0.000
0.439,0.000,0.397,0.000,0.489,0.370,0.000
0.000,0.000,0.397,0.000,0.319,0.364,0.000
0.000,0.000,0.543,0.000,0.543,0.364,0.000
0.319,0.370,0.397,0.598,0.000,0.364,0.000
0.598,0.543,0.600,0.598,0.295,0.364,0.543
0.489,0.000,0.571,0.000,0.319,0.540,0.000
0.421,0.397,0.421,0.000,0.445,0.364,0.000
0.571,0.319,0.397,0.397,0.364,0.364,0.397
0.700,0.000,0.000,0.412,0.421,0.489,0.000
0.000,0.000,0.471,0.000,0.000,0.489,0.000
0.000,0.000,0.000,0.000,0.000,0.489,0.439
0.364,0.000,0.421,0.000,0.000,0.364,0.342
0.364,0.000,0.397,0.000,0.671,0.364,0.342
0.515,0.000,0.319,0.000,0.319,0.489,0.000
0.421,0.319,0.397,0.000,0.364,0.319,0.370
0.000,0.000,0.000,0.000,0.397,0.489,0.640
0.000,0.000,0.000,0.439,0.489,0.364,0.543
0.000,0.000,0.397,0.000,0.669,0.489,0.000
0.671,0.342,0.000,0.000,0.640,0.489,0.000
0.000,0.000,0.599,0.000,0.000,0.364,0.000
0.000,0.000,0.342,0.566,0.342,0.319,0.000
0.000,0.000,0.342,0.000,0.421,0.445,0.000
0.000,0.000,0.295,0.000,0.421,0.489,0.439
0.447,0.000,0.000,0.000,0.370,0.364,0.000
0.364,0.364,0.370,0.227,0.489,0.364,0.512
0.000,0.000,0.319,0.582,0.397,0.364,0.000
0.000,0.000,0.421,0.439,0.421,0.489,0.540
0.397,0.421,0.342,0.421,0.489,0.364,0.607
0.000,0.000,0.370,0.000,0.571,0.489,0.397
0.397,0.000,0.370,0.000,0.342,0.364,0.000
0.000,0.000,0.397,0.000,0.489,0.364,0.000
0.000,0.319,0.397,0.500,0.421,0.364,0.000
0.489,0.000,0.421,0.000,0.543,0.364,0.599
,,,,0.327,,
,,,,0.512,,
