column,group,ranker_normalized_rank,ranker_top1_rate,ranker_top3_rate,scorer_normalized_rank,scorer_top1_rate,scorer_top3_rate
cheerful_baseline_llama3,"(1-25) Style, Theme",0.94,,0.92,0.79,,0.92
cheerful_baseline_llama3,"(1-25, 51-75) Style",0.88,,0.92,0.71,,0.72
cheerful_baseline_llama3,(1-50) Theme,0.93,,0.94,0.82,,0.92
cheerful_baseline_llama3,(101+) General,0.91,,0.95,0.85,,0.91
cheerful_baseline_llama3,"(26-50) not Style, Theme",0.92,,0.96,0.86,,0.92
cheerful_baseline_llama3,"(26-50, 76-100) no Style",0.89,,0.98,0.76,,0.74
cheerful_baseline_llama3,(51+) no Theme,0.88,,0.96,0.74,,0.71
cheerful_baseline_llama3,"(51-75) Style, not Theme",0.83,,0.92,0.64,,0.52
cheerful_baseline_llama3,"(76+) no Theme, no Style, General",0.89,,0.97,0.78,,0.78
cheerful_baseline_llama3,"(76-100) not Style, not Theme",0.87,,1.0,0.65,,0.56
cheerful_baseline_llama3,Overall,0.89,,0.95,0.77,,0.78
cheerful_halfsum_llama3,"(1-25) Style, Theme",0.62,,0.6,0.75,,0.72
cheerful_halfsum_llama3,"(1-25, 51-75) Style",0.51,,0.4,0.54,,0.38
cheerful_halfsum_llama3,(1-50) Theme,0.55,,0.44,0.55,,0.42
cheerful_halfsum_llama3,(101+) General,0.31,,0.11,0.31,,0.14
cheerful_halfsum_llama3,"(26-50) not Style, Theme",0.47,,0.28,0.35,,0.12
cheerful_halfsum_llama3,"(26-50, 76-100) no Style",0.44,,0.2,0.38,,0.18
cheerful_halfsum_llama3,(51+) no Theme,0.36,,0.14,0.34,,0.14
cheerful_halfsum_llama3,"(51-75) Style, not Theme",0.4,,0.2,0.33,,0.04
cheerful_halfsum_llama3,"(76+) no Theme, no Style, General",0.34,,0.12,0.35,,0.17
cheerful_halfsum_llama3,"(76-100) not Style, not Theme",0.4,,0.12,0.41,,0.24
cheerful_halfsum_llama3,Overall,0.42,,0.24,0.41,,0.24
cheerful_instruct_llama3,"(1-25) Style, Theme",0.25,,0.0,0.25,,0.08
cheerful_instruct_llama3,"(1-25, 51-75) Style",0.34,,0.14,0.38,,0.22
cheerful_instruct_llama3,(1-50) Theme,0.28,,0.02,0.28,,0.06
cheerful_instruct_llama3,(101+) General,0.48,,0.41,0.45,,0.34
cheerful_instruct_llama3,"(26-50) not Style, Theme",0.31,,0.04,0.31,,0.04
cheerful_instruct_llama3,"(26-50, 76-100) no Style",0.32,,0.08,0.35,,0.12
cheerful_instruct_llama3,(51+) no Theme,0.43,,0.3,0.46,,0.31
cheerful_instruct_llama3,"(51-75) Style, not Theme",0.43,,0.28,0.52,,0.36
cheerful_instruct_llama3,"(76+) no Theme, no Style, General",0.43,,0.3,0.43,,0.29
cheerful_instruct_llama3,"(76-100) not Style, not Theme",0.34,,0.12,0.4,,0.2
cheerful_instruct_llama3,Overall,0.38,,0.2,0.39,,0.22
