column,group,normalized_rank,top2_rate,top3_rate
cheerful_baseline_llama3,Overall,0.89,0.88,0.95
cheerful_halfsum_llama3,Overall,0.42,0.08,0.24
cheerful_instruct_llama3,Overall,0.38,0.07,0.2
cheerful_klora_llama3,Overall,0.59,0.42,0.58
cheerful_ours_llama3,Overall,0.5,0.24,0.42
cheerful_style_instruct_llama3,Overall,0.16,0.01,0.05
cheerful_theme_instruct_llama3,Overall,0.55,0.31,0.55
cheerful_baseline_llama3,"(1-25) Style, Theme",0.94,0.92,0.92
cheerful_halfsum_llama3,"(1-25) Style, Theme",0.62,0.2,0.6
cheerful_instruct_llama3,"(1-25) Style, Theme",0.25,0.0,0.0
cheerful_klora_llama3,"(1-25) Style, Theme",0.75,0.72,0.84
cheerful_ours_llama3,"(1-25) Style, Theme",0.23,0.0,0.04
cheerful_style_instruct_llama3,"(1-25) Style, Theme",0.16,0.04,0.04
cheerful_theme_instruct_llama3,"(1-25) Style, Theme",0.55,0.12,0.56
cheerful_baseline_llama3,"(26-50) not Style, Theme",0.92,0.92,0.96
cheerful_halfsum_llama3,"(26-50) not Style, Theme",0.47,0.04,0.28
cheerful_instruct_llama3,"(26-50) not Style, Theme",0.31,0.04,0.04
cheerful_klora_llama3,"(26-50) not Style, Theme",0.66,0.48,0.72
cheerful_ours_llama3,"(26-50) not Style, Theme",0.51,0.24,0.44
cheerful_style_instruct_llama3,"(26-50) not Style, Theme",0.04,0.0,0.0
cheerful_theme_instruct_llama3,"(26-50) not Style, Theme",0.59,0.28,0.56
cheerful_baseline_llama3,"(51-75) Style, not Theme",0.83,0.68,0.92
cheerful_halfsum_llama3,"(51-75) Style, not Theme",0.4,0.04,0.2
cheerful_instruct_llama3,"(51-75) Style, not Theme",0.43,0.16,0.28
cheerful_klora_llama3,"(51-75) Style, not Theme",0.64,0.36,0.56
cheerful_ours_llama3,"(51-75) Style, not Theme",0.59,0.44,0.6
cheerful_style_instruct_llama3,"(51-75) Style, not Theme",0.23,0.04,0.12
cheerful_theme_instruct_llama3,"(51-75) Style, not Theme",0.38,0.28,0.32
cheerful_baseline_llama3,"(76-100) not Style, not Theme",0.87,0.88,1.0
cheerful_halfsum_llama3,"(76-100) not Style, not Theme",0.4,0.04,0.12
cheerful_instruct_llama3,"(76-100) not Style, not Theme",0.34,0.0,0.12
cheerful_klora_llama3,"(76-100) not Style, not Theme",0.53,0.24,0.52
cheerful_ours_llama3,"(76-100) not Style, not Theme",0.61,0.36,0.6
cheerful_style_instruct_llama3,"(76-100) not Style, not Theme",0.15,0.0,0.0
cheerful_theme_instruct_llama3,"(76-100) not Style, not Theme",0.61,0.48,0.64
cheerful_baseline_llama3,(101+) General,0.91,0.93,0.95
cheerful_halfsum_llama3,(101+) General,0.31,0.07,0.11
cheerful_instruct_llama3,(101+) General,0.48,0.11,0.41
cheerful_klora_llama3,(101+) General,0.47,0.34,0.41
cheerful_ours_llama3,(101+) General,0.54,0.2,0.43
cheerful_style_instruct_llama3,(101+) General,0.2,0.0,0.07
cheerful_theme_instruct_llama3,(101+) General,0.6,0.34,0.61
cheerful_baseline_llama3,(1-50) Theme,0.93,0.92,0.94
cheerful_halfsum_llama3,(1-50) Theme,0.55,0.12,0.44
cheerful_instruct_llama3,(1-50) Theme,0.28,0.02,0.02
cheerful_klora_llama3,(1-50) Theme,0.7,0.6,0.78
cheerful_ours_llama3,(1-50) Theme,0.37,0.12,0.24
cheerful_style_instruct_llama3,(1-50) Theme,0.1,0.02,0.02
cheerful_theme_instruct_llama3,(1-50) Theme,0.57,0.2,0.56
cheerful_baseline_llama3,(51+) no Theme,0.88,0.85,0.96
cheerful_halfsum_llama3,(51+) no Theme,0.36,0.05,0.14
cheerful_instruct_llama3,(51+) no Theme,0.43,0.1,0.3
cheerful_klora_llama3,(51+) no Theme,0.53,0.32,0.48
cheerful_ours_llama3,(51+) no Theme,0.57,0.31,0.52
cheerful_style_instruct_llama3,(51+) no Theme,0.19,0.01,0.06
