cheerful_baseline_llama3_score,cheerful_halfsum_llama3_score,cheerful_instruct_llama3_score,cheerful_klora_llama3_score,cheerful_ours_llama3_score,cheerful_style_instruct_llama3_score,cheerful_theme_instruct_llama3_score
0.741,0.684,0.000,0.770,0.000,0.506,0.000
0.669,0.727,0.571,0.616,0.489,0.540,0.667
0.640,0.667,0.671,0.633,0.599,0.700,0.645
0.738,0.645,0.599,0.000,0.742,0.489,0.738
0.770,0.667,0.000,0.717,0.640,0.771,0.770
0.770,0.669,0.500,0.667,0.000,0.742,0.596
0.667,0.741,0.578,0.645,0.633,0.598,0.735
0.738,0.667,0.640,0.738,0.671,0.571,0.667
0.684,0.741,0.640,0.000,0.227,0.738,0.667
0.645,0.713,0.598,0.667,0.000,0.489,0.633
0.669,0.633,0.421,0.645,0.598,0.445,0.640
0.738,0.741,0.471,0.738,0.684,0.637,0.633
0.738,0.741,0.500,0.705,0.640,0.571,0.667
0.738,0.713,0.599,0.698,0.571,0.421,0.667
0.738,0.770,0.671,0.738,0.738,0.489,0.717
0.684,0.742,0.671,0.667,0.445,0.489,0.738
0.684,0.684,0.421,0.741,0.596,0.669,0.596
0.648,0.620,0.543,0.738,0.700,0.598,0.000
0.738,0.738,0.571,0.633,0.684,0.489,0.738
0.640,0.613,0.447,0.540,0.370,0.489,0.640
0.738,0.671,0.640,0.633,0.669,0.489,0.000
0.770,0.599,0.543,0.667,0.528,0.489,0.667
0.000,0.439,0.439,0.000,0.468,0.439,0.000
0.738,0.741,0.421,0.717,0.700,0.489,0.667
0.717,0.000,0.471,0.000,0.439,0.598,0.669
0.669,0.421,0.421,0.543,0.342,0.342,0.566
0.741,0.397,0.421,0.566,0.543,0.489,0.582
0.640,0.599,0.445,0.684,0.397,0.445,0.540
0.640,0.421,0.397,0.669,0.397,0.385,0.667
0.667,0.421,0.421,0.640,0.489,0.342,0.667
0.633,0.000,0.471,0.397,0.700,0.000,0.531
0.667,0.571,0.397,0.640,0.397,0.364,0.640
0.738,0.421,0.421,0.000,0.599,0.364,0.667
0.669,0.598,0.421,0.640,0.669,0.445,0.669
0.421,0.397,0.397,0.000,0.445,0.319,0.633
0.667,0.640,0.421,0.596,0.471,0.489,0.531
0.741,0.000,0.397,0.640,0.667,0.421,0.000
0.738,0.489,0.571,0.667,0.640,0.489,0.667
0.684,0.397,0.397,0.571,0.445,0.364,0.620
0.738,0.397,0.397,0.397,0.700,0.364,0.439
0.742,0.397,0.421,0.571,0.669,0.421,0.000
0.667,0.543,0.489,0.667,0.471,0.489,0.596
0.667,0.421,0.445,0.640,0.571,0.364,0.640
0.000,0.000,0.000,0.596,0.566,0.489,0.000
0.698,0.445,0.497,0.397,0.757,0.385,0.717
0.741,0.421,0.489,0.000,0.717,0.364,0.000
0.633,0.640,0.421,0.667,0.000,0.295,0.669
0.667,0.421,0.397,0.667,0.741,0.385,0.000
0.633,0.421,0.489,0.633,0.566,0.489,0.717
0.741,0.489,0.598,0.598,0.700,0.489,0.667
0.645,0.000,0.489,0.000,0.598,0.669,0.000
0.684,0.000,0.000,0.000,0.640,0.000,0.000
0.000,0.000,0.000,0.000,0.698,0.000,0.000
0.000,0.000,0.497,0.000,0.489,0.489,0.000
0.000,0.000,0.000,0.000,0.000,0.489,0.000
0.645,0.000,0.000,0.000,0.700,0.000,0.000
0.698,0.000,0.640,0.598,0.770,0.571,0.497
0.000,0.000,0.000,0.717,0.771,0.543,0.645
0.000,0.000,0.000,0.000,0.640,0.421,0.000
0.000,0.000,0.000,0.000,0.566,0.000,0.000
0.684,0.000,0.540,0.000,0.000,0.000,0.000
0.598,0.640,0.000,0.000,0.599,0.000,0.000
0.000,0.000,0.370,0.000,0.628,0.000,0.000
0.571,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.685,0.000,0.000,0.000,0.700,0.489,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.648,0.000,0.397,0.000,0.640,0.000,0.000
0.645,0.000,0.543,0.000,0.770,0.000,0.000
0.648,0.000,0.300,0.000,0.397,0.000,0.000
0.717,0.000,0.000,0.000,0.000,0.000,0.645
0.000,0.000,0.000,0.667,0.000,0.364,0.000
0.000,0.000,0.397,0.000,0.370,0.489,0.000
0.000,0.000,0.370,0.000,0.421,0.397,0.000
0.540,0.000,0.000,0.000,0.000,0.000,0.000
0.770,0.489,0.000,0.000,0.571,0.385,0.669
0.000,0.000,0.000,0.000,0.421,0.397,0.000
0.000,0.000,0.000,0.698,0.771,0.000,0.000
0.000,0.000,0.000,0.000,0.598,0.489,0.000
0.684,0.000,0.000,0.000,0.528,0.489,0.596
0.742,0.000,0.489,0.669,0.364,0.364,0.684
0.489,0.000,0.397,0.738,0.471,0.489,0.000
0.000,0.000,0.598,0.000,0.700,0.000,0.000
0.667,0.397,0.397,0.000,0.397,0.000,0.000
0.571,0.397,0.489,0.000,0.599,0.364,0.000
0.000,0.000,0.000,0.000,0.671,0.445,0.000
0.000,0.397,0.000,0.000,0.571,0.364,0.000
0.698,0.000,0.489,0.000,0.598,0.000,0.645
0.770,0.000,0.000,0.000,0.571,0.445,0.000
0.000,0.000,0.000,0.000,0.000,0.489,0.640
0.669,0.489,0.000,0.000,0.671,0.445,0.684
0.000,0.571,0.397,0.000,0.364,0.364,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.700,0.000,0.528,0.667,0.578,0.364,0.000
0.000,0.000,0.489,0.599,0.671,0.397,0.648
0.000,0.000,0.000,0.000,0.489,0.397,0.596
0.640,0.713,0.397,0.607,0.571,0.364,0.000
0.671,0.000,0.421,0.000,0.000,0.000,0.000
0.770,0.397,0.000,0.000,0.000,0.489,0.000
0.616,0.421,0.000,0.531,0.370,0.364,0.000
0.717,0.000,0.571,0.000,0.439,0.497,0.698
0.633,0.000,0.421,0.000,0.500,0.364,0.000
0.598,0.000,0.421,0.000,0.700,0.385,0.667
0.669,0.397,0.471,0.000,0.364,0.327,0.596
0.640,0.620,0.542,0.000,0.571,0.364,0.599
0.566,0.000,0.342,0.000,0.000,0.000,0.000
0.000,0.364,0.526,0.000,0.364,0.364,0.000
0.633,0.464,0.370,0.742,0.319,0.364,0.000
0.741,0.667,0.571,0.669,0.669,0.364,0.620
0.566,0.000,0.543,0.000,0.528,0.489,0.596
0.648,0.000,0.000,0.000,0.000,0.397,0.582
0.700,0.000,0.000,0.669,0.227,0.445,0.000
0.738,0.000,0.497,0.000,0.569,0.364,0.000
0.741,0.000,0.000,0.000,0.000,0.000,0.000
0.640,0.397,0.571,0.000,0.397,0.385,0.000
0.800,0.497,0.489,0.771,0.667,0.385,0.596
0.633,0.742,0.370,0.000,0.000,0.489,0.684
0.596,0.397,0.342,0.000,0.640,0.364,0.471
0.640,0.000,0.370,0.667,0.471,0.364,0.439
0.633,0.000,0.510,0.000,0.421,0.489,0.596
0.754,0.000,0.500,0.000,0.489,0.489,0.000
0.633,0.000,0.557,0.000,0.557,0.489,0.000
0.671,0.000,0.364,0.000,0.364,0.364,0.667
0.742,0.000,0.489,0.000,0.319,0.364,0.531
0.770,0.000,0.370,0.000,0.000,0.489,0.000
0.669,0.397,0.571,0.599,0.700,0.489,0.596
0.771,0.000,0.500,0.000,0.599,0.397,0.489
0.667,0.000,0.397,0.000,0.671,0.364,0.667
0.000,0.000,0.000,0.000,0.370,0.364,0.000
0.571,0.000,0.370,0.000,0.531,0.489,0.633
0.754,0.000,0.397,0.439,0.364,0.385,0.000
0.000,0.599,0.489,0.640,0.640,0.385,0.531
0.771,0.000,0.000,0.000,0.497,0.364,0.000
0.770,0.000,0.000,0.000,0.700,0.500,0.000
0.616,0.000,0.000,0.000,0.471,0.364,0.000
0.667,0.489,0.397,0.599,0.700,0.364,0.684
0.667,0.000,0.000,0.000,0.640,0.489,0.531
0.741,0.000,0.500,0.599,0.633,0.364,0.000
0.667,0.741,0.397,0.000,0.640,0.364,0.633
0.000,0.000,0.500,0.645,0.640,0.364,0.596
0.669,0.633,0.471,0.000,0.669,0.489,0.633
0.669,0.000,0.319,0.684,0.571,0.445,0.000
0.489,0.000,0.364,0.738,0.671,0.000,0.000
0.633,0.000,0.000,0.667,0.489,0.364,0.669
