column,group,normalized_rank,top2_rate,top3_rate
cheerful_baseline_llama3,Overall,0.77,0.67,0.78
cheerful_halfsum_llama3,Overall,0.41,0.15,0.24
cheerful_instruct_llama3,Overall,0.39,0.09,0.22
cheerful_klora_llama3,Overall,0.45,0.24,0.35
cheerful_ours_llama3,Overall,0.61,0.42,0.53
cheerful_style_instruct_llama3,Overall,0.39,0.13,0.22
cheerful_theme_instruct_llama3,Overall,0.49,0.31,0.38
cheerful_baseline_llama3,"(1-25) Style, Theme",0.79,0.68,0.92
cheerful_halfsum_llama3,"(1-25) Style, Theme",0.75,0.52,0.72
cheerful_instruct_llama3,"(1-25) Style, Theme",0.25,0.04,0.08
cheerful_klora_llama3,"(1-25) Style, Theme",0.55,0.32,0.48
cheerful_ours_llama3,"(1-25) Style, Theme",0.35,0.12,0.24
cheerful_style_instruct_llama3,"(1-25) Style, Theme",0.34,0.16,0.24
cheerful_theme_instruct_llama3,"(1-25) Style, Theme",0.51,0.32,0.4
cheerful_baseline_llama3,"(26-50) not Style, Theme",0.86,0.8,0.92
cheerful_halfsum_llama3,"(26-50) not Style, Theme",0.35,0.04,0.12
cheerful_instruct_llama3,"(26-50) not Style, Theme",0.31,0.0,0.04
cheerful_klora_llama3,"(26-50) not Style, Theme",0.62,0.4,0.68
cheerful_ours_llama3,"(26-50) not Style, Theme",0.56,0.44,0.48
cheerful_style_instruct_llama3,"(26-50) not Style, Theme",0.19,0.0,0.04
cheerful_theme_instruct_llama3,"(26-50) not Style, Theme",0.65,0.56,0.72
cheerful_baseline_llama3,"(51-75) Style, not Theme",0.64,0.48,0.52
cheerful_halfsum_llama3,"(51-75) Style, not Theme",0.33,0.04,0.04
cheerful_instruct_llama3,"(51-75) Style, not Theme",0.52,0.16,0.36
cheerful_klora_llama3,"(51-75) Style, not Theme",0.37,0.08,0.08
cheerful_ours_llama3,"(51-75) Style, not Theme",0.76,0.6,0.68
cheerful_style_instruct_llama3,"(51-75) Style, not Theme",0.53,0.28,0.32
cheerful_theme_instruct_llama3,"(51-75) Style, not Theme",0.35,0.04,0.08
cheerful_baseline_llama3,"(76-100) not Style, not Theme",0.65,0.52,0.56
cheerful_halfsum_llama3,"(76-100) not Style, not Theme",0.41,0.12,0.24
cheerful_instruct_llama3,"(76-100) not Style, not Theme",0.4,0.12,0.2
cheerful_klora_llama3,"(76-100) not Style, not Theme",0.39,0.16,0.28
cheerful_ours_llama3,"(76-100) not Style, not Theme",0.69,0.44,0.64
