column,group,normalized_rank,top2_rate,top3_rate
sad_astroph,Overall,0.69,0.42,0.72
sad_halfsum,Overall,0.33,0.07,0.12
sad_instruct,Overall,0.26,0.02,0.1
sad_klora,Overall,0.57,0.31,0.6
sad_style_instruct,Overall,0.29,0.04,0.11
sad_super_baseline,Overall,0.89,0.85,0.91
sad_theme_instruct,Overall,0.48,0.28,0.44
sad_astroph,"(1-25) Style, Theme",0.58,0.28,0.44
sad_halfsum,"(1-25) Style, Theme",0.55,0.32,0.32
sad_instruct,"(1-25) Style, Theme",0.23,0.08,0.08
sad_klora,"(1-25) Style, Theme",0.7,0.4,0.88
sad_style_instruct,"(1-25) Style, Theme",0.21,0.04,0.08
sad_super_baseline,"(1-25) Style, Theme",0.81,0.68,0.8
sad_theme_instruct,"(1-25) Style, Theme",0.43,0.2,0.4
sad_astroph,"(26-50) not Style, Theme",0.65,0.36,0.64
sad_halfsum,"(26-50) not Style, Theme",0.35,0.0,0.04
sad_instruct,"(26-50) not Style, Theme",0.17,0.0,0.0
sad_klora,"(26-50) not Style, Theme",0.69,0.4,0.76
sad_style_instruct,"(26-50) not Style, Theme",0.11,0.0,0.0
sad_super_baseline,"(26-50) not Style, Theme",0.9,0.84,0.92
sad_theme_instruct,"(26-50) not Style, Theme",0.63,0.4,0.64
sad_astroph,"(51-75) Style, not Theme",0.78,0.64,0.88
sad_halfsum,"(51-75) Style, not Theme",0.29,0.04,0.12
sad_instruct,"(51-75) Style, not Theme",0.33,0.0,0.2
sad_klora,"(51-75) Style, not Theme",0.5,0.24,0.48
sad_style_instruct,"(51-75) Style, not Theme",0.39,0.12,0.2
sad_super_baseline,"(51-75) Style, not Theme",0.89,0.84,0.92
sad_theme_instruct,"(51-75) Style, not Theme",0.33,0.12,0.2
sad_astroph,"(76-100) not Style, not Theme",0.74,0.52,0.84
sad_halfsum,"(76-100) not Style, not Theme",0.3,0.04,0.16
sad_instruct,"(76-100) not Style, not Theme",0.17,0.0,0.0
sad_klora,"(76-100) not Style, not Theme",0.61,0.32,0.64
sad_style_instruct,"(76-100) not Style, not Theme",0.26,0.0,0.0
sad_super_baseline,"(76-100) not Style, not Theme",0.93,0.92,0.96
sad_theme_instruct,"(76-100) not Style, not Theme",0.49,0.2,0.4
sad_astroph,(101+) General,0.68,0.34,0.75
sad_halfsum,(101+) General,0.23,0.0,0.05
sad_instruct,(101+) General,0.35,0.02,0.16
sad_klora,(101+) General,0.44,0.25,0.39
sad_style_instruct,(101+) General,0.39,0.05,0.2
sad_super_baseline,(101+) General,0.91,0.93,0.93
sad_theme_instruct,(101+) General,0.5,0.41,0.52
sad_astroph,(1-50) Theme,0.62,0.32,0.54
sad_halfsum,(1-50) Theme,0.45,0.16,0.18
sad_instruct,(1-50) Theme,0.2,0.04,0.04
sad_klora,(1-50) Theme,0.7,0.4,0.82
sad_style_instruct,(1-50) Theme,0.16,0.02,0.04
sad_super_baseline,(1-50) Theme,0.85,0.76,0.86
sad_theme_instruct,(1-50) Theme,0.53,0.3,0.52
sad_astroph,(51+) no Theme,0.72,0.47,0.81
sad_halfsum,(51+) no Theme,0.26,0.02,0.1
sad_instruct,(51+) no Theme,0.3,0.01,0.13
sad_klora,(51+) no Theme,0.5,0.27,0.48
sad_style_instruct,(51+) no Theme,0.36,0.05,0.15
sad_super_baseline,(51+) no Theme,0.91,0.9,0.94
sad_theme_instruct,(51+) no Theme,0.45,0.28,0.4
sad_astroph,"(76+) no Theme, no Style, General",0.7,0.41,0.78
sad_halfsum,"(76+) no Theme, no Style, General",0.25,0.01,0.09
sad_instruct,"(76+) no Theme, no Style, General",0.29,0.01,0.1
sad_klora,"(76+) no Theme, no Style, General",0.5,0.28,0.48
sad_style_instruct,"(76+) no Theme, no Style, General",0.35,0.03,0.13
sad_super_baseline,"(76+) no Theme, no Style, General",0.92,0.93,0.94
sad_theme_instruct,"(76+) no Theme, no Style, General",0.5,0.33,0.48
sad_astroph,"(1-25, 51-75) Style",0.68,0.46,0.66
sad_halfsum,"(1-25, 51-75) Style",0.42,0.18,0.22
sad_instruct,"(1-25, 51-75) Style",0.28,0.04,0.14
sad_klora,"(1-25, 51-75) Style",0.6,0.32,0.68
sad_style_instruct,"(1-25, 51-75) Style",0.3,0.08,0.14
sad_super_baseline,"(1-25, 51-75) Style",0.85,0.76,0.86
sad_theme_instruct,"(1-25, 51-75) Style",0.38,0.16,0.3
sad_astroph,"(26-50, 76-100) no Style",0.7,0.44,0.74
sad_halfsum,"(26-50, 76-100) no Style",0.33,0.02,0.1
sad_instruct,"(26-50, 76-100) no Style",0.17,0.0,0.0
sad_klora,"(26-50, 76-100) no Style",0.65,0.36,0.7
sad_style_instruct,"(26-50, 76-100) no Style",0.18,0.0,0.0
sad_super_baseline,"(26-50, 76-100) no Style",0.91,0.88,0.94
sad_theme_instruct,"(26-50, 76-100) no Style",0.56,0.3,0.52
