column,group,normalized_rank,top2_rate,top3_rate
sad_astroph,Overall,0.61,0.38,0.62
sad_halfsum,Overall,0.34,0.09,0.15
sad_instruct,Overall,0.3,0.05,0.12
sad_klora,Overall,0.49,0.33,0.4
sad_style_instruct,Overall,0.43,0.09,0.2
sad_super_baseline,Overall,0.83,0.77,0.85
sad_theme_instruct,Overall,0.52,0.35,0.46
sad_astroph,"(1-25) Style, Theme",0.4,0.12,0.36
sad_halfsum,"(1-25) Style, Theme",0.49,0.24,0.36
sad_instruct,"(1-25) Style, Theme",0.19,0.04,0.08
sad_klora,"(1-25) Style, Theme",0.57,0.4,0.44
sad_style_instruct,"(1-25) Style, Theme",0.39,0.24,0.32
sad_super_baseline,"(1-25) Style, Theme",0.77,0.72,0.8
sad_theme_instruct,"(1-25) Style, Theme",0.66,0.44,0.56
sad_astroph,"(26-50) not Style, Theme",0.55,0.24,0.4
sad_halfsum,"(26-50) not Style, Theme",0.25,0.0,0.0
sad_instruct,"(26-50) not Style, Theme",0.17,0.0,0.0
sad_klora,"(26-50) not Style, Theme",0.65,0.6,0.68
sad_style_instruct,"(26-50) not Style, Theme",0.32,0.0,0.04
sad_super_baseline,"(26-50) not Style, Theme",0.86,0.72,1.0
sad_theme_instruct,"(26-50) not Style, Theme",0.75,0.6,0.84
sad_astroph,"(51-75) Style, not Theme",0.79,0.72,0.92
sad_halfsum,"(51-75) Style, not Theme",0.34,0.08,0.08
sad_instruct,"(51-75) Style, not Theme",0.41,0.08,0.2
sad_klora,"(51-75) Style, not Theme",0.37,0.12,0.12
sad_style_instruct,"(51-75) Style, not Theme",0.43,0.0,0.12
sad_super_baseline,"(51-75) Style, not Theme",0.85,0.76,0.76
sad_theme_instruct,"(51-75) Style, not Theme",0.34,0.08,0.08
sad_astroph,"(76-100) not Style, not Theme",0.65,0.36,0.76
sad_halfsum,"(76-100) not Style, not Theme",0.33,0.12,0.16
sad_instruct,"(76-100) not Style, not Theme",0.26,0.0,0.0
sad_klora,"(76-100) not Style, not Theme",0.49,0.32,0.44
sad_style_instruct,"(76-100) not Style, not Theme",0.45,0.04,0.16
sad_super_baseline,"(76-100) not Style, not Theme",0.85,0.84,0.88
sad_theme_instruct,"(76-100) not Style, not Theme",0.51,0.32,0.44
sad_astroph,(101+) General,0.65,0.43,0.64
sad_halfsum,(101+) General,0.33,0.05,0.16
sad_instruct,(101+) General,0.39,0.09,0.23
sad_klora,(101+) General,0.42,0.27,0.36
sad_style_instruct,(101+) General,0.49,0.14,0.3
sad_super_baseline,(101+) General,0.83,0.8,0.84
sad_theme_instruct,(101+) General,0.43,0.32,0.41
sad_astroph,(1-50) Theme,0.48,0.18,0.38
sad_halfsum,(1-50) Theme,0.37,0.12,0.18
sad_instruct,(1-50) Theme,0.18,0.02,0.04
sad_klora,(1-50) Theme,0.61,0.5,0.56
sad_style_instruct,(1-50) Theme,0.36,0.12,0.18
sad_super_baseline,(1-50) Theme,0.82,0.72,0.9
sad_theme_instruct,(1-50) Theme,0.7,0.52,0.7
sad_astroph,(51+) no Theme,0.69,0.49,0.74
sad_halfsum,(51+) no Theme,0.33,0.07,0.14
sad_instruct,(51+) no Theme,0.36,0.06,0.16
sad_klora,(51+) no Theme,0.43,0.24,0.32
sad_style_instruct,(51+) no Theme,0.46,0.07,0.21
sad_super_baseline,(51+) no Theme,0.84,0.8,0.83
sad_theme_instruct,(51+) no Theme,0.43,0.26,0.33
sad_astroph,"(76+) no Theme, no Style, General",0.65,0.41,0.68
sad_halfsum,"(76+) no Theme, no Style, General",0.33,0.07,0.16
sad_instruct,"(76+) no Theme, no Style, General",0.34,0.06,0.14
sad_klora,"(76+) no Theme, no Style, General",0.45,0.29,0.39
sad_style_instruct,"(76+) no Theme, no Style, General",0.48,0.1,0.25
sad_super_baseline,"(76+) no Theme, no Style, General",0.84,0.81,0.86
sad_theme_instruct,"(76+) no Theme, no Style, General",0.46,0.32,0.42
sad_astroph,"(1-25, 51-75) Style",0.6,0.42,0.64
sad_halfsum,"(1-25, 51-75) Style",0.41,0.16,0.22
sad_instruct,"(1-25, 51-75) Style",0.3,0.06,0.14
sad_klora,"(1-25, 51-75) Style",0.47,0.26,0.28
sad_style_instruct,"(1-25, 51-75) Style",0.41,0.12,0.22
sad_super_baseline,"(1-25, 51-75) Style",0.81,0.74,0.78
sad_theme_instruct,"(1-25, 51-75) Style",0.5,0.26,0.32
sad_astroph,"(26-50, 76-100) no Style",0.6,0.3,0.58
sad_halfsum,"(26-50, 76-100) no Style",0.29,0.06,0.08
sad_instruct,"(26-50, 76-100) no Style",0.21,0.0,0.0
sad_klora,"(26-50, 76-100) no Style",0.57,0.46,0.56
sad_style_instruct,"(26-50, 76-100) no Style",0.39,0.02,0.1
sad_super_baseline,"(26-50, 76-100) no Style",0.86,0.78,0.94
sad_theme_instruct,"(26-50, 76-100) no Style",0.63,0.46,0.64
