column,group,normalized_rank,top2_rate,top3_rate
halfsum,Overall,0.41,0.12,0.24
instruct,Overall,0.25,0.03,0.1
k_lora,Overall,0.61,0.35,0.59
ours_augmented,Overall,0.57,0.33,0.55
style_instruct,Overall,0.21,0.0,0.03
super_baseline,Overall,0.91,0.85,0.97
theme_instruct,Overall,0.55,0.32,0.52
halfsum,"(1-25) Style, Theme",0.77,0.64,0.76
instruct,"(1-25) Style, Theme",0.15,0.0,0.0
k_lora,"(1-25) Style, Theme",0.81,0.68,0.92
ours_augmented,"(1-25) Style, Theme",0.29,0.0,0.08
style_instruct,"(1-25) Style, Theme",0.21,0.0,0.04
super_baseline,"(1-25) Style, Theme",0.8,0.6,0.88
theme_instruct,"(1-25) Style, Theme",0.47,0.08,0.32
halfsum,"(26-50) not Style, Theme",0.42,0.0,0.04
instruct,"(26-50) not Style, Theme",0.13,0.0,0.0
k_lora,"(26-50) not Style, Theme",0.74,0.48,0.92
ours_augmented,"(26-50) not Style, Theme",0.43,0.16,0.28
style_instruct,"(26-50) not Style, Theme",0.17,0.0,0.0
super_baseline,"(26-50) not Style, Theme",0.93,0.88,1.0
theme_instruct,"(26-50) not Style, Theme",0.69,0.48,0.76
halfsum,"(51-75) Style, not Theme",0.29,0.0,0.12
instruct,"(51-75) Style, not Theme",0.37,0.12,0.2
k_lora,"(51-75) Style, not Theme",0.61,0.24,0.68
ours_augmented,"(51-75) Style, not Theme",0.71,0.56,0.72
style_instruct,"(51-75) Style, not Theme",0.24,0.0,0.08
super_baseline,"(51-75) Style, not Theme",0.92,0.92,0.96
theme_instruct,"(51-75) Style, not Theme",0.37,0.16,0.24
halfsum,"(76-100) not Style, not Theme",0.37,0.0,0.2
instruct,"(76-100) not Style, not Theme",0.23,0.08,0.12
k_lora,"(76-100) not Style, not Theme",0.54,0.28,0.32
ours_augmented,"(76-100) not Style, not Theme",0.65,0.32,0.72
style_instruct,"(76-100) not Style, not Theme",0.21,0.0,0.0
super_baseline,"(76-100) not Style, not Theme",0.92,0.88,0.96
theme_instruct,"(76-100) not Style, not Theme",0.59,0.44,0.68
halfsum,(101+) General,0.29,0.02,0.16
instruct,(101+) General,0.31,0.0,0.14
k_lora,(101+) General,0.46,0.2,0.32
ours_augmented,(101+) General,0.69,0.48,0.77
style_instruct,(101+) General,0.21,0.0,0.05
super_baseline,(101+) General,0.94,0.91,1.0
theme_instruct,(101+) General,0.61,0.39,0.57
halfsum,(1-50) Theme,0.59,0.32,0.4
instruct,(1-50) Theme,0.14,0.0,0.0
k_lora,(1-50) Theme,0.78,0.58,0.92
ours_augmented,(1-50) Theme,0.36,0.08,0.18
style_instruct,(1-50) Theme,0.19,0.0,0.02
super_baseline,(1-50) Theme,0.86,0.74,0.94
theme_instruct,(1-50) Theme,0.58,0.28,0.54
halfsum,(51+) no Theme,0.31,0.01,0.16
instruct,(51+) no Theme,0.3,0.05,0.15
k_lora,(51+) no Theme,0.52,0.23,0.41
ours_augmented,(51+) no Theme,0.68,0.46,0.74
style_instruct,(51+) no Theme,0.22,0.0,0.04
super_baseline,(51+) no Theme,0.93,0.9,0.98
theme_instruct,(51+) no Theme,0.54,0.34,0.51
halfsum,"(76+) no Theme, no Style, General",0.32,0.01,0.17
instruct,"(76+) no Theme, no Style, General",0.28,0.03,0.13
k_lora,"(76+) no Theme, no Style, General",0.49,0.23,0.32
ours_augmented,"(76+) no Theme, no Style, General",0.67,0.42,0.75
style_instruct,"(76+) no Theme, no Style, General",0.21,0.0,0.03
super_baseline,"(76+) no Theme, no Style, General",0.93,0.9,0.99
theme_instruct,"(76+) no Theme, no Style, General",0.6,0.41,0.61
halfsum,"(1-25, 51-75) Style",0.53,0.32,0.44
instruct,"(1-25, 51-75) Style",0.26,0.06,0.1
k_lora,"(1-25, 51-75) Style",0.71,0.46,0.8
ours_augmented,"(1-25, 51-75) Style",0.5,0.28,0.4
style_instruct,"(1-25, 51-75) Style",0.23,0.0,0.06
super_baseline,"(1-25, 51-75) Style",0.86,0.76,0.92
theme_instruct,"(1-25, 51-75) Style",0.42,0.12,0.28
halfsum,"(26-50, 76-100) no Style",0.39,0.0,0.12
instruct,"(26-50, 76-100) no Style",0.18,0.04,0.06
k_lora,"(26-50, 76-100) no Style",0.64,0.38,0.62
ours_augmented,"(26-50, 76-100) no Style",0.54,0.24,0.5
style_instruct,"(26-50, 76-100) no Style",0.19,0.0,0.0
super_baseline,"(26-50, 76-100) no Style",0.92,0.88,0.98
theme_instruct,"(26-50, 76-100) no Style",0.64,0.46,0.72
