column,group,mean_topic_rel,mean_style,mean_depth,mean_coherence,mean_score
halfsum,Overall,0.5139,0.4441,0.3035,0.2951,0.273
instruct,Overall,0.4653,0.4163,0.1986,0.2535,0.2191
k_lora,Overall,0.4792,0.692,0.2833,0.4701,0.336
ours_augmented,Overall,0.8819,0.6941,0.5201,0.6316,0.5866
style_instruct,Overall,0.75,0.4288,0.4448,0.399,0.3782
super_baseline,Overall,0.9028,0.8003,0.5781,0.751,0.6692
theme_instruct,Overall,0.6944,0.7295,0.3747,0.5899,0.4703
halfsum,"(1-25) Style, Theme",0.96,0.726,0.592,0.736,0.6687
instruct,"(1-25) Style, Theme",0.88,0.624,0.37,0.534,0.4947
k_lora,"(1-25) Style, Theme",1.0,0.83,0.584,0.782,0.732
ours_augmented,"(1-25) Style, Theme",1.0,0.722,0.584,0.704,0.67
style_instruct,"(1-25) Style, Theme",0.96,0.658,0.576,0.65,0.6187
super_baseline,"(1-25) Style, Theme",1.0,0.834,0.646,0.802,0.7607
theme_instruct,"(1-25) Style, Theme",1.0,0.81,0.552,0.758,0.7067
halfsum,"(26-50) not Style, Theme",1.0,0.32,0.564,0.424,0.436
instruct,"(26-50) not Style, Theme",0.56,0.346,0.246,0.246,0.222
k_lora,"(26-50) not Style, Theme",0.96,0.724,0.548,0.718,0.6567
ours_augmented,"(26-50) not Style, Theme",0.92,0.676,0.538,0.65,0.5907
style_instruct,"(26-50) not Style, Theme",1.0,0.306,0.57,0.414,0.43
super_baseline,"(26-50) not Style, Theme",0.96,0.792,0.588,0.75,0.6967
theme_instruct,"(26-50) not Style, Theme",0.96,0.758,0.534,0.716,0.6533
halfsum,"(51-75) Style, not Theme",0.0,0.522,0.0,0.012,0.0
instruct,"(51-75) Style, not Theme",0.24,0.394,0.112,0.152,0.1067
k_lora,"(51-75) Style, not Theme",0.12,0.686,0.058,0.268,0.0813
ours_augmented,"(51-75) Style, not Theme",0.68,0.706,0.412,0.556,0.4733
style_instruct,"(51-75) Style, not Theme",0.32,0.508,0.182,0.276,0.1787
super_baseline,"(51-75) Style, not Theme",0.68,0.784,0.438,0.698,0.4987
theme_instruct,"(51-75) Style, not Theme",0.2,0.68,0.112,0.34,0.1453
halfsum,"(76-100) not Style, not Theme",0.52,0.346,0.314,0.272,0.2507
instruct,"(76-100) not Style, not Theme",0.44,0.388,0.192,0.234,0.198
k_lora,"(76-100) not Style, not Theme",0.24,0.612,0.158,0.328,0.1547
ours_augmented,"(76-100) not Style, not Theme",0.96,0.684,0.566,0.664,0.6307
style_instruct,"(76-100) not Style, not Theme",0.88,0.318,0.518,0.39,0.3927
super_baseline,"(76-100) not Style, not Theme",0.88,0.804,0.596,0.746,0.672
theme_instruct,"(76-100) not Style, not Theme",0.56,0.7,0.32,0.534,0.384
halfsum,(101+) General,0.2727,0.3659,0.158,0.1455,0.1235
instruct,(101+) General,0.3182,0.367,0.1273,0.167,0.1367
k_lora,(101+) General,0.25,0.6443,0.1614,0.3477,0.1765
ours_augmented,(101+) General,0.8636,0.6875,0.5091,0.6045,0.5761
style_instruct,(101+) General,0.6591,0.3864,0.4068,0.3227,0.3174
super_baseline,(101+) General,0.9545,0.7932,0.6034,0.7557,0.697
theme_instruct,(101+) General,0.7273,0.7125,0.3636,0.5966,0.4655
halfsum,(1-50) Theme,0.98,0.523,0.578,0.58,0.5523
instruct,(1-50) Theme,0.72,0.485,0.308,0.39,0.3583
k_lora,(1-50) Theme,0.98,0.777,0.566,0.75,0.6943
ours_augmented,(1-50) Theme,0.96,0.699,0.561,0.677,0.6303
style_instruct,(1-50) Theme,0.98,0.482,0.573,0.532,0.5243
super_baseline,(1-50) Theme,0.98,0.813,0.617,0.776,0.7287
theme_instruct,(1-50) Theme,0.98,0.784,0.543,0.737,0.68
halfsum,(51+) no Theme,0.266,0.4021,0.1574,0.1436,0.1245
instruct,(51+) no Theme,0.3298,0.3798,0.1404,0.1809,0.145
k_lora,(51+) no Theme,0.2128,0.6468,0.133,0.3213,0.1454
ours_augmented,(51+) no Theme,0.8404,0.6915,0.4984,0.6074,0.5633
style_instruct,(51+) no Theme,0.6277,0.4005,0.3766,0.3282,0.3005
super_baseline,(51+) no Theme,0.8617,0.7936,0.5574,0.7378,0.6376
theme_instruct,(51+) no Theme,0.5426,0.7005,0.2851,0.5117,0.3587
halfsum,"(76+) no Theme, no Style, General",0.3623,0.3587,0.2145,0.1913,0.1696
instruct,"(76+) no Theme, no Style, General",0.3623,0.3746,0.1507,0.1913,0.1589
k_lora,"(76+) no Theme, no Style, General",0.2464,0.6326,0.1601,0.3406,0.1686
