column,group,normalized_rank,top2_rate,top3_rate
agitational_augmented_more,Overall,0.68,0.48,0.7
halfsum,Overall,0.46,0.12,0.31
instruct,Overall,0.27,0.07,0.09
k_lora,Overall,0.47,0.22,0.38
style_instruct,Overall,0.51,0.26,0.42
super_baseline,Overall,0.79,0.67,0.81
theme_instruct,Overall,0.33,0.18,0.28
agitational_augmented_more,"(1-25) Style, Theme",0.65,0.44,0.64
halfsum,"(1-25) Style, Theme",0.64,0.32,0.64
instruct,"(1-25) Style, Theme",0.13,0.0,0.0
k_lora,"(1-25) Style, Theme",0.51,0.24,0.44
style_instruct,"(1-25) Style, Theme",0.37,0.04,0.08
super_baseline,"(1-25) Style, Theme",0.81,0.8,0.84
theme_instruct,"(1-25) Style, Theme",0.39,0.16,0.36
agitational_augmented_more,"(26-50) not Style, Theme",0.65,0.44,0.56
halfsum,"(26-50) not Style, Theme",0.58,0.2,0.48
instruct,"(26-50) not Style, Theme",0.19,0.0,0.0
k_lora,"(26-50) not Style, Theme",0.55,0.36,0.56
style_instruct,"(26-50) not Style, Theme",0.33,0.08,0.12
super_baseline,"(26-50) not Style, Theme",0.79,0.64,0.88
theme_instruct,"(26-50) not Style, Theme",0.41,0.28,0.4
agitational_augmented_more,"(51-75) Style, not Theme",0.8,0.72,0.88
halfsum,"(51-75) Style, not Theme",0.37,0.0,0.12
instruct,"(51-75) Style, not Theme",0.43,0.24,0.24
k_lora,"(51-75) Style, not Theme",0.49,0.16,0.36
style_instruct,"(51-75) Style, not Theme",0.62,0.4,0.68
super_baseline,"(51-75) Style, not Theme",0.61,0.32,0.56
theme_instruct,"(51-75) Style, not Theme",0.18,0.16,0.16
agitational_augmented_more,"(76-100) not Style, not Theme",0.67,0.44,0.72
halfsum,"(76-100) not Style, not Theme",0.46,0.12,0.32
instruct,"(76-100) not Style, not Theme",0.19,0.0,0.0
k_lora,"(76-100) not Style, not Theme",0.47,0.24,0.48
style_instruct,"(76-100) not Style, not Theme",0.59,0.28,0.48
super_baseline,"(76-100) not Style, not Theme",0.87,0.76,0.84
theme_instruct,"(76-100) not Style, not Theme",0.25,0.16,0.16
agitational_augmented_more,(101+) General,0.66,0.4,0.71
halfsum,(101+) General,0.34,0.05,0.14
instruct,(101+) General,0.33,0.09,0.16
k_lora,(101+) General,0.38,0.14,0.2
style_instruct,(101+) General,0.59,0.41,0.61
super_baseline,(101+) General,0.84,0.77,0.86
theme_instruct,(101+) General,0.38,0.16,0.32
agitational_augmented_more,(1-50) Theme,0.65,0.44,0.6
halfsum,(1-50) Theme,0.61,0.26,0.56
instruct,(1-50) Theme,0.16,0.0,0.0
k_lora,(1-50) Theme,0.53,0.3,0.5
style_instruct,(1-50) Theme,0.35,0.06,0.1
super_baseline,(1-50) Theme,0.8,0.72,0.86
theme_instruct,(1-50) Theme,0.4,0.22,0.38
agitational_augmented_more,(51+) no Theme,0.7,0.49,0.76
halfsum,(51+) no Theme,0.38,0.05,0.18
instruct,(51+) no Theme,0.32,0.11,0.14
k_lora,(51+) no Theme,0.43,0.17,0.32
style_instruct,(51+) no Theme,0.6,0.37,0.6
super_baseline,(51+) no Theme,0.78,0.65,0.78
theme_instruct,(51+) no Theme,0.29,0.16,0.23
agitational_augmented_more,"(76+) no Theme, no Style, General",0.66,0.41,0.71
halfsum,"(76+) no Theme, no Style, General",0.38,0.07,0.2
instruct,"(76+) no Theme, no Style, General",0.28,0.06,0.1
k_lora,"(76+) no Theme, no Style, General",0.41,0.17,0.3
style_instruct,"(76+) no Theme, no Style, General",0.59,0.36,0.57
super_baseline,"(76+) no Theme, no Style, General",0.85,0.77,0.86
theme_instruct,"(76+) no Theme, no Style, General",0.33,0.16,0.26
agitational_augmented_more,"(1-25, 51-75) Style",0.73,0.58,0.76
halfsum,"(1-25, 51-75) Style",0.5,0.16,0.38
instruct,"(1-25, 51-75) Style",0.28,0.12,0.12
k_lora,"(1-25, 51-75) Style",0.5,0.2,0.4
style_instruct,"(1-25, 51-75) Style",0.49,0.22,0.38
super_baseline,"(1-25, 51-75) Style",0.71,0.56,0.7
theme_instruct,"(1-25, 51-75) Style",0.28,0.16,0.26
agitational_augmented_more,"(26-50, 76-100) no Style",0.66,0.44,0.64
halfsum,"(26-50, 76-100) no Style",0.52,0.16,0.4
instruct,"(26-50, 76-100) no Style",0.19,0.0,0.0
k_lora,"(26-50, 76-100) no Style",0.51,0.3,0.52
style_instruct,"(26-50, 76-100) no Style",0.46,0.18,0.3
super_baseline,"(26-50, 76-100) no Style",0.83,0.7,0.86
theme_instruct,"(26-50, 76-100) no Style",0.33,0.22,0.28
