column,group,normalized_rank,top1_rate,top3_rate
agitational_augmented_more,Overall,0.57,0.19,0.46
halfsum,Overall,0.47,0.05,0.25
instruct,Overall,0.31,0.02,0.09
k_lora,Overall,0.45,0.06,0.24
style_instruct,Overall,0.56,0.13,0.4
super_baseline,Overall,0.75,0.38,0.67
theme_instruct,Overall,0.47,0.05,0.28
agitational_augmented_more,"(1-25) Style, Theme",0.45,0.08,0.4
halfsum,"(1-25) Style, Theme",0.63,0.16,0.56
instruct,"(1-25) Style, Theme",0.17,0.0,0.0
k_lora,"(1-25) Style, Theme",0.51,0.04,0.4
style_instruct,"(1-25) Style, Theme",0.49,0.2,0.36
super_baseline,"(1-25) Style, Theme",0.83,0.28,0.92
theme_instruct,"(1-25) Style, Theme",0.43,0.0,0.28
agitational_augmented_more,"(26-50) not Style, Theme",0.54,0.16,0.48
halfsum,"(26-50) not Style, Theme",0.54,0.04,0.36
instruct,"(26-50) not Style, Theme",0.17,0.0,0.04
k_lora,"(26-50) not Style, Theme",0.55,0.16,0.44
style_instruct,"(26-50) not Style, Theme",0.51,0.12,0.4
super_baseline,"(26-50) not Style, Theme",0.75,0.4,0.76
theme_instruct,"(26-50) not Style, Theme",0.47,0.04,0.36
agitational_augmented_more,"(51-75) Style, not Theme",0.7,0.4,0.44
halfsum,"(51-75) Style, not Theme",0.46,0.0,0.0
instruct,"(51-75) Style, not Theme",0.51,0.04,0.08
k_lora,"(51-75) Style, not Theme",0.46,0.0,0.0
style_instruct,"(51-75) Style, not Theme",0.61,0.16,0.28
super_baseline,"(51-75) Style, not Theme",0.52,0.08,0.08
theme_instruct,"(51-75) Style, not Theme",0.51,0.04,0.08
agitational_augmented_more,"(76-100) not Style, not Theme",0.6,0.16,0.52
halfsum,"(76-100) not Style, not Theme",0.38,0.04,0.2
instruct,"(76-100) not Style, not Theme",0.33,0.0,0.12
k_lora,"(76-100) not Style, not Theme",0.38,0.08,0.2
style_instruct,"(76-100) not Style, not Theme",0.61,0.16,0.52
super_baseline,"(76-100) not Style, not Theme",0.79,0.52,0.76
theme_instruct,"(76-100) not Style, not Theme",0.44,0.04,0.32
agitational_augmented_more,(101+) General,0.56,0.18,0.47
halfsum,(101+) General,0.38,0.02,0.18
instruct,(101+) General,0.35,0.05,0.16
k_lora,(101+) General,0.39,0.02,0.2
style_instruct,(101+) General,0.57,0.07,0.41
super_baseline,(101+) General,0.8,0.5,0.75
theme_instruct,(101+) General,0.48,0.09,0.32
agitational_augmented_more,(1-50) Theme,0.5,0.12,0.44
halfsum,(1-50) Theme,0.59,0.1,0.46
instruct,(1-50) Theme,0.17,0.0,0.02
k_lora,(1-50) Theme,0.53,0.1,0.42
style_instruct,(1-50) Theme,0.5,0.16,0.38
super_baseline,(1-50) Theme,0.79,0.34,0.84
theme_instruct,(1-50) Theme,0.45,0.02,0.32
agitational_augmented_more,(51+) no Theme,0.61,0.23,0.47
halfsum,(51+) no Theme,0.4,0.02,0.14
instruct,(51+) no Theme,0.39,0.03,0.13
k_lora,(51+) no Theme,0.41,0.03,0.15
style_instruct,(51+) no Theme,0.59,0.12,0.4
super_baseline,(51+) no Theme,0.73,0.39,0.57
theme_instruct,(51+) no Theme,0.48,0.06,0.26
agitational_augmented_more,"(76+) no Theme, no Style, General",0.57,0.17,0.49
halfsum,"(76+) no Theme, no Style, General",0.38,0.03,0.19
instruct,"(76+) no Theme, no Style, General",0.34,0.03,0.14
k_lora,"(76+) no Theme, no Style, General",0.39,0.04,0.2
style_instruct,"(76+) no Theme, no Style, General",0.58,0.1,0.45
super_baseline,"(76+) no Theme, no Style, General",0.8,0.51,0.75
theme_instruct,"(76+) no Theme, no Style, General",0.47,0.07,0.32
agitational_augmented_more,"(1-25, 51-75) Style",0.58,0.24,0.42
halfsum,"(1-25, 51-75) Style",0.55,0.08,0.28
instruct,"(1-25, 51-75) Style",0.34,0.02,0.04
k_lora,"(1-25, 51-75) Style",0.49,0.02,0.2
style_instruct,"(1-25, 51-75) Style",0.55,0.18,0.32
super_baseline,"(1-25, 51-75) Style",0.68,0.18,0.5
theme_instruct,"(1-25, 51-75) Style",0.47,0.02,0.18
agitational_augmented_more,"(26-50, 76-100) no Style",0.57,0.16,0.5
halfsum,"(26-50, 76-100) no Style",0.46,0.04,0.28
instruct,"(26-50, 76-100) no Style",0.25,0.0,0.08
k_lora,"(26-50, 76-100) no Style",0.46,0.12,0.32
style_instruct,"(26-50, 76-100) no Style",0.56,0.14,0.46
super_baseline,"(26-50, 76-100) no Style",0.77,0.46,0.76
theme_instruct,"(26-50, 76-100) no Style",0.45,0.04,0.34
