column,group,normalized_rank,top2_rate,top3_rate
cheerful_augmented_more,Overall,0.62,0.36,0.66
halfsum,Overall,0.45,0.12,0.26
instruct,Overall,0.24,0.03,0.08
k_lora,Overall,0.47,0.19,0.42
style_instruct,Overall,0.3,0.06,0.17
super_baseline,Overall,0.89,0.85,0.92
theme_instruct,Overall,0.53,0.4,0.49
cheerful_augmented_more,"(1-25) Style, Theme",0.59,0.32,0.52
halfsum,"(1-25) Style, Theme",0.64,0.32,0.64
instruct,"(1-25) Style, Theme",0.19,0.0,0.0
k_lora,"(1-25) Style, Theme",0.54,0.2,0.48
style_instruct,"(1-25) Style, Theme",0.22,0.04,0.08
super_baseline,"(1-25) Style, Theme",0.88,0.88,0.92
theme_instruct,"(1-25) Style, Theme",0.43,0.24,0.36
cheerful_augmented_more,"(26-50) not Style, Theme",0.55,0.28,0.52
halfsum,"(26-50) not Style, Theme",0.44,0.0,0.08
instruct,"(26-50) not Style, Theme",0.17,0.0,0.0
k_lora,"(26-50) not Style, Theme",0.67,0.44,0.76
style_instruct,"(26-50) not Style, Theme",0.09,0.0,0.0
super_baseline,"(26-50) not Style, Theme",0.85,0.76,0.92
theme_instruct,"(26-50) not Style, Theme",0.73,0.52,0.72
cheerful_augmented_more,"(51-75) Style, not Theme",0.68,0.52,0.8
halfsum,"(51-75) Style, not Theme",0.54,0.16,0.4
instruct,"(51-75) Style, not Theme",0.29,0.0,0.08
k_lora,"(51-75) Style, not Theme",0.51,0.16,0.44
style_instruct,"(51-75) Style, not Theme",0.39,0.16,0.2
super_baseline,"(51-75) Style, not Theme",0.94,0.92,0.96
theme_instruct,"(51-75) Style, not Theme",0.15,0.08,0.12
cheerful_augmented_more,"(76-100) not Style, not Theme",0.61,0.24,0.72
halfsum,"(76-100) not Style, not Theme",0.41,0.08,0.16
instruct,"(76-100) not Style, not Theme",0.17,0.04,0.04
k_lora,"(76-100) not Style, not Theme",0.47,0.16,0.4
style_instruct,"(76-100) not Style, not Theme",0.3,0.0,0.12
super_baseline,"(76-100) not Style, not Theme",0.83,0.76,0.84
theme_instruct,"(76-100) not Style, not Theme",0.71,0.72,0.72
cheerful_augmented_more,(101+) General,0.64,0.41,0.7
halfsum,(101+) General,0.33,0.07,0.11
instruct,(101+) General,0.31,0.07,0.18
k_lora,(101+) General,0.3,0.07,0.2
style_instruct,(101+) General,0.43,0.09,0.34
super_baseline,(101+) General,0.91,0.89,0.95
theme_instruct,(101+) General,0.58,0.41,0.5
cheerful_augmented_more,(1-50) Theme,0.57,0.3,0.52
halfsum,(1-50) Theme,0.54,0.16,0.36
instruct,(1-50) Theme,0.18,0.0,0.0
k_lora,(1-50) Theme,0.61,0.32,0.62
style_instruct,(1-50) Theme,0.16,0.02,0.04
super_baseline,(1-50) Theme,0.86,0.82,0.92
theme_instruct,(1-50) Theme,0.58,0.38,0.54
cheerful_augmented_more,(51+) no Theme,0.64,0.39,0.73
halfsum,(51+) no Theme,0.41,0.1,0.2
instruct,(51+) no Theme,0.27,0.04,0.12
k_lora,(51+) no Theme,0.4,0.12,0.32
style_instruct,(51+) no Theme,0.38,0.09,0.24
super_baseline,(51+) no Theme,0.9,0.86,0.93
theme_instruct,(51+) no Theme,0.5,0.4,0.46
cheerful_augmented_more,"(76+) no Theme, no Style, General",0.63,0.35,0.71
halfsum,"(76+) no Theme, no Style, General",0.36,0.07,0.13
instruct,"(76+) no Theme, no Style, General",0.26,0.06,0.13
k_lora,"(76+) no Theme, no Style, General",0.36,0.1,0.28
style_instruct,"(76+) no Theme, no Style, General",0.38,0.06,0.26
super_baseline,"(76+) no Theme, no Style, General",0.88,0.84,0.91
theme_instruct,"(76+) no Theme, no Style, General",0.63,0.52,0.58
cheerful_augmented_more,"(1-25, 51-75) Style",0.64,0.42,0.66
halfsum,"(1-25, 51-75) Style",0.59,0.24,0.52
instruct,"(1-25, 51-75) Style",0.24,0.0,0.04
k_lora,"(1-25, 51-75) Style",0.52,0.18,0.46
style_instruct,"(1-25, 51-75) Style",0.3,0.1,0.14
super_baseline,"(1-25, 51-75) Style",0.91,0.9,0.94
theme_instruct,"(1-25, 51-75) Style",0.29,0.16,0.24
cheerful_augmented_more,"(26-50, 76-100) no Style",0.58,0.26,0.62
halfsum,"(26-50, 76-100) no Style",0.43,0.04,0.12
instruct,"(26-50, 76-100) no Style",0.17,0.02,0.02
k_lora,"(26-50, 76-100) no Style",0.57,0.3,0.58
style_instruct,"(26-50, 76-100) no Style",0.2,0.0,0.06
super_baseline,"(26-50, 76-100) no Style",0.84,0.76,0.88
theme_instruct,"(26-50, 76-100) no Style",0.72,0.62,0.72
