column,group,mean_topic_rel,mean_style,mean_depth,mean_coherence,mean_score
cheerful_augmented_more,Overall,0.7569,0.4872,0.4073,0.4205,0.3969
halfsum,Overall,0.5764,0.5028,0.3128,0.3437,0.2993
instruct,Overall,0.4444,0.3406,0.1951,0.2542,0.1778
k_lora,Overall,0.3611,0.6524,0.1903,0.3465,0.2198
style_instruct,Overall,0.7222,0.3368,0.4267,0.3326,0.3192
super_baseline,Overall,0.8889,0.776,0.467,0.651,0.5964
theme_instruct,Overall,0.4722,0.7476,0.1844,0.3684,0.2916
cheerful_augmented_more,"(1-25) Style, Theme",0.88,0.62,0.454,0.55,0.5267
halfsum,"(1-25) Style, Theme",1.0,0.652,0.522,0.66,0.6113
instruct,"(1-25) Style, Theme",0.72,0.464,0.276,0.404,0.3267
k_lora,"(1-25) Style, Theme",0.56,0.73,0.304,0.518,0.3613
style_instruct,"(1-25) Style, Theme",0.96,0.466,0.51,0.528,0.4853
super_baseline,"(1-25) Style, Theme",0.96,0.822,0.502,0.72,0.6707
theme_instruct,"(1-25) Style, Theme",0.84,0.814,0.298,0.612,0.5307
cheerful_augmented_more,"(26-50) not Style, Theme",0.8,0.492,0.432,0.456,0.4147
halfsum,"(26-50) not Style, Theme",0.96,0.356,0.536,0.44,0.4387
instruct,"(26-50) not Style, Theme",0.72,0.284,0.348,0.316,0.272
k_lora,"(26-50) not Style, Theme",0.84,0.686,0.41,0.616,0.5067
style_instruct,"(26-50) not Style, Theme",0.96,0.26,0.584,0.36,0.3973
super_baseline,"(26-50) not Style, Theme",0.96,0.784,0.51,0.7,0.6447
theme_instruct,"(26-50) not Style, Theme",0.84,0.764,0.368,0.648,0.5227
cheerful_augmented_more,"(51-75) Style, not Theme",0.64,0.478,0.362,0.378,0.33
halfsum,"(51-75) Style, not Theme",0.24,0.67,0.11,0.252,0.1467
instruct,"(51-75) Style, not Theme",0.24,0.36,0.108,0.184,0.096
k_lora,"(51-75) Style, not Theme",0.12,0.688,0.058,0.234,0.0733
style_instruct,"(51-75) Style, not Theme",0.32,0.418,0.196,0.252,0.1467
super_baseline,"(51-75) Style, not Theme",0.76,0.806,0.436,0.598,0.5307
theme_instruct,"(51-75) Style, not Theme",0.0,0.73,0.0,0.02,0.0
cheerful_augmented_more,"(76-100) not Style, not Theme",0.76,0.468,0.424,0.392,0.392
halfsum,"(76-100) not Style, not Theme",0.48,0.396,0.288,0.296,0.2187
instruct,"(76-100) not Style, not Theme",0.36,0.302,0.14,0.204,0.1253
k_lora,"(76-100) not Style, not Theme",0.24,0.64,0.156,0.344,0.14
style_instruct,"(76-100) not Style, not Theme",0.6,0.288,0.352,0.272,0.256
super_baseline,"(76-100) not Style, not Theme",0.92,0.746,0.492,0.664,0.61
theme_instruct,"(76-100) not Style, not Theme",0.4,0.738,0.132,0.304,0.2447
cheerful_augmented_more,(101+) General,0.7273,0.425,0.383,0.367,0.3538
halfsum,(101+) General,0.3636,0.467,0.1966,0.1886,0.1754
instruct,(101+) General,0.2955,0.3136,0.1432,0.2023,0.1159
k_lora,(101+) General,0.1818,0.5761,0.0955,0.1614,0.1049
style_instruct,(101+) General,0.75,0.2886,0.4636,0.2864,0.3144
super_baseline,(101+) General,0.8636,0.7455,0.4261,0.6068,0.5564
theme_instruct,(101+) General,0.3636,0.7159,0.15,0.3057,0.2167
cheerful_augmented_more,(1-50) Theme,0.84,0.556,0.443,0.503,0.4707
halfsum,(1-50) Theme,0.98,0.504,0.529,0.55,0.525
instruct,(1-50) Theme,0.72,0.374,0.312,0.36,0.2993
k_lora,(1-50) Theme,0.7,0.708,0.357,0.567,0.434
style_instruct,(1-50) Theme,0.96,0.363,0.547,0.444,0.4413
super_baseline,(1-50) Theme,0.96,0.803,0.506,0.71,0.6577
theme_instruct,(1-50) Theme,0.84,0.789,0.333,0.63,0.5267
cheerful_augmented_more,(51+) no Theme,0.7128,0.4505,0.3883,0.3766,0.3576
halfsum,(51+) no Theme,0.3617,0.5021,0.1979,0.234,0.1793
instruct,(51+) no Theme,0.2979,0.3229,0.133,0.1979,0.1131
k_lora,(51+) no Theme,0.1809,0.6229,0.1016,0.2293,0.1059
style_instruct,(51+) no Theme,0.5957,0.3229,0.3628,0.2734,0.2543
super_baseline,(51+) no Theme,0.8511,0.7617,0.4463,0.6197,0.5638
theme_instruct,(51+) no Theme,0.2766,0.7255,0.1053,0.2293,0.1665
cheerful_augmented_more,"(76+) no Theme, no Style, General",0.7391,0.4406,0.3978,0.3761,0.3676
halfsum,"(76+) no Theme, no Style, General",0.4058,0.4413,0.2297,0.2275,0.1911
instruct,"(76+) no Theme, no Style, General",0.3188,0.3094,0.142,0.2029,0.1193
k_lora,"(76+) no Theme, no Style, General",0.2029,0.5993,0.1174,0.2275,0.1176
style_instruct,"(76+) no Theme, no Style, General",0.6957,0.2884,0.4232,0.2812,0.2932
super_baseline,"(76+) no Theme, no Style, General",0.8841,0.7457,0.45,0.6275,0.5758
