column,group,normalized_rank,top2_rate,top3_rate
halfsum,Overall,0.57,0.27,0.54
instruct,Overall,0.32,0.05,0.2
k_lora,Overall,0.65,0.55,0.64
reflective_augmented_more,Overall,0.43,0.2,0.31
style_instruct,Overall,0.53,0.19,0.38
super_baseline,Overall,0.78,0.64,0.78
theme_instruct,Overall,0.22,0.1,0.14
halfsum,"(1-25) Style, Theme",0.83,0.68,0.92
instruct,"(1-25) Style, Theme",0.27,0.04,0.12
k_lora,"(1-25) Style, Theme",0.92,1.0,1.0
reflective_augmented_more,"(1-25) Style, Theme",0.27,0.0,0.04
style_instruct,"(1-25) Style, Theme",0.43,0.0,0.12
super_baseline,"(1-25) Style, Theme",0.65,0.28,0.8
theme_instruct,"(1-25) Style, Theme",0.13,0.0,0.0
halfsum,"(26-50) not Style, Theme",0.69,0.32,0.8
instruct,"(26-50) not Style, Theme",0.23,0.04,0.08
k_lora,"(26-50) not Style, Theme",0.72,0.64,0.8
reflective_augmented_more,"(26-50) not Style, Theme",0.29,0.16,0.2
style_instruct,"(26-50) not Style, Theme",0.51,0.08,0.2
super_baseline,"(26-50) not Style, Theme",0.71,0.56,0.64
theme_instruct,"(26-50) not Style, Theme",0.35,0.2,0.28
halfsum,"(51-75) Style, not Theme",0.43,0.08,0.24
instruct,"(51-75) Style, not Theme",0.35,0.04,0.28
k_lora,"(51-75) Style, not Theme",0.89,0.88,1.0
reflective_augmented_more,"(51-75) Style, not Theme",0.41,0.12,0.16
style_instruct,"(51-75) Style, not Theme",0.5,0.12,0.4
super_baseline,"(51-75) Style, not Theme",0.81,0.72,0.84
theme_instruct,"(51-75) Style, not Theme",0.1,0.04,0.08
halfsum,"(76-100) not Style, not Theme",0.57,0.24,0.52
instruct,"(76-100) not Style, not Theme",0.29,0.0,0.12
k_lora,"(76-100) not Style, not Theme",0.51,0.24,0.4
reflective_augmented_more,"(76-100) not Style, not Theme",0.46,0.28,0.44
style_instruct,"(76-100) not Style, not Theme",0.58,0.32,0.56
super_baseline,"(76-100) not Style, not Theme",0.85,0.8,0.8
theme_instruct,"(76-100) not Style, not Theme",0.24,0.12,0.16
halfsum,(101+) General,0.44,0.14,0.36
instruct,(101+) General,0.41,0.09,0.32
k_lora,(101+) General,0.41,0.23,0.27
reflective_augmented_more,(101+) General,0.59,0.34,0.55
style_instruct,(101+) General,0.59,0.32,0.52
super_baseline,(101+) General,0.82,0.75,0.82
theme_instruct,(101+) General,0.25,0.14,0.16
halfsum,(1-50) Theme,0.76,0.5,0.86
instruct,(1-50) Theme,0.25,0.04,0.1
k_lora,(1-50) Theme,0.82,0.82,0.9
reflective_augmented_more,(1-50) Theme,0.28,0.08,0.12
style_instruct,(1-50) Theme,0.47,0.04,0.16
super_baseline,(1-50) Theme,0.68,0.42,0.72
theme_instruct,(1-50) Theme,0.24,0.1,0.14
halfsum,(51+) no Theme,0.47,0.15,0.37
instruct,(51+) no Theme,0.36,0.05,0.26
k_lora,(51+) no Theme,0.56,0.4,0.5
reflective_augmented_more,(51+) no Theme,0.51,0.27,0.41
style_instruct,(51+) no Theme,0.56,0.27,0.5
super_baseline,(51+) no Theme,0.83,0.76,0.82
theme_instruct,(51+) no Theme,0.21,0.11,0.14
halfsum,"(76+) no Theme, no Style, General",0.49,0.17,0.42
instruct,"(76+) no Theme, no Style, General",0.36,0.06,0.25
k_lora,"(76+) no Theme, no Style, General",0.44,0.23,0.32
reflective_augmented_more,"(76+) no Theme, no Style, General",0.54,0.32,0.51
style_instruct,"(76+) no Theme, no Style, General",0.58,0.32,0.54
super_baseline,"(76+) no Theme, no Style, General",0.83,0.77,0.81
theme_instruct,"(76+) no Theme, no Style, General",0.24,0.13,0.16
halfsum,"(1-25, 51-75) Style",0.63,0.38,0.58
instruct,"(1-25, 51-75) Style",0.31,0.04,0.2
k_lora,"(1-25, 51-75) Style",0.91,0.94,1.0
reflective_augmented_more,"(1-25, 51-75) Style",0.34,0.06,0.1
style_instruct,"(1-25, 51-75) Style",0.46,0.06,0.26
super_baseline,"(1-25, 51-75) Style",0.73,0.5,0.82
theme_instruct,"(1-25, 51-75) Style",0.11,0.02,0.04
halfsum,"(26-50, 76-100) no Style",0.63,0.28,0.66
instruct,"(26-50, 76-100) no Style",0.26,0.02,0.1
k_lora,"(26-50, 76-100) no Style",0.62,0.44,0.6
reflective_augmented_more,"(26-50, 76-100) no Style",0.37,0.22,0.32
style_instruct,"(26-50, 76-100) no Style",0.54,0.2,0.38
super_baseline,"(26-50, 76-100) no Style",0.78,0.68,0.72
theme_instruct,"(26-50, 76-100) no Style",0.3,0.16,0.22
