column,group,mean_topic_rel,mean_style,mean_depth,mean_coherence,mean_score
halfsum,Overall,0.5417,0.4983,0.3358,0.3601,0.3103
instruct,Overall,0.5,0.4385,0.2233,0.2948,0.2432
k_lora,Overall,0.6181,0.6194,0.3701,0.4698,0.4175
reflective_augmented_more,Overall,0.7847,0.4979,0.4538,0.4809,0.4407
style_instruct,Overall,0.7639,0.4979,0.467,0.4979,0.4255
super_baseline,Overall,0.8819,0.6924,0.5604,0.6785,0.6069
theme_instruct,Overall,0.3333,0.5111,0.183,0.2722,0.194
halfsum,"(1-25) Style, Theme",1.0,0.662,0.67,0.73,0.6873
instruct,"(1-25) Style, Theme",0.72,0.526,0.308,0.446,0.3827
k_lora,"(1-25) Style, Theme",1.0,0.8,0.634,0.786,0.74
reflective_augmented_more,"(1-25) Style, Theme",1.0,0.626,0.572,0.646,0.6147
style_instruct,"(1-25) Style, Theme",1.0,0.644,0.596,0.694,0.6447
super_baseline,"(1-25) Style, Theme",1.0,0.798,0.634,0.786,0.7393
theme_instruct,"(1-25) Style, Theme",0.6,0.596,0.352,0.476,0.3787
halfsum,"(26-50) not Style, Theme",0.96,0.42,0.564,0.512,0.4867
instruct,"(26-50) not Style, Theme",0.72,0.37,0.318,0.366,0.3127
k_lora,"(26-50) not Style, Theme",0.88,0.576,0.528,0.608,0.548
reflective_augmented_more,"(26-50) not Style, Theme",0.76,0.42,0.432,0.424,0.388
style_instruct,"(26-50) not Style, Theme",0.96,0.368,0.528,0.46,0.4413
super_baseline,"(26-50) not Style, Theme",0.96,0.594,0.596,0.652,0.5967
theme_instruct,"(26-50) not Style, Theme",0.72,0.502,0.386,0.452,0.3893
halfsum,"(51-75) Style, not Theme",0.12,0.582,0.1,0.204,0.0787
instruct,"(51-75) Style, not Theme",0.32,0.51,0.138,0.204,0.1747
k_lora,"(51-75) Style, not Theme",0.8,0.722,0.496,0.648,0.5687
reflective_augmented_more,"(51-75) Style, not Theme",0.8,0.528,0.444,0.498,0.45
style_instruct,"(51-75) Style, not Theme",0.48,0.62,0.304,0.452,0.31
super_baseline,"(51-75) Style, not Theme",0.8,0.728,0.5,0.652,0.5727
theme_instruct,"(51-75) Style, not Theme",0.0,0.502,0.008,0.092,0.0
halfsum,"(76-100) not Style, not Theme",0.32,0.494,0.2,0.248,0.1813
instruct,"(76-100) not Style, not Theme",0.32,0.436,0.162,0.204,0.1627
k_lora,"(76-100) not Style, not Theme",0.4,0.576,0.208,0.332,0.2453
reflective_augmented_more,"(76-100) not Style, not Theme",0.76,0.47,0.438,0.456,0.4067
style_instruct,"(76-100) not Style, not Theme",0.68,0.472,0.436,0.46,0.376
super_baseline,"(76-100) not Style, not Theme",0.88,0.716,0.58,0.712,0.63
theme_instruct,"(76-100) not Style, not Theme",0.32,0.544,0.172,0.308,0.188
halfsum,(101+) General,0.4091,0.4045,0.2273,0.2159,0.2008
instruct,(101+) General,0.4545,0.3886,0.2045,0.2716,0.2091
k_lora,(101+) General,0.2727,0.508,0.1511,0.1886,0.172
reflective_augmented_more,(101+) General,0.6818,0.4682,0.4136,0.4239,0.386
style_instruct,(101+) General,0.7273,0.4341,0.4693,0.4557,0.3856
super_baseline,(101+) General,0.8182,0.6545,0.5216,0.6284,0.5439
theme_instruct,(101+) General,0.1591,0.4545,0.0773,0.1364,0.0917
halfsum,(1-50) Theme,0.98,0.541,0.617,0.621,0.587
instruct,(1-50) Theme,0.72,0.448,0.313,0.406,0.3477
k_lora,(1-50) Theme,0.94,0.688,0.581,0.697,0.644
reflective_augmented_more,(1-50) Theme,0.88,0.523,0.502,0.535,0.5013
style_instruct,(1-50) Theme,0.98,0.506,0.562,0.577,0.543
super_baseline,(1-50) Theme,0.98,0.696,0.615,0.719,0.668
theme_instruct,(1-50) Theme,0.66,0.549,0.369,0.464,0.384
halfsum,(51+) no Theme,0.3085,0.4755,0.1862,0.2213,0.1631
instruct,(51+) no Theme,0.383,0.4335,0.1755,0.2356,0.1876
k_lora,(51+) no Theme,0.4468,0.583,0.258,0.3489,0.297
reflective_augmented_more,(51+) no Theme,0.734,0.4846,0.4282,0.4521,0.4085
style_instruct,(51+) no Theme,0.6489,0.4936,0.4165,0.4559,0.3629
super_baseline,(51+) no Theme,0.8298,0.6904,0.5314,0.6569,0.5745
theme_instruct,(51+) no Theme,0.1596,0.491,0.084,0.1702,0.0929
halfsum,"(76+) no Theme, no Style, General",0.3768,0.437,0.2174,0.2275,0.1937
instruct,"(76+) no Theme, no Style, General",0.4058,0.4058,0.1891,0.2471,0.1923
k_lora,"(76+) no Theme, no Style, General",0.3188,0.5326,0.1717,0.2406,0.1986
reflective_augmented_more,"(76+) no Theme, no Style, General",0.7101,0.4688,0.4225,0.4355,0.3935
style_instruct,"(76+) no Theme, no Style, General",0.7101,0.4478,0.4572,0.4572,0.3821
super_baseline,"(76+) no Theme, no Style, General",0.8406,0.6768,0.5428,0.6587,0.5751
theme_instruct,"(76+) no Theme, no Style, General",0.2174,0.487,0.1116,0.1986,0.1266
halfsum,"(1-25, 51-75) Style",0.56,0.622,0.385,0.467,0.383
instruct,"(1-25, 51-75) Style",0.52,0.518,0.223,0.325,0.2787
k_lora,"(1-25, 51-75) Style",0.9,0.761,0.565,0.717,0.6543
reflective_augmented_more,"(1-25, 51-75) Style",0.9,0.577,0.508,0.572,0.5323
style_instruct,"(1-25, 51-75) Style",0.74,0.632,0.45,0.573,0.4773
super_baseline,"(1-25, 51-75) Style",0.9,0.763,0.567,0.719,0.656
theme_instruct,"(1-25, 51-75) Style",0.3,0.549,0.18,0.284,0.1893
halfsum,"(26-50, 76-100) no Style",0.64,0.457,0.382,0.38,0.334
instruct,"(26-50, 76-100) no Style",0.52,0.403,0.24,0.285,0.2377
k_lora,"(26-50, 76-100) no Style",0.64,0.576,0.368,0.47,0.3967
reflective_augmented_more,"(26-50, 76-100) no Style",0.76,0.445,0.435,0.44,0.3973
style_instruct,"(26-50, 76-100) no Style",0.82,0.42,0.482,0.46,0.4087
super_baseline,"(26-50, 76-100) no Style",0.92,0.655,0.588,0.682,0.6133
