column,group,normalized_rank,top2_rate,top3_rate
halfsum,Overall,0.4,0.11,0.22
instruct,Overall,0.25,0.03,0.14
k_lora,Overall,0.61,0.35,0.6
sad_augmented_more,Overall,0.62,0.43,0.59
style_instruct,Overall,0.23,0.01,0.04
super_baseline,Overall,0.88,0.81,0.94
theme_instruct,Overall,0.5,0.25,0.48
halfsum,"(1-25) Style, Theme",0.74,0.6,0.72
instruct,"(1-25) Style, Theme",0.17,0.0,0.0
k_lora,"(1-25) Style, Theme",0.81,0.68,0.96
sad_augmented_more,"(1-25) Style, Theme",0.39,0.16,0.2
style_instruct,"(1-25) Style, Theme",0.21,0.0,0.04
super_baseline,"(1-25) Style, Theme",0.75,0.48,0.8
theme_instruct,"(1-25) Style, Theme",0.43,0.08,0.28
halfsum,"(26-50) not Style, Theme",0.41,0.0,0.0
instruct,"(26-50) not Style, Theme",0.11,0.0,0.0
k_lora,"(26-50) not Style, Theme",0.75,0.52,0.92
sad_augmented_more,"(26-50) not Style, Theme",0.52,0.28,0.4
style_instruct,"(26-50) not Style, Theme",0.18,0.0,0.0
super_baseline,"(26-50) not Style, Theme",0.91,0.84,0.96
theme_instruct,"(26-50) not Style, Theme",0.63,0.36,0.72
halfsum,"(51-75) Style, not Theme",0.28,0.0,0.04
instruct,"(51-75) Style, not Theme",0.39,0.08,0.28
k_lora,"(51-75) Style, not Theme",0.59,0.24,0.68
sad_augmented_more,"(51-75) Style, not Theme",0.76,0.64,0.76
style_instruct,"(51-75) Style, not Theme",0.29,0.04,0.08
super_baseline,"(51-75) Style, not Theme",0.88,0.84,0.92
theme_instruct,"(51-75) Style, not Theme",0.32,0.16,0.24
halfsum,"(76-100) not Style, not Theme",0.39,0.0,0.28
instruct,"(76-100) not Style, not Theme",0.26,0.08,0.16
k_lora,"(76-100) not Style, not Theme",0.52,0.2,0.36
sad_augmented_more,"(76-100) not Style, not Theme",0.63,0.44,0.6
style_instruct,"(76-100) not Style, not Theme",0.25,0.0,0.08
super_baseline,"(76-100) not Style, not Theme",0.95,0.92,1.0
theme_instruct,"(76-100) not Style, not Theme",0.51,0.36,0.52
halfsum,(101+) General,0.29,0.02,0.11
instruct,(101+) General,0.3,0.02,0.2
k_lora,(101+) General,0.47,0.2,0.3
sad_augmented_more,(101+) General,0.74,0.55,0.82
style_instruct,(101+) General,0.23,0.02,0.02
super_baseline,(101+) General,0.91,0.91,0.98
theme_instruct,(101+) General,0.55,0.27,0.57
halfsum,(1-50) Theme,0.57,0.3,0.36
instruct,(1-50) Theme,0.14,0.0,0.0
k_lora,(1-50) Theme,0.78,0.6,0.94
sad_augmented_more,(1-50) Theme,0.45,0.22,0.3
style_instruct,(1-50) Theme,0.2,0.0,0.02
super_baseline,(1-50) Theme,0.83,0.66,0.88
theme_instruct,(1-50) Theme,0.53,0.22,0.5
halfsum,(51+) no Theme,0.31,0.01,0.14
instruct,(51+) no Theme,0.31,0.05,0.21
k_lora,(51+) no Theme,0.51,0.21,0.41
sad_augmented_more,(51+) no Theme,0.72,0.54,0.74
style_instruct,(51+) no Theme,0.25,0.02,0.05
super_baseline,(51+) no Theme,0.91,0.89,0.97
theme_instruct,(51+) no Theme,0.48,0.27,0.47
halfsum,"(76+) no Theme, no Style, General",0.33,0.01,0.17
instruct,"(76+) no Theme, no Style, General",0.29,0.04,0.19
k_lora,"(76+) no Theme, no Style, General",0.49,0.2,0.32
sad_augmented_more,"(76+) no Theme, no Style, General",0.7,0.51,0.74
style_instruct,"(76+) no Theme, no Style, General",0.24,0.01,0.04
super_baseline,"(76+) no Theme, no Style, General",0.92,0.91,0.99
theme_instruct,"(76+) no Theme, no Style, General",0.54,0.3,0.55
halfsum,"(1-25, 51-75) Style",0.51,0.3,0.38
instruct,"(1-25, 51-75) Style",0.28,0.04,0.14
k_lora,"(1-25, 51-75) Style",0.7,0.46,0.82
sad_augmented_more,"(1-25, 51-75) Style",0.57,0.4,0.48
style_instruct,"(1-25, 51-75) Style",0.25,0.02,0.06
super_baseline,"(1-25, 51-75) Style",0.82,0.66,0.86
theme_instruct,"(1-25, 51-75) Style",0.37,0.12,0.26
halfsum,"(26-50, 76-100) no Style",0.4,0.0,0.14
instruct,"(26-50, 76-100) no Style",0.19,0.04,0.08
k_lora,"(26-50, 76-100) no Style",0.63,0.36,0.64
sad_augmented_more,"(26-50, 76-100) no Style",0.57,0.36,0.5
style_instruct,"(26-50, 76-100) no Style",0.21,0.0,0.04
super_baseline,"(26-50, 76-100) no Style",0.93,0.88,0.98
theme_instruct,"(26-50, 76-100) no Style",0.57,0.36,0.62
