column,group,mean_topic_rel,mean_style,mean_depth,mean_coherence,mean_score
halfsum,Overall,0.5139,0.4434,0.3024,0.2958,0.2728
instruct,Overall,0.4653,0.4153,0.199,0.2528,0.2188
k_lora,Overall,0.4792,0.6924,0.2819,0.4688,0.3351
sad_augmented_more,Overall,0.9097,0.7253,0.5521,0.6642,0.6237
style_instruct,Overall,0.75,0.4288,0.4441,0.3983,0.3775
super_baseline,Overall,0.9028,0.801,0.5774,0.7497,0.6687
theme_instruct,Overall,0.6944,0.7299,0.374,0.5903,0.4703
halfsum,"(1-25) Style, Theme",0.96,0.726,0.592,0.736,0.6687
instruct,"(1-25) Style, Theme",0.88,0.624,0.374,0.534,0.496
k_lora,"(1-25) Style, Theme",1.0,0.832,0.586,0.786,0.7347
sad_augmented_more,"(1-25) Style, Theme",1.0,0.786,0.616,0.756,0.7193
style_instruct,"(1-25) Style, Theme",0.96,0.658,0.576,0.65,0.6187
super_baseline,"(1-25) Style, Theme",1.0,0.834,0.646,0.802,0.7607
theme_instruct,"(1-25) Style, Theme",1.0,0.81,0.552,0.758,0.7067
halfsum,"(26-50) not Style, Theme",1.0,0.32,0.564,0.424,0.436
instruct,"(26-50) not Style, Theme",0.56,0.346,0.246,0.246,0.222
k_lora,"(26-50) not Style, Theme",0.96,0.722,0.542,0.71,0.6513
sad_augmented_more,"(26-50) not Style, Theme",0.96,0.702,0.542,0.662,0.6313
style_instruct,"(26-50) not Style, Theme",1.0,0.302,0.566,0.41,0.426
super_baseline,"(26-50) not Style, Theme",0.96,0.794,0.582,0.746,0.694
theme_instruct,"(26-50) not Style, Theme",0.96,0.76,0.53,0.714,0.652
halfsum,"(51-75) Style, not Theme",0.0,0.528,0.0,0.012,0.0
instruct,"(51-75) Style, not Theme",0.24,0.398,0.114,0.15,0.1067
k_lora,"(51-75) Style, not Theme",0.12,0.688,0.058,0.268,0.0813
sad_augmented_more,"(51-75) Style, not Theme",0.8,0.74,0.514,0.624,0.5767
style_instruct,"(51-75) Style, not Theme",0.32,0.51,0.182,0.276,0.1787
super_baseline,"(51-75) Style, not Theme",0.68,0.784,0.438,0.698,0.4987
theme_instruct,"(51-75) Style, not Theme",0.2,0.68,0.112,0.34,0.1453
halfsum,"(76-100) not Style, not Theme",0.52,0.34,0.312,0.272,0.2493
instruct,"(76-100) not Style, not Theme",0.44,0.388,0.192,0.234,0.198
k_lora,"(76-100) not Style, not Theme",0.24,0.61,0.158,0.328,0.1547
sad_augmented_more,"(76-100) not Style, not Theme",0.92,0.688,0.554,0.628,0.6067
style_instruct,"(76-100) not Style, not Theme",0.88,0.318,0.518,0.39,0.3927
super_baseline,"(76-100) not Style, not Theme",0.88,0.802,0.598,0.742,0.6707
theme_instruct,"(76-100) not Style, not Theme",0.56,0.7,0.318,0.534,0.3833
halfsum,(101+) General,0.2727,0.3636,0.1557,0.1477,0.1235
instruct,(101+) General,0.3182,0.3614,0.125,0.1659,0.1348
k_lora,(101+) General,0.25,0.6455,0.1591,0.3455,0.175
sad_augmented_more,(101+) General,0.8864,0.717,0.542,0.6568,0.6015
style_instruct,(101+) General,0.6591,0.3875,0.4068,0.3227,0.3174
super_baseline,(101+) General,0.9545,0.7955,0.6034,0.7557,0.6977
theme_instruct,(101+) General,0.7273,0.7125,0.3648,0.5989,0.4667
halfsum,(1-50) Theme,0.98,0.523,0.578,0.58,0.5523
instruct,(1-50) Theme,0.72,0.485,0.31,0.39,0.359
k_lora,(1-50) Theme,0.98,0.777,0.564,0.748,0.693
sad_augmented_more,(1-50) Theme,0.98,0.744,0.579,0.709,0.6753
style_instruct,(1-50) Theme,0.98,0.48,0.571,0.53,0.5223
super_baseline,(1-50) Theme,0.98,0.814,0.614,0.774,0.7273
theme_instruct,(1-50) Theme,0.98,0.785,0.541,0.736,0.6793
halfsum,(51+) no Theme,0.266,0.4011,0.1559,0.1447,0.1241
instruct,(51+) no Theme,0.3298,0.3782,0.1399,0.1798,0.1441
k_lora,(51+) no Theme,0.2128,0.6473,0.1319,0.3202,0.1447
sad_augmented_more,(51+) no Theme,0.8723,0.7154,0.5378,0.6404,0.5963
style_instruct,(51+) no Theme,0.6277,0.4016,0.3766,0.3282,0.3005
super_baseline,(51+) no Theme,0.8617,0.7941,0.558,0.7367,0.6376
theme_instruct,(51+) no Theme,0.5426,0.7005,0.2851,0.5128,0.359
halfsum,"(76+) no Theme, no Style, General",0.3623,0.3551,0.2123,0.1928,0.1691
instruct,"(76+) no Theme, no Style, General",0.3623,0.371,0.1493,0.1906,0.1577
k_lora,"(76+) no Theme, no Style, General",0.2464,0.6326,0.1587,0.3391,0.1676
sad_augmented_more,"(76+) no Theme, no Style, General",0.8986,0.7065,0.5464,0.6464,0.6034
style_instruct,"(76+) no Theme, no Style, General",0.7391,0.3623,0.4471,0.3471,0.3447
super_baseline,"(76+) no Theme, no Style, General",0.9275,0.7978,0.6014,0.7507,0.6879
theme_instruct,"(76+) no Theme, no Style, General",0.6667,0.708,0.3478,0.5754,0.4365
halfsum,"(1-25, 51-75) Style",0.48,0.627,0.296,0.374,0.3343
instruct,"(1-25, 51-75) Style",0.56,0.511,0.244,0.342,0.3013
k_lora,"(1-25, 51-75) Style",0.56,0.76,0.322,0.527,0.408
sad_augmented_more,"(1-25, 51-75) Style",0.9,0.763,0.565,0.69,0.648
style_instruct,"(1-25, 51-75) Style",0.64,0.584,0.379,0.463,0.3987
super_baseline,"(1-25, 51-75) Style",0.84,0.809,0.542,0.75,0.6297
theme_instruct,"(1-25, 51-75) Style",0.6,0.745,0.332,0.549,0.426
halfsum,"(26-50, 76-100) no Style",0.76,0.33,0.438,0.348,0.3427
instruct,"(26-50, 76-100) no Style",0.5,0.367,0.219,0.24,0.21
k_lora,"(26-50, 76-100) no Style",0.6,0.666,0.35,0.519,0.403
sad_augmented_more,"(26-50, 76-100) no Style",0.94,0.695,0.548,0.645,0.619
style_instruct,"(26-50, 76-100) no Style",0.94,0.31,0.542,0.4,0.4093
super_baseline,"(26-50, 76-100) no Style",0.92,0.798,0.59,0.744,0.6823
theme_instruct,"(26-50, 76-100) no Style",0.76,0.73,0.424,0.624,0.5177
