column,group,normalized_rank,top2_rate,top3_rate
L::instruct,Overall,0.38,0.03,0.15
L::sad_augmented_more,Overall,0.74,0.54,0.75
L::style_instruct,Overall,0.28,0.01,0.04
L::theme_instruct,Overall,0.62,0.28,0.54
Q::instruct,Overall,0.9,0.78,0.92
Q::ours_augmented,Overall,0.33,0.08,0.15
Q::style_instruct,Overall,0.25,0.04,0.08
Q::theme_instruct,Overall,0.5,0.24,0.38
L::instruct,"(1-25) Style, Theme",0.43,0.04,0.2
L::sad_augmented_more,"(1-25) Style, Theme",0.68,0.6,0.64
L::style_instruct,"(1-25) Style, Theme",0.31,0.04,0.12
L::theme_instruct,"(1-25) Style, Theme",0.59,0.08,0.6
Q::instruct,"(1-25) Style, Theme",0.95,0.96,1.0
Q::ours_augmented,"(1-25) Style, Theme",0.25,0.04,0.12
Q::style_instruct,"(1-25) Style, Theme",0.5,0.16,0.24
Q::theme_instruct,"(1-25) Style, Theme",0.28,0.08,0.08
L::instruct,"(26-50) not Style, Theme",0.33,0.04,0.04
L::sad_augmented_more,"(26-50) not Style, Theme",0.75,0.48,0.72
L::style_instruct,"(26-50) not Style, Theme",0.26,0.0,0.0
L::theme_instruct,"(26-50) not Style, Theme",0.77,0.52,0.88
Q::instruct,"(26-50) not Style, Theme",0.85,0.6,0.92
Q::ours_augmented,"(26-50) not Style, Theme",0.41,0.12,0.16
Q::style_instruct,"(26-50) not Style, Theme",0.23,0.0,0.0
Q::theme_instruct,"(26-50) not Style, Theme",0.41,0.24,0.28
L::instruct,"(51-75) Style, not Theme",0.44,0.04,0.16
L::sad_augmented_more,"(51-75) Style, not Theme",0.79,0.52,0.88
L::style_instruct,"(51-75) Style, not Theme",0.3,0.04,0.08
L::theme_instruct,"(51-75) Style, not Theme",0.47,0.16,0.24
Q::instruct,"(51-75) Style, not Theme",0.9,0.8,0.92
Q::ours_augmented,"(51-75) Style, not Theme",0.29,0.12,0.16
Q::style_instruct,"(51-75) Style, not Theme",0.27,0.04,0.12
Q::theme_instruct,"(51-75) Style, not Theme",0.55,0.28,0.44
L::instruct,"(76-100) not Style, not Theme",0.36,0.04,0.16
L::sad_augmented_more,"(76-100) not Style, not Theme",0.7,0.4,0.68
L::style_instruct,"(76-100) not Style, not Theme",0.26,0.0,0.0
L::theme_instruct,"(76-100) not Style, not Theme",0.62,0.36,0.48
Q::instruct,"(76-100) not Style, not Theme",0.86,0.72,0.84
Q::ours_augmented,"(76-100) not Style, not Theme",0.32,0.04,0.04
Q::style_instruct,"(76-100) not Style, not Theme",0.21,0.04,0.08
Q::theme_instruct,"(76-100) not Style, not Theme",0.68,0.4,0.72
L::instruct,(101+) General,0.37,0.0,0.16
L::sad_augmented_more,(101+) General,0.77,0.64,0.8
L::style_instruct,(101+) General,0.26,0.0,0.02
L::theme_instruct,(101+) General,0.63,0.27,0.52
Q::instruct,(101+) General,0.92,0.8,0.91
Q::ours_augmented,(101+) General,0.37,0.07,0.2
Q::style_instruct,(101+) General,0.15,0.0,0.02
Q::theme_instruct,(101+) General,0.53,0.23,0.36
L::instruct,(1-50) Theme,0.38,0.04,0.12
L::sad_augmented_more,(1-50) Theme,0.72,0.54,0.68
L::style_instruct,(1-50) Theme,0.29,0.02,0.06
L::theme_instruct,(1-50) Theme,0.68,0.3,0.74
Q::instruct,(1-50) Theme,0.9,0.78,0.96
Q::ours_augmented,(1-50) Theme,0.33,0.08,0.14
Q::style_instruct,(1-50) Theme,0.36,0.08,0.12
Q::theme_instruct,(1-50) Theme,0.34,0.16,0.18
L::instruct,(51+) no Theme,0.38,0.02,0.16
L::sad_augmented_more,(51+) no Theme,0.76,0.54,0.79
L::style_instruct,(51+) no Theme,0.27,0.01,0.03
L::theme_instruct,(51+) no Theme,0.58,0.27,0.44
Q::instruct,(51+) no Theme,0.9,0.78,0.89
Q::ours_augmented,(51+) no Theme,0.34,0.07,0.15
Q::style_instruct,(51+) no Theme,0.19,0.02,0.06
Q::theme_instruct,(51+) no Theme,0.58,0.29,0.48
L::instruct,"(76+) no Theme, no Style, General",0.36,0.01,0.16
L::sad_augmented_more,"(76+) no Theme, no Style, General",0.75,0.55,0.75
L::style_instruct,"(76+) no Theme, no Style, General",0.26,0.0,0.01
L::theme_instruct,"(76+) no Theme, no Style, General",0.63,0.3,0.51
Q::instruct,"(76+) no Theme, no Style, General",0.9,0.77,0.88
Q::ours_augmented,"(76+) no Theme, no Style, General",0.35,0.06,0.14
Q::style_instruct,"(76+) no Theme, no Style, General",0.17,0.01,0.04
Q::theme_instruct,"(76+) no Theme, no Style, General",0.59,0.29,0.49
L::instruct,"(1-25, 51-75) Style",0.44,0.04,0.18
L::sad_augmented_more,"(1-25, 51-75) Style",0.73,0.56,0.76
L::style_instruct,"(1-25, 51-75) Style",0.31,0.04,0.1
L::theme_instruct,"(1-25, 51-75) Style",0.53,0.12,0.42
Q::instruct,"(1-25, 51-75) Style",0.92,0.88,0.96
Q::ours_augmented,"(1-25, 51-75) Style",0.27,0.08,0.14
Q::style_instruct,"(1-25, 51-75) Style",0.38,0.1,0.18
Q::theme_instruct,"(1-25, 51-75) Style",0.41,0.18,0.26
L::instruct,"(26-50, 76-100) no Style",0.35,0.04,0.1
