L::instruct_score,L::sad_augmented_more_score,L::style_instruct_score,L::theme_instruct_score,Q::instruct_score,Q::ours_augmented_score,Q::style_instruct_score,Q::theme_instruct_score
0.531,0.800,0.667,0.738,0.770,0.800,0.738,0.770
0.599,0.770,0.742,0.727,0.770,0.800,0.842,0.742
0.000,0.800,0.000,0.637,0.738,0.742,0.000,0.713
0.000,0.669,0.684,0.684,0.770,0.669,0.770,0.742
0.717,0.770,0.599,0.741,0.754,0.542,0.754,0.757
0.531,0.770,0.648,0.741,0.842,0.742,0.770,0.770
0.598,0.741,0.648,0.770,0.770,0.713,0.800,0.757
0.342,0.770,0.571,0.667,0.770,0.657,0.598,0.741
0.557,0.713,0.669,0.754,0.842,0.742,0.754,0.742
0.742,0.640,0.613,0.770,0.742,0.742,0.000,0.669
0.464,0.741,0.669,0.770,0.770,0.771,0.842,0.742
0.531,0.468,0.640,0.645,0.770,0.742,0.770,0.738
0.578,0.717,0.754,0.770,0.770,0.599,0.800,0.770
0.599,0.770,0.571,0.684,0.770,0.742,0.800,0.727
0.531,0.742,0.648,0.738,0.842,0.671,0.800,0.770
0.489,0.717,0.684,0.738,0.770,0.770,0.770,0.770
0.531,0.770,0.669,0.770,0.800,0.540,0.000,0.741
0.439,0.771,0.643,0.599,0.800,0.571,0.742,0.593
0.578,0.700,0.468,0.684,0.770,0.770,0.754,0.738
0.599,0.742,0.842,0.770,0.842,0.770,0.842,0.770
0.738,0.800,0.598,0.599,0.800,0.640,0.770,0.770
0.000,0.742,0.506,0.684,0.770,0.471,0.770,0.742
0.717,0.742,0.741,0.717,0.770,0.640,0.842,0.742
0.593,0.578,0.669,0.741,0.770,0.600,0.671,0.770
0.439,0.669,0.599,0.571,0.842,0.569,0.757,0.800
0.397,0.669,0.489,0.571,0.671,0.598,0.496,0.489
0.397,0.700,0.421,0.742,0.842,0.397,0.757,0.728
0.397,0.669,0.445,0.770,0.742,0.800,0.671,0.528
0.000,0.000,0.447,0.684,0.800,0.540,0.489,0.742
0.421,0.770,0.397,0.770,0.800,0.489,0.598,0.742
0.000,0.616,0.397,0.000,0.757,0.713,0.643,0.711
0.397,0.571,0.421,0.571,0.770,0.713,0.598,0.671
0.000,0.599,0.397,0.669,0.742,0.489,0.540,0.800
0.000,0.500,0.421,0.742,0.643,0.421,0.445,0.800
0.370,0.770,0.370,0.667,0.616,0.523,0.000,0.770
0.000,0.669,0.421,0.684,0.671,0.397,0.497,0.421
0.000,0.771,0.489,0.669,0.842,0.757,0.000,0.671
0.370,0.770,0.445,0.742,0.800,0.447,0.800,0.857
0.397,0.599,0.421,0.742,0.770,0.397,0.598,0.657
0.000,0.571,0.397,0.741,0.523,0.445,0.445,0.599
0.000,0.614,0.397,0.770,0.770,0.671,0.640,0.599
0.471,0.742,0.397,0.754,0.667,0.500,0.742,0.471
0.370,0.771,0.421,0.633,0.842,0.743,0.489,0.742
0.000,0.640,0.397,0.669,0.770,0.640,0.000,0.713
0.000,0.669,0.397,0.669,0.742,0.497,0.421,0.445
0.000,0.742,0.445,0.640,0.800,0.421,0.698,0.489
0.310,0.742,0.397,0.669,0.742,0.738,0.582,0.571
0.471,0.738,0.397,0.571,0.742,0.543,0.445,0.742
0.397,0.640,0.397,0.599,0.757,0.421,0.489,0.738
0.397,0.464,0.421,0.770,0.523,0.370,0.000,0.800
0.563,0.669,0.599,0.000,0.770,0.000,0.000,0.000
0.000,0.754,0.000,0.000,0.754,0.000,0.000,0.669
0.000,0.497,0.521,0.000,0.770,0.000,0.000,0.669
0.000,0.742,0.000,0.738,0.800,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.842,0.000,0.000,0.770
0.000,0.770,0.000,0.000,0.842,0.000,0.000,0.667
0.000,0.000,0.742,0.000,0.770,0.000,0.000,0.000
0.000,0.669,0.000,0.000,0.800,0.000,0.000,0.738
0.000,0.770,0.000,0.738,0.842,0.528,0.000,0.770
0.000,0.770,0.000,0.000,0.754,0.000,0.000,0.711
0.000,0.700,0.000,0.000,0.742,0.742,0.000,0.742
0.000,0.700,0.000,0.000,0.000,0.000,0.000,0.000
0.582,0.700,0.557,0.000,0.770,0.000,0.000,0.684
0.000,0.770,0.000,0.000,0.800,0.000,0.000,0.540
0.412,0.742,0.648,0.000,0.742,0.571,0.000,0.640
0.000,0.669,0.421,0.667,0.800,0.000,0.000,0.000
0.000,0.599,0.000,0.000,0.770,0.489,0.000,0.613
0.000,0.000,0.397,0.000,0.800,0.000,0.000,0.000
0.000,0.700,0.000,0.000,0.770,0.671,0.000,0.757
0.397,0.742,0.000,0.000,0.727,0.742,0.000,0.640
0.370,0.770,0.000,0.770,0.770,0.000,0.000,0.770
0.000,0.669,0.000,0.000,0.842,0.000,0.000,0.669
0.370,0.742,0.000,0.738,0.770,0.671,0.000,0.738
0.000,0.000,0.528,0.000,0.742,0.000,0.000,0.000
0.000,0.669,0.000,0.000,0.738,0.000,0.000,0.667
0.442,0.742,0.515,0.640,0.770,0.500,0.000,0.700
0.370,0.800,0.397,0.669,0.842,0.757,0.468,0.000
0.515,0.700,0.000,0.640,0.842,0.000,0.000,0.742
0.000,0.671,0.397,0.000,0.842,0.464,0.000,0.640
0.528,0.397,0.489,0.000,0.754,0.421,0.770,0.497
0.370,0.000,0.421,0.000,0.757,0.489,0.000,0.770
0.000,0.700,0.397,0.637,0.770,0.342,0.000,0.770
0.000,0.742,0.489,0.667,0.742,0.397,0.000,0.657
0.000,0.669,0.489,0.000,0.667,0.489,0.557,0.770
0.599,0.500,0.489,0.741,0.657,0.671,0.000,0.613
0.497,0.599,0.598,0.000,0.800,0.515,0.000,0.757
0.000,0.542,0.489,0.000,0.800,0.397,0.000,0.857
0.000,0.713,0.421,0.669,0.800,0.421,0.700,0.669
0.000,0.770,0.000,0.669,0.842,0.000,0.000,0.842
0.370,0.700,0.397,0.000,0.742,0.489,0.000,0.000
0.571,0.000,0.445,0.000,0.770,0.500,0.770,0.842
0.000,0.599,0.397,0.000,0.770,0.640,0.000,0.669
0.000,0.700,0.500,0.640,0.669,0.657,0.000,0.770
0.000,0.669,0.445,0.770,0.742,0.421,0.489,0.770
0.000,0.599,0.421,0.711,0.742,0.397,0.000,0.397
0.000,0.669,0.000,0.738,0.771,0.599,0.000,0.770
0.000,0.599,0.421,0.742,0.671,0.445,0.489,0.742
0.000,0.800,0.397,0.000,0.842,0.489,0.000,0.757
0.370,0.742,0.397,0.000,0.800,0.489,0.000,0.742
0.342,0.571,0.397,0.717,0.671,0.489,0.648,0.667
0.000,0.569,0.000,0.000,0.713,0.397,0.000,0.640
0.000,0.669,0.421,0.667,0.471,0.370,0.471,0.637
0.000,0.671,0.397,0.741,0.800,0.742,0.471,0.757
0.000,0.742,0.370,0.000,0.770,0.000,0.000,0.000
0.000,0.700,0.742,0.669,0.800,0.000,0.000,0.770
0.000,0.648,0.000,0.000,0.770,0.000,0.000,0.000
0.471,0.742,0.421,0.447,0.770,0.770,0.445,0.700
0.000,0.569,0.421,0.600,0.770,0.571,0.540,0.643
0.000,0.599,0.000,0.000,0.738,0.717,0.000,0.000
0.397,0.770,0.397,0.000,0.770,0.000,0.000,0.770
0.370,0.000,0.000,0.000,0.770,0.000,0.000,0.770
0.000,0.742,0.640,0.738,0.842,0.000,0.000,0.742
0.000,0.700,0.000,0.684,0.439,0.000,0.000,0.842
0.000,0.700,0.397,0.000,0.717,0.471,0.000,0.000
0.468,0.370,0.000,0.640,0.738,0.713,0.000,0.741
0.497,0.000,0.489,0.742,0.800,0.757,0.512,0.770
0.439,0.700,0.671,0.754,0.770,0.757,0.000,0.620
0.000,0.648,0.000,0.531,0.770,0.370,0.000,0.669
0.000,0.771,0.447,0.738,0.770,0.000,0.000,0.684
0.000,0.669,0.000,0.640,0.738,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.770,0.742,0.000,0.800
0.000,0.671,0.000,0.633,0.770,0.640,0.000,0.571
0.270,0.700,0.445,0.770,0.842,0.397,0.489,0.842
0.000,0.800,0.489,0.738,0.671,0.471,0.000,0.000
0.000,0.700,0.489,0.000,0.738,0.669,0.000,0.800
0.370,0.700,0.489,0.540,0.669,0.000,0.000,0.800
0.000,0.669,0.397,0.738,0.770,0.000,0.000,0.742
0.370,0.770,0.000,0.705,0.598,0.000,0.000,0.497
0.442,0.000,0.000,0.742,0.770,0.000,0.000,0.599
0.540,0.571,0.397,0.640,0.742,0.442,0.000,0.742
0.000,0.770,0.421,0.645,0.771,0.421,0.000,0.770
0.000,0.770,0.000,0.540,0.800,0.471,0.000,0.667
0.000,0.599,0.489,0.000,0.800,0.640,0.000,0.633
0.000,0.640,0.000,0.000,0.770,0.000,0.669,0.000
0.616,0.742,0.489,0.640,0.000,0.540,0.000,0.500
0.000,0.648,0.421,0.000,0.770,0.640,0.445,0.770
0.000,0.770,0.445,0.700,0.800,0.397,0.421,0.640
0.000,0.800,0.593,0.633,0.770,0.000,0.770,0.800
0.439,0.742,0.489,0.599,0.770,0.370,0.000,0.757
0.370,0.599,0.397,0.667,0.770,0.543,0.000,0.497
0.000,0.669,0.000,0.000,0.770,0.669,0.000,0.669
0.000,0.669,0.421,0.342,0.770,0.700,0.000,0.657
0.000,0.700,0.445,0.000,0.770,0.713,0.000,0.800
0.000,0.000,0.599,0.640,0.767,0.523,0.598,0.640
