column,group,normalized_rank,top1_rate,top3_rate
L::instruct,Overall,0.18,0.0,0.03
L::sad_augmented_more,Overall,0.65,0.06,0.6
L::style_instruct,Overall,0.31,0.0,0.06
L::theme_instruct,Overall,0.5,0.04,0.33
Q::instruct,Overall,0.89,0.52,0.92
Q::ours_augmented,Overall,0.43,0.01,0.25
Q::style_instruct,Overall,0.35,0.05,0.17
Q::theme_instruct,Overall,0.66,0.1,0.58
L::instruct,"(1-25) Style, Theme",0.1,0.0,0.04
L::sad_augmented_more,"(1-25) Style, Theme",0.54,0.08,0.36
L::style_instruct,"(1-25) Style, Theme",0.26,0.0,0.04
L::theme_instruct,"(1-25) Style, Theme",0.49,0.04,0.24
Q::instruct,"(1-25) Style, Theme",0.83,0.24,0.84
Q::ours_augmented,"(1-25) Style, Theme",0.45,0.0,0.32
Q::style_instruct,"(1-25) Style, Theme",0.69,0.24,0.68
Q::theme_instruct,"(1-25) Style, Theme",0.6,0.0,0.36
L::instruct,"(26-50) not Style, Theme",0.05,0.0,0.0
L::sad_augmented_more,"(26-50) not Style, Theme",0.64,0.0,0.52
L::style_instruct,"(26-50) not Style, Theme",0.19,0.0,0.0
L::theme_instruct,"(26-50) not Style, Theme",0.68,0.12,0.6
Q::instruct,"(26-50) not Style, Theme",0.88,0.52,0.88
Q::ours_augmented,"(26-50) not Style, Theme",0.46,0.04,0.32
Q::style_instruct,"(26-50) not Style, Theme",0.42,0.0,0.16
Q::theme_instruct,"(26-50) not Style, Theme",0.65,0.16,0.52
L::instruct,"(51-75) Style, not Theme",0.32,0.0,0.0
L::sad_augmented_more,"(51-75) Style, not Theme",0.74,0.08,0.76
L::style_instruct,"(51-75) Style, not Theme",0.4,0.0,0.24
L::theme_instruct,"(51-75) Style, not Theme",0.35,0.0,0.12
Q::instruct,"(51-75) Style, not Theme",0.94,0.72,0.96
Q::ours_augmented,"(51-75) Style, not Theme",0.37,0.0,0.08
Q::style_instruct,"(51-75) Style, not Theme",0.25,0.0,0.0
Q::theme_instruct,"(51-75) Style, not Theme",0.63,0.0,0.6
L::instruct,"(76-100) not Style, not Theme",0.19,0.0,0.04
L::sad_augmented_more,"(76-100) not Style, not Theme",0.65,0.0,0.64
L::style_instruct,"(76-100) not Style, not Theme",0.36,0.0,0.0
L::theme_instruct,"(76-100) not Style, not Theme",0.43,0.08,0.28
Q::instruct,"(76-100) not Style, not Theme",0.9,0.48,1.0
Q::ours_augmented,"(76-100) not Style, not Theme",0.43,0.0,0.2
Q::style_instruct,"(76-100) not Style, not Theme",0.26,0.04,0.12
Q::theme_instruct,"(76-100) not Style, not Theme",0.73,0.2,0.72
L::instruct,(101+) General,0.22,0.0,0.05
L::sad_augmented_more,(101+) General,0.68,0.11,0.66
L::style_instruct,(101+) General,0.33,0.0,0.05
L::theme_instruct,(101+) General,0.52,0.0,0.36
Q::instruct,(101+) General,0.89,0.59,0.91
Q::ours_augmented,(101+) General,0.43,0.0,0.3
Q::style_instruct,(101+) General,0.22,0.0,0.02
Q::theme_instruct,(101+) General,0.69,0.14,0.64
L::instruct,(1-50) Theme,0.08,0.0,0.02
L::sad_augmented_more,(1-50) Theme,0.59,0.04,0.44
L::style_instruct,(1-50) Theme,0.23,0.0,0.02
L::theme_instruct,(1-50) Theme,0.58,0.08,0.42
Q::instruct,(1-50) Theme,0.85,0.38,0.86
Q::ours_augmented,(1-50) Theme,0.45,0.02,0.32
Q::style_instruct,(1-50) Theme,0.56,0.12,0.42
Q::theme_instruct,(1-50) Theme,0.62,0.08,0.44
L::instruct,(51+) no Theme,0.24,0.0,0.03
L::sad_augmented_more,(51+) no Theme,0.69,0.07,0.68
L::style_instruct,(51+) no Theme,0.36,0.0,0.09
L::theme_instruct,(51+) no Theme,0.45,0.02,0.28
Q::instruct,(51+) no Theme,0.91,0.6,0.95
Q::ours_augmented,(51+) no Theme,0.41,0.0,0.21
Q::style_instruct,(51+) no Theme,0.24,0.01,0.04
Q::theme_instruct,(51+) no Theme,0.69,0.12,0.65
L::instruct,"(76+) no Theme, no Style, General",0.21,0.0,0.04
L::sad_augmented_more,"(76+) no Theme, no Style, General",0.67,0.07,0.65
L::style_instruct,"(76+) no Theme, no Style, General",0.34,0.0,0.03
L::theme_instruct,"(76+) no Theme, no Style, General",0.48,0.03,0.33
Q::instruct,"(76+) no Theme, no Style, General",0.89,0.55,0.94
Q::ours_augmented,"(76+) no Theme, no Style, General",0.43,0.0,0.26
Q::style_instruct,"(76+) no Theme, no Style, General",0.23,0.01,0.06
Q::theme_instruct,"(76+) no Theme, no Style, General",0.71,0.16,0.67
L::instruct,"(1-25, 51-75) Style",0.21,0.0,0.02
L::sad_augmented_more,"(1-25, 51-75) Style",0.64,0.08,0.56
L::style_instruct,"(1-25, 51-75) Style",0.33,0.0,0.14
L::theme_instruct,"(1-25, 51-75) Style",0.42,0.02,0.18
Q::instruct,"(1-25, 51-75) Style",0.88,0.48,0.9
Q::ours_augmented,"(1-25, 51-75) Style",0.41,0.0,0.2
Q::style_instruct,"(1-25, 51-75) Style",0.47,0.12,0.34
Q::theme_instruct,"(1-25, 51-75) Style",0.62,0.0,0.48
L::instruct,"(26-50, 76-100) no Style",0.12,0.0,0.02
L::sad_augmented_more,"(26-50, 76-100) no Style",0.64,0.0,0.58
L::style_instruct,"(26-50, 76-100) no Style",0.28,0.0,0.0
L::theme_instruct,"(26-50, 76-100) no Style",0.55,0.1,0.44
Q::instruct,"(26-50, 76-100) no Style",0.89,0.5,0.94
Q::ours_augmented,"(26-50, 76-100) no Style",0.45,0.02,0.26
Q::style_instruct,"(26-50, 76-100) no Style",0.34,0.02,0.14
Q::theme_instruct,"(26-50, 76-100) no Style",0.69,0.18,0.62
